equipment_id,mine_id,equipment_name,equipment_type,manufacturer,model,year_manufactured,operating_hours,last_maintenance_date,next_maintenance_date,fuel_type,fuel_consumption,breakdown_count,last_breakdown_date,breakdown_reason,sensor_anomalies,status
EQ-039,CG-002,Excavator 39,Excavator,Caterpillar,Cat-4272,2014,15153,2023-11-12,2024-01-07,Electric,0,5,2023-11-02,Engine issue,10,Operational
EQ-040,CG-001,Drill Rig 40,Drill Rig,Komatsu,Kom-1909,2014,25072,2023-04-05,2023-06-06,Diesel,47.47,2,2023-03-23,Electrical fault,10,Broken
EQ-041,JH-003,Roof Bolter 41,Roof Bolter,Ashok Leyland,Ash-6466,2015,5283,2023-03-17,2023-08-18,Electric,0,7,2023-03-14,Jam,1,Operational
EQ-042,JH-002,Crusher 42,Crusher,Atlas Copco,Atl-1355,2017,12914,2023-02-24,2023-07-07,Diesel,41.14,4,2023-02-23,Engine issue,13,Operational
EQ-043,CG-001,Excavator 43,Excavator,Tata,Tat-8008,2013,7520,2023-11-29,2024-02-11,Electric,0,4,2023-10-31,Engine issue,11,Maintenance
EQ-044,OD-001,Dumper 44,Dumper,Tata,Tat-9993,2023,29707,2023-09-02,2023-11-13,Electric,0,6,2023-08-12,Jam,6,Operational
EQ-045,JH-001,Excavator 45,Excavator,Komatsu,Kom-6207,2014,31063,2023-06-03,2023-07-29,Electric,0,0,,,4,Operational
EQ-046,JH-003,Roof Bolter 46,Roof Bolter,Caterpillar,Cat-5586,2015,8079,2023-03-24,2023-09-18,Electric,0,7,2023-03-22,Engine issue,0,Operational
EQ-047,JH-003,Dumper 47,Dumper,Ashok Leyland,Ash-4128,2016,19907,2023-02-21,2023-03-29,Diesel,51.66,5,2023-02-18,Jam,7,Operational
EQ-048,CG-002,Drill Rig 48,Drill Rig,Ashok Leyland,Ash-2722,2016,31981,2023-08-12,2024-01-31,Electric,0,8,2023-07-15,Hydraulic leak,12,Operational
EQ-049,JH-002,Roof Bolter 49,Roof Bolter,Sandvik,San-6126,2016,10902,2023-09-07,2024-02-27,Diesel,43.55,2,2023-08-31,Hydraulic leak,7,Operational
EQ-050,JH-002,Loader 50,Loader,Caterpillar,Cat-2167,2014,24588,2023-08-30,2023-12-20,Diesel,56.73,6,2023-08-06,Hydraulic leak,12,Operational
EQ-051,CG-002,Dumper 51,Dumper,Sandvik,San-1371,2017,13879,2023-09-19,2024-03-10,Diesel,27.69,9,2023-09-05,Hydraulic leak,6,Operational
EQ-052,CG-001,Roof Bolter 52,Roof Bolter,Komatsu,Kom-5441,2011,9260,2023-04-23,2023-08-02,Electric,0,5,2023-04-07,Jam,1,Operational
EQ-053,OD-001,Conveyor Belt 53,Conveyor Belt,Metso,Met-2807,2013,10043,2023-06-16,2023-08-31,Diesel,43.91,1,2023-06-13,Engine issue,9,Operational
EQ-054,JH-001,Conveyor Belt 54,Conveyor Belt,Volvo,Vol-7182,2020,16859,2023-04-02,2023-09-22,Electric,0,7,2023-03-21,Electrical fault,4,Operational
EQ-055,JH-003,Dumper 55,Dumper,Metso,Met-1538,2012,13928,2023-02-14,2023-08-09,Diesel,57.36,4,2023-01-28,Engine issue,2,Operational
EQ-056,CG-002,Crusher 56,Crusher,Komatsu,Kom-4710,2010,17001,2023-12-19,2024-03-25,Diesel,37.64,0,,,12,Operational
EQ-057,CG-002,Drill Rig 57,Drill Rig,Sandvik,San-2311,2022,12264,2023-09-02,2023-10-24,Diesel,36.35,2,2023-08-19,Hydraulic leak,8,Operational
EQ-058,CG-002,Crusher 58,Crusher,Caterpillar,Cat-3157,2020,30238,2023-03-01,2023-08-22,Diesel,38.82,8,2023-02-08,Hydraulic leak,1,Retired
EQ-059,JH-003,Loader 59,Loader,Sandvik,San-4103,2020,14212,2023-08-20,2023-12-28,Electric,0,5,2023-07-31,Jam,15,Operational
EQ-060,OD-002,Conveyor Belt 60,Conveyor Belt,Caterpillar,Cat-5892,2020,17162,2023-10-14,2024-04-04,Diesel,41.09,6,2023-10-05,Jam,10,Operational
EQ-061,CG-002,Dumper 61,Dumper,Ashok Leyland,Ash-7347,2010,8596,2023-12-13,2024-03-24,Electric,0,4,2023-11-27,Hydraulic leak,10,Operational
EQ-062,JH-003,Roof Bolter 62,Roof Bolter,Komatsu,Kom-5809,2014,14250,2023-05-05,2023-09-19,Electric,0,7,2023-04-07,Engine issue,4,Operational
EQ-063,JH-002,Loader 63,Loader,Sandvik,San-5519,2023,14458,2023-08-05,2023-09-20,Electric,0,0,,,13,Retired
EQ-064,OD-002,Compressor 64,Compressor,Sandvik,San-6527,2016,20298,2023-07-18,2023-09-15,Diesel,22.75,8,2023-07-12,Electrical fault,3,Operational
EQ-065,JH-002,Compressor 65,Compressor,Volvo,Vol-6054,2019,29298,2023-04-11,2023-08-25,Electric,0,9,2023-03-23,Hydraulic leak,11,Operational
EQ-066,CG-002,Dumper 66,Dumper,Ashok Leyland,Ash-9316,2017,5081,2023-10-22,2024-04-15,Diesel,43.87,3,2023-09-22,Hydraulic leak,4,Operational
EQ-067,CG-001,Drill Rig 67,Drill Rig,Tata,Tat-4333,2020,34998,2023-07-20,2023-08-24,Diesel,47.45,4,2023-06-22,Electrical fault,5,Maintenance
EQ-068,OD-001,Excavator 68,Excavator,Volvo,Vol-6193,2010,14863,2023-10-07,2024-01-05,Diesel,36.51,4,2023-10-01,Engine issue,4,Operational
EQ-069,CG-001,Conveyor Belt 69,Conveyor Belt,Tata,Tat-3871,2014,22532,2023-05-03,2023-08-21,Electric,0,9,2023-05-02,Engine issue,15,Operational
EQ-070,JH-003,Compressor 70,Compressor,Komatsu,Kom-5914,2012,19686,2023-11-04,2024-02-10,Diesel,36.69,4,2023-10-08,Hydraulic leak,3,Operational
EQ-071,OD-002,Loader 71,Loader,Volvo,Vol-4196,2023,26319,2023-04-18,2023-05-23,Diesel,59.65,1,2023-04-15,Jam,14,Operational
EQ-072,JH-002,Loader 72,Loader,Komatsu,Kom-2923,2023,12099,2023-09-09,2024-02-15,Electric,0,7,2023-08-15,Electrical fault,0,Operational
EQ-073,OD-002,Excavator 73,Excavator,Volvo,Vol-8788,2017,27851,2023-01-06,2023-02-28,Electric,0,3,2022-12-09,Engine issue,6,Operational
EQ-074,JH-002,Compressor 74,Compressor,Caterpillar,Cat-6838,2021,9100,2024-01-01,2024-02-22,Electric,0,10,2023-12-08,Engine issue,0,Operational
EQ-075,OD-002,Roof Bolter 75,Roof Bolter,Metso,Met-5666,2010,26749,2023-04-28,2023-08-09,Electric,0,5,2023-04-12,Hydraulic leak,4,Operational
EQ-076,JH-002,Dumper 76,Dumper,Volvo,Vol-5993,2020,32517,2023-03-24,2023-05-31,Electric,0,8,2023-02-24,Hydraulic leak,9,Operational
EQ-077,JH-001,Conveyor Belt 77,Conveyor Belt,Caterpillar,Cat-1432,2015,27711,2023-03-27,2023-07-04,Electric,0,3,2023-03-22,Electrical fault,15,Operational
EQ-078,JH-001,Conveyor Belt 78,Conveyor Belt,Sandvik,San-9150,2023,17659,2023-01-07,2023-06-01,Diesel,36.89,9,2022-12-27,Jam,9,Operational
EQ-079,JH-002,Excavator 79,Excavator,Caterpillar,Cat-2341,2022,7889,2023-03-05,2023-04-27,Electric,0,3,2023-02-05,Hydraulic leak,3,Maintenance
EQ-080,JH-001,Drill Rig 80,Drill Rig,Caterpillar,Cat-2457,2020,13922,2023-05-19,2023-10-20,Electric,0,1,2023-05-13,Hydraulic leak,10,Operational
EQ-081,JH-003,Conveyor Belt 81,Conveyor Belt,Volvo,Vol-6572,2013,22991,2023-06-05,2023-08-25,Electric,0,3,2023-05-20,Engine issue,4,Operational
EQ-082,JH-001,Drill Rig 82,Drill Rig,Tata,Tat-8180,2021,31861,2023-08-08,2023-09-07,Diesel,41.77,1,2023-08-04,Hydraulic leak,12,Operational
EQ-083,CG-002,Drill Rig 83,Drill Rig,Atlas Copco,Atl-9735,2022,28194,2023-01-20,2023-04-07,Electric,0,10,2023-01-06,Electrical fault,0,Operational
EQ-084,JH-003,Conveyor Belt 84,Conveyor Belt,Tata,Tat-4596,2014,9191,2023-09-28,2023-11-30,Electric,0,7,2023-09-04,Electrical fault,9,Operational
EQ-085,CG-002,Roof Bolter 85,Roof Bolter,Volvo,Vol-4171,2019,8781,2023-06-14,2023-10-08,Electric,0,9,2023-05-30,Engine issue,11,Operational
EQ-086,OD-001,Conveyor Belt 86,Conveyor Belt,Caterpillar,Cat-9347,2023,22018,2023-10-02,2024-03-12,Diesel,53.69,8,2023-09-02,Hydraulic leak,6,Operational
EQ-087,OD-002,Excavator 87,Excavator,Komatsu,Kom-9049,2015,23639,2023-01-11,2023-04-08,Diesel,22.99,2,2022-12-14,Engine issue,7,Operational
EQ-088,JH-003,Dumper 88,Dumper,Metso,Met-6515,2020,34826,2023-05-07,2023-06-24,Electric,0,0,,,5,Operational
EQ-089,OD-002,Crusher 89,Crusher,Sandvik,San-4063,2016,11494,2023-06-30,2023-08-10,Electric,0,4,2023-06-21,Jam,12,Operational
EQ-090,OD-002,Crusher 90,Crusher,Komatsu,Kom-3274,2018,27407,2023-06-27,2023-11-26,Electric,0,10,2023-06-19,Electrical fault,2,Operational
EQ-091,OD-001,Drill Rig 91,Drill Rig,Komatsu,Kom-8606,2016,15399,2023-01-14,2023-05-06,Diesel,21.19,2,2022-12-31,Jam,6,Broken
EQ-092,CG-002,Excavator 92,Excavator,Atlas Copco,Atl-9453,2017,32063,2023-11-15,2023-12-19,Diesel,45.33,8,2023-11-09,Electrical fault,11,Operational
EQ-093,OD-001,Dumper 93,Dumper,Metso,Met-1466,2018,34170,2023-01-29,2023-03-30,Diesel,48.11,7,2023-01-02,Engine issue,14,Operational
EQ-094,OD-001,Drill Rig 94,Drill Rig,Metso,Met-1501,2010,13130,2023-09-06,2023-10-12,Electric,0,9,2023-08-27,Hydraulic leak,1,Maintenance
EQ-095,CG-001,Dumper 95,Dumper,Tata,Tat-2408,2016,17839,2023-01-13,2023-03-03,Diesel,59.93,0,,,4,Operational
EQ-096,OD-002,Conveyor Belt 96,Conveyor Belt,Tata,Tat-1433,2011,12064,2023-01-29,2023-04-28,Diesel,59.42,2,2023-01-03,Electrical fault,9,Operational
EQ-097,JH-003,Excavator 97,Excavator,Volvo,Vol-2550,2013,20057,2023-09-19,2023-12-25,Electric,0,8,2023-09-01,Engine issue,12,Operational
EQ-098,JH-002,Dumper 98,Dumper,Sandvik,San-9014,2013,27747,2023-05-09,2023-07-24,Diesel,46.81,5,2023-05-01,Jam,14,Retired
EQ-099,OD-001,Drill Rig 99,Drill Rig,Komatsu,Kom-7188,2012,9884,2023-09-24,2023-10-30,Diesel,41.88,5,2023-09-18,Jam,8,Broken
EQ-100,OD-001,Excavator 100,Excavator,Metso,Met-2249,2021,5078,2023-02-26,2023-06-07,Diesel,41.88,4,2023-02-10,Engine issue,7,Broken
EQ-101,OD-001,Loader 101,Loader,Atlas Copco,Atl-6130,2019,18076,2023-11-14,2024-01-18,Diesel,39.66,2,2023-10-19,Hydraulic leak,8,Operational
EQ-102,JH-002,Drill Rig 102,Drill Rig,Tata,Tat-4987,2020,24430,2023-02-02,2023-04-19,Diesel,55.87,8,2023-01-21,Engine issue,14,Operational
EQ-103,OD-001,Loader 103,Loader,Komatsu,Kom-7934,2023,17442,2023-03-10,2023-05-21,Diesel,23.44,7,2023-03-09,Jam,5,Maintenance
EQ-104,JH-003,Conveyor Belt 104,Conveyor Belt,Tata,Tat-4386,2015,20642,2023-03-08,2023-04-10,Diesel,48.24,9,2023-02-15,Jam,2,Maintenance
EQ-105,CG-001,Roof Bolter 105,Roof Bolter,Tata,Tat-6300,2014,27418,2023-12-30,2024-04-14,Electric,0,9,2023-12-06,Hydraulic leak,14,Operational
EQ-106,JH-001,Excavator 106,Excavator,Komatsu,Kom-8315,2023,7457,2023-11-05,2024-03-20,Electric,0,2,2023-10-17,Jam,12,Maintenance
EQ-107,CG-001,Conveyor Belt 107,Conveyor Belt,Ashok Leyland,Ash-1783,2014,30628,2023-11-22,2024-02-23,Electric,0,0,,,11,Operational
EQ-108,JH-001,Dumper 108,Dumper,Sandvik,San-9212,2010,28654,2023-07-31,2023-12-21,Electric,0,0,,,13,Maintenance
EQ-109,CG-001,Dumper 109,Dumper,Metso,Met-7065,2022,27410,2023-08-29,2024-01-21,Electric,0,8,2023-07-30,Engine issue,14,Operational
EQ-110,JH-002,Loader 110,Loader,Volvo,Vol-8870,2013,24035,2023-03-08,2023-07-19,Diesel,49.97,9,2023-03-03,Engine issue,9,Operational
EQ-111,OD-001,Excavator 111,Excavator,Caterpillar,Cat-7728,2021,20740,2023-02-28,2023-04-10,Diesel,31.83,9,2023-02-25,Engine issue,13,Operational
EQ-112,CG-001,Excavator 112,Excavator,Sandvik,San-5342,2011,28444,2023-07-16,2023-12-06,Electric,0,3,2023-06-16,Jam,3,Operational
EQ-113,OD-002,Drill Rig 113,Drill Rig,Tata,Tat-3173,2013,30127,2023-01-07,2023-06-23,Diesel,53.59,4,2022-12-17,Jam,13,Operational
EQ-114,CG-001,Compressor 114,Compressor,Volvo,Vol-2229,2021,27288,2023-02-03,2023-04-10,Electric,0,2,2023-02-02,Electrical fault,13,Retired
EQ-115,CG-002,Drill Rig 115,Drill Rig,Komatsu,Kom-6994,2010,9450,2023-03-03,2023-06-18,Electric,0,5,2023-02-21,Jam,5,Operational
EQ-116,CG-002,Excavator 116,Excavator,Volvo,Vol-1715,2015,12841,2023-04-10,2023-07-01,Electric,0,3,2023-03-29,Hydraulic leak,7,Operational
EQ-117,JH-002,Dumper 117,Dumper,Tata,Tat-4634,2014,7579,2023-06-19,2023-10-25,Electric,0,4,2023-06-08,Hydraulic leak,3,Operational
EQ-118,CG-001,Compressor 118,Compressor,Atlas Copco,Atl-9323,2013,13872,2023-03-30,2023-08-05,Electric,0,8,2023-03-12,Engine issue,1,Operational
EQ-119,CG-001,Drill Rig 119,Drill Rig,Ashok Leyland,Ash-6752,2019,8043,2023-03-02,2023-08-22,Diesel,31.74,0,,,9,Maintenance
EQ-120,CG-002,Dumper 120,Dumper,Metso,Met-1176,2018,21909,2023-12-23,2024-05-25,Electric,0,3,2023-11-24,Electrical fault,14,Operational
EQ-121,CG-002,Crusher 121,Crusher,Caterpillar,Cat-2837,2015,18539,2023-06-24,2023-11-07,Electric,0,8,2023-05-28,Electrical fault,2,Maintenance
EQ-122,OD-001,Loader 122,Loader,Komatsu,Kom-4394,2022,22007,2023-12-05,2024-01-24,Diesel,52.06,5,2023-11-06,Jam,3,Operational
EQ-123,JH-001,Dumper 123,Dumper,Caterpillar,Cat-7001,2021,30488,2023-10-30,2024-04-02,Diesel,44.5,7,2023-10-28,Jam,9,Operational
EQ-124,CG-002,Conveyor Belt 124,Conveyor Belt,Metso,Met-9258,2010,33407,2023-07-10,2023-11-05,Electric,0,2,2023-06-26,Engine issue,13,Operational
EQ-125,OD-001,Dumper 125,Dumper,Sandvik,San-7711,2023,23979,2023-12-11,2024-05-11,Diesel,44.48,0,,,6,Maintenance
EQ-126,CG-001,Compressor 126,Compressor,Ashok Leyland,Ash-7594,2011,16733,2023-09-07,2023-12-21,Diesel,52.37,9,2023-09-05,Jam,0,Operational
EQ-127,JH-001,Loader 127,Loader,Volvo,Vol-9792,2011,22779,2023-04-19,2023-06-13,Diesel,35.72,2,2023-04-09,Engine issue,11,Operational
EQ-128,JH-002,Loader 128,Loader,Metso,Met-3845,2022,8315,2023-12-28,2024-04-08,Diesel,42.03,2,2023-12-03,Jam,0,Operational
EQ-129,OD-002,Conveyor Belt 129,Conveyor Belt,Caterpillar,Cat-9143,2014,5546,2023-08-08,2024-01-25,Electric,0,6,2023-07-21,Jam,2,Operational
EQ-130,JH-002,Roof Bolter 130,Roof Bolter,Sandvik,San-5996,2019,5617,2023-11-03,2024-04-15,Electric,0,1,2023-11-01,Electrical fault,2,Operational
EQ-131,OD-002,Dumper 131,Dumper,Caterpillar,Cat-4098,2012,6860,2023-05-06,2023-06-29,Electric,0,6,2023-04-16,Engine issue,12,Operational
EQ-132,OD-002,Loader 132,Loader,Ashok Leyland,Ash-2210,2021,25058,2023-10-11,2024-02-22,Electric,0,9,2023-09-16,Jam,8,Operational
EQ-133,CG-001,Loader 133,Loader,Atlas Copco,Atl-6085,2021,15351,2023-03-25,2023-05-26,Diesel,41.9,3,2023-03-01,Jam,12,Operational
EQ-134,JH-002,Dumper 134,Dumper,Komatsu,Kom-6293,2019,15392,2023-01-08,2023-04-25,Electric,0,3,2022-12-16,Jam,5,Operational
EQ-135,JH-003,Drill Rig 135,Drill Rig,Metso,Met-6272,2017,28045,2023-04-08,2023-07-12,Diesel,25.3,10,2023-04-07,Electrical fault,4,Operational
EQ-136,JH-001,Conveyor Belt 136,Conveyor Belt,Caterpillar,Cat-5671,2012,12808,2023-02-08,2023-04-24,Diesel,47.56,1,2023-01-24,Hydraulic leak,3,Operational
EQ-137,OD-002,Excavator 137,Excavator,Atlas Copco,Atl-7457,2013,13991,2023-02-19,2023-05-03,Electric,0,0,,,8,Broken
EQ-138,OD-002,Conveyor Belt 138,Conveyor Belt,Tata,Tat-6157,2011,7020,2023-03-28,2023-09-10,Electric,0,3,2023-03-24,Jam,11,Operational
EQ-139,CG-002,Crusher 139,Crusher,Komatsu,Kom-1848,2013,9472,2023-05-17,2023-08-01,Diesel,45.09,6,2023-04-24,Jam,13,Operational
EQ-140,CG-002,Crusher 140,Crusher,Sandvik,San-3844,2018,29525,2023-04-11,2023-08-09,Diesel,27.75,2,2023-03-14,Jam,15,Operational
EQ-141,JH-003,Compressor 141,Compressor,Metso,Met-8511,2019,24469,2023-11-19,2024-01-09,Diesel,52.89,2,2023-10-31,Electrical fault,13,Operational
EQ-142,CG-002,Roof Bolter 142,Roof Bolter,Sandvik,San-4444,2015,10947,2023-07-25,2023-12-20,Electric,0,8,2023-07-24,Hydraulic leak,7,Operational
EQ-143,JH-003,Loader 143,Loader,Volvo,Vol-5346,2018,17020,2023-04-06,2023-05-26,Diesel,23.03,4,2023-03-22,Jam,1,Operational
EQ-144,OD-002,Crusher 144,Crusher,Komatsu,Kom-7847,2021,6914,2023-07-26,2023-12-03,Diesel,28.81,5,2023-07-03,Hydraulic leak,11,Operational
EQ-145,JH-002,Loader 145,Loader,Atlas Copco,Atl-3667,2013,6863,2023-09-20,2023-12-06,Electric,0,2,2023-09-12,Engine issue,5,Maintenance
EQ-146,JH-001,Drill Rig 146,Drill Rig,Tata,Tat-6061,2015,25910,2023-09-26,2024-03-11,Diesel,49.43,6,2023-09-24,Engine issue,5,Operational
EQ-147,JH-003,Dumper 147,Dumper,Metso,Met-2088,2015,33754,2023-01-02,2023-06-24,Electric,0,9,2022-12-10,Jam,7,Operational
EQ-148,JH-001,Roof Bolter 148,Roof Bolter,Komatsu,Kom-2345,2016,6432,2023-08-30,2023-10-07,Electric,0,8,2023-08-02,Jam,13,Operational
EQ-149,OD-002,Conveyor Belt 149,Conveyor Belt,Sandvik,San-4526,2013,20518,2023-06-02,2023-09-12,Diesel,25.7,0,,,1,Maintenance
EQ-150,JH-002,Crusher 150,Crusher,Komatsu,Kom-5990,2023,15128,2023-07-30,2024-01-18,Electric,0,4,2023-07-01,Electrical fault,5,Operational
EQ-151,JH-003,Drill Rig 151,Drill Rig,Tata,Tat-9183,2016,16570,2023-07-28,2023-09-30,Electric,0,10,2023-07-15,Jam,6,Operational
EQ-152,OD-002,Drill Rig 152,Drill Rig,Metso,Met-4468,2020,28319,2023-08-09,2023-12-15,Diesel,56.65,9,2023-07-29,Electrical fault,13,Operational
EQ-153,CG-001,Conveyor Belt 153,Conveyor Belt,Volvo,Vol-7972,2010,22962,2023-06-07,2023-08-26,Diesel,38.01,8,2023-05-08,Hydraulic leak,3,Operational
EQ-154,OD-002,Roof Bolter 154,Roof Bolter,Atlas Copco,Atl-7122,2017,7878,2023-12-04,2024-05-06,Electric,0,1,2023-11-07,Jam,4,Operational
EQ-155,JH-003,Roof Bolter 155,Roof Bolter,Volvo,Vol-6152,2018,9803,2023-10-17,2024-01-01,Diesel,21.13,6,2023-10-09,Electrical fault,5,Operational
EQ-156,OD-001,Dumper 156,Dumper,Ashok Leyland,Ash-5537,2013,28575,2023-10-02,2023-12-10,Diesel,43.44,1,2023-09-25,Electrical fault,0,Operational
EQ-157,JH-002,Dumper 157,Dumper,Komatsu,Kom-8210,2014,17261,2023-03-14,2023-04-15,Diesel,39.3,9,2023-03-07,Engine issue,5,Operational
EQ-158,JH-003,Compressor 158,Compressor,Ashok Leyland,Ash-5451,2019,23867,2023-09-04,2023-10-13,Electric,0,7,2023-08-19,Jam,10,Operational
EQ-159,JH-003,Crusher 159,Crusher,Komatsu,Kom-5545,2010,18187,2023-03-03,2023-07-26,Diesel,36.67,0,,,12,Operational
EQ-160,OD-001,Dumper 160,Dumper,Metso,Met-3568,2018,19604,2023-11-24,2024-03-04,Diesel,46.32,1,2023-11-13,Electrical fault,10,Operational
