mine_id,equipment_type,shift,maintenance_status,operating_hours,temperature_C,vibration,pressure_bar,dust_level_ug,rpm,oil_temp_C,load_percentage,humidity_pct,bearing_temp_C,machine_failure
CG-001,Drill Rig,Morning,Overdue,3719.0,83.91,3.6936,96.87,139.29,1980.4,72.86,77.29,28.14,89.25,0
OD-001,Drill Rig,Night,Overdue,5062.6,68.11,3.2159,100.28,192.38,1328.1,78.63,70.14,20.89,69.08,0
CG-002,Drill Rig,Morning,Overdue,8207.5,56.77,3.0373,119.05,281.7,1342.2,56.44,92.13,28.56,66.92,0
JH-002,Crusher,Afternoon,Recent,10517.9,37.48,1.3182,112.2,39.55,1774.0,68.51,37.8,67.74,49.82,1
OD-001,Drill Rig,Night,On Schedule,6174.0,72.89,,130.03,172.23,,54.11,38.76,75.24,83.11,0
CG-001,Dumper,Morning,On Schedule,8064.8,27.02,2.2728,126.79,34.47,,58.12,82.08,31.09,44.12,1
JH-001,Loader,Morning,Overdue,7072.6,,5.5861,98.1,122.25,1318.5,71.05,98.44,68.31,62.0,0
CG-002,Dumper,Morning,On Schedule,7536.4,68.0,2.2273,147.83,108.79,1278.2,92.65,97.64,23.29,72.76,1
OD-002,Conveyor,Night,Overdue,8128.8,64.86,9.6563,121.2,274.61,1371.6,82.06,30.81,89.69,79.77,0
CG-002,Dumper,Night,On Schedule,10123.9,27.82,3.498,141.38,56.96,,77.7,63.24,38.2,47.3,1
CG-001,Dumper,Night,Overdue,1090.0,84.38,4.0166,107.19,114.14,,58.59,84.97,63.93,99.47,0
OD-001,Loader,Night,Recent,9187.8,57.61,2.2468,70.57,77.16,1496.8,94.65,97.87,82.74,65.31,1
CG-002,Conveyor,Morning,On Schedule,2999.6,52.88,0.9876,48.23,202.83,1449.1,58.96,90.83,84.43,59.36,0
OD-001,Loader,Night,On Schedule,2411.3,74.73,2.2642,132.02,37.06,1038.9,92.73,102.43,59.08,64.47,0
JH-002,Loader,Afternoon,Overdue,6912.2,,1.9808,119.23,165.97,1927.7,81.42,113.27,66.74,74.2,0
JH-002,Dumper,Night,Overdue,1239.0,78.92,2.1432,118.05,73.28,2250.3,77.33,88.04,47.71,94.02,0
OD-001,Loader,Afternoon,On Schedule,10635.4,53.87,6.0062,104.44,312.55,,108.61,33.54,27.69,68.83,1
CG-001,Conveyor,Morning,On Schedule,7564.3,52.01,3.5018,62.79,127.68,1074.2,72.67,70.9,42.78,58.92,1
JH-001,Dumper,Afternoon,Recent,8708.7,68.77,1.5773,29.41,45.52,2022.2,70.78,101.84,43.98,81.56,0
OD-001,Crusher,Afternoon,On Schedule,291.9,43.19,1.5408,113.95,89.54,1388.7,92.19,84.44,46.94,47.44,1
CG-001,Loader,Morning,On Schedule,7173.7,60.25,,108.12,124.06,1721.1,94.95,65.99,89.91,71.66,0
JH-002,Loader,Afternoon,On Schedule,6725.7,92.71,0.9715,96.77,229.47,1160.9,89.77,70.9,94.72,99.9,1
JH-002,Crusher,Night,On Schedule,1991.6,32.19,4.9777,,101.13,1298.0,63.55,72.29,35.46,,1
OD-002,Loader,Morning,On Schedule,1921.5,19.18,3.9298,128.78,221.49,1492.9,70.7,48.06,62.06,40.67,1
OD-002,Excavator,Night,Overdue,8376.8,42.63,1.2293,62.65,61.63,1566.1,80.53,79.56,32.33,44.64,1
JH-001,Crusher,Morning,Overdue,3893.3,65.72,6.8294,106.68,24.22,1427.3,76.57,77.77,38.69,,0
OD-002,Excavator,Night,Recent,8334.4,16.37,3.0819,80.54,167.35,,66.41,59.89,21.24,29.21,1
OD-001,Conveyor,Night,Overdue,6697.2,74.47,0.944,112.53,100.45,1509.7,87.55,25.01,30.59,83.34,0
JH-002,Dumper,Morning,Overdue,4728.5,61.48,,111.36,70.75,1130.3,84.63,86.84,78.58,66.24,0
JH-002,Excavator,Morning,On Schedule,11109.1,89.87,,42.35,264.38,959.2,73.79,110.82,45.78,93.61,1
CG-001,Dumper,Night,On Schedule,10115.9,50.29,1.627,90.58,51.13,1337.9,70.55,93.49,52.67,57.89,0
JH-001,Excavator,Afternoon,On Schedule,4353.0,53.94,2.9901,79.14,102.47,,92.34,43.33,67.22,65.51,0
OD-001,Drill Rig,Night,Overdue,618.7,84.01,6.9727,,138.96,2256.4,74.8,108.2,26.1,101.43,0
JH-002,Drill Rig,Morning,On Schedule,3726.7,30.04,2.5507,167.76,217.1,966.6,79.35,99.55,83.95,31.02,1
CG-001,Loader,Morning,On Schedule,4838.4,59.08,2.6505,130.88,262.07,816.5,84.85,92.12,68.79,72.93,1
CG-002,Drill Rig,Morning,On Schedule,8489.0,7.28,1.8163,112.97,123.47,1648.6,,78.38,76.15,16.64,1
JH-001,Dumper,Morning,Overdue,11944.8,66.49,3.9154,106.91,24.6,1439.4,81.12,74.67,54.3,74.81,0
CG-002,Dumper,Afternoon,On Schedule,4335.4,44.63,9.094,100.3,283.56,1438.1,91.47,75.62,55.14,58.38,1
OD-001,Loader,Afternoon,On Schedule,9174.3,74.25,1.4715,130.45,24.91,1379.5,77.04,72.98,64.9,90.26,1
CG-002,Excavator,Afternoon,On Schedule,7158.8,61.52,3.4977,100.26,268.98,1701.7,63.17,48.77,89.07,,0
CG-001,Conveyor,Morning,Overdue,8331.3,71.59,1.0439,138.09,143.68,1644.6,80.06,36.86,34.96,85.34,1
CG-001,Dumper,Night,Recent,1898.4,77.68,2.4001,77.5,45.0,1168.1,78.38,48.94,75.05,84.38,0
JH-002,Crusher,Afternoon,On Schedule,4846.6,76.75,3.41,107.2,133.67,1940.1,76.87,29.5,51.7,80.86,0
CG-001,Drill Rig,Night,Recent,2966.2,73.06,2.2939,94.62,295.67,1598.9,80.33,46.35,36.88,76.73,0
CG-001,Dumper,Night,Recent,4187.1,69.9,1.9529,107.66,72.45,1224.5,92.43,74.72,84.15,72.69,0
CG-001,Drill Rig,Afternoon,On Schedule,6206.2,62.35,1.9855,79.2,77.93,1289.5,93.55,42.09,25.6,74.25,0
OD-002,Dumper,Night,On Schedule,8032.8,83.59,2.4859,94.95,293.96,1688.4,55.1,99.98,38.03,,0
OD-001,Dumper,Morning,Recent,1360.3,75.25,1.4466,109.91,251.63,1336.4,72.49,57.72,78.99,83.74,0
JH-001,Crusher,Night,Overdue,1657.6,47.78,3.224,101.34,95.27,1899.1,82.61,100.9,78.84,51.98,1
OD-002,Conveyor,Afternoon,Overdue,3931.6,80.65,2.4196,104.51,261.37,1445.8,67.94,33.68,69.06,80.95,0
OD-002,Excavator,Morning,On Schedule,7972.6,43.39,1.3635,105.26,90.7,1352.9,85.09,93.32,38.73,54.32,1
OD-001,Crusher,Afternoon,Overdue,10173.4,63.73,5.9477,120.32,32.72,,95.19,109.57,42.11,69.67,1
JH-002,Dumper,Afternoon,On Schedule,6683.8,33.51,3.0707,127.35,170.32,1769.6,75.72,43.94,92.92,50.86,1
JH-001,Conveyor,Afternoon,On Schedule,10268.0,61.65,1.6766,129.27,102.82,1843.2,79.74,81.06,68.62,68.63,1
OD-002,Conveyor,Afternoon,On Schedule,4679.6,90.51,2.4987,98.6,265.56,1022.0,39.9,67.13,83.87,109.19,0
JH-001,Loader,Night,Overdue,3869.8,82.84,1.8197,121.36,221.68,1379.1,69.46,100.05,38.19,96.8,0
JH-001,Crusher,Morning,Overdue,4315.7,59.52,2.0842,127.21,56.54,1382.8,80.42,42.51,23.81,70.4,0
CG-001,Excavator,Morning,Overdue,2135.9,56.42,4.3794,103.13,308.51,1351.2,58.2,114.47,33.79,67.56,0
JH-001,Excavator,Night,On Schedule,9966.4,60.3,2.8894,99.58,183.85,1274.3,84.01,52.04,75.63,74.13,1
JH-001,Dumper,Morning,On Schedule,4130.2,,5.0956,54.08,110.52,1552.7,67.16,112.29,57.46,58.39,0
CG-001,Drill Rig,Night,Overdue,6673.2,73.83,2.635,66.38,259.97,950.6,68.89,67.14,53.48,81.6,0
JH-001,Loader,Night,Recent,6984.8,47.76,5.3696,117.32,15.79,1941.1,81.69,67.27,36.5,55.61,0
CG-002,Excavator,Afternoon,On Schedule,6306.2,66.57,2.5039,133.86,262.26,1055.7,83.6,96.1,92.69,76.97,0
JH-002,Conveyor,Afternoon,On Schedule,132.0,56.75,4.1363,114.77,262.76,2231.1,63.99,65.2,35.47,68.08,0
OD-001,Conveyor,Afternoon,On Schedule,11861.3,82.35,4.0986,119.22,219.73,,83.7,89.63,68.97,85.43,1
JH-002,Conveyor,Afternoon,On Schedule,10873.6,60.68,1.6768,109.21,92.55,1309.3,63.33,93.8,49.69,70.67,1
CG-002,Excavator,Night,On Schedule,2570.9,24.61,3.7756,107.55,134.49,1204.0,67.49,68.76,89.27,30.25,0
JH-002,Drill Rig,Morning,Overdue,3580.6,43.48,1.835,123.84,272.15,1599.5,90.34,60.0,61.77,53.55,0
OD-001,Excavator,Night,On Schedule,6288.1,,3.4809,119.92,242.1,1487.1,75.79,64.76,53.24,85.76,1
OD-001,Conveyor,Morning,Recent,10832.7,83.05,2.5055,143.0,159.22,1376.8,70.09,51.3,40.49,95.04,1
CG-001,Conveyor,Afternoon,Overdue,11805.2,78.21,1.7656,148.86,246.97,1189.1,,25.72,37.47,81.99,1
JH-001,Loader,Afternoon,On Schedule,3164.8,,,107.19,143.02,1162.2,75.86,72.33,67.85,83.12,0
CG-001,Crusher,Night,On Schedule,6815.9,39.22,2.3074,94.64,173.7,2383.9,103.87,101.64,82.43,43.71,1
OD-002,Excavator,Morning,On Schedule,9702.9,48.74,1.8109,109.4,31.88,1398.8,,42.65,54.55,57.33,1
OD-002,Excavator,Night,Recent,4793.0,67.88,1.6157,82.3,135.69,1914.0,86.23,94.87,92.16,77.67,0
JH-002,Loader,Afternoon,Overdue,8799.8,66.81,1.2072,101.3,295.91,1902.0,67.82,93.65,68.63,74.08,0
JH-001,Dumper,Morning,On Schedule,2016.7,42.69,2.7106,130.87,233.48,1532.3,86.02,61.51,27.6,47.75,1
CG-002,Excavator,Afternoon,On Schedule,7248.3,79.42,4.9734,120.59,289.09,1216.1,71.77,100.62,92.3,89.4,0
CG-002,Loader,Morning,Recent,10403.8,67.63,0.5648,68.27,209.23,,,26.92,60.57,69.58,0
CG-001,Loader,Morning,Recent,11803.9,35.18,2.5992,89.95,113.48,1297.2,55.74,73.19,54.81,37.25,0
OD-001,Conveyor,Afternoon,Overdue,1044.5,83.31,3.344,,279.0,772.6,92.45,42.01,49.69,93.8,0
CG-001,Crusher,Afternoon,On Schedule,5197.3,35.15,2.5376,108.5,225.08,,71.19,30.39,26.44,58.78,0
CG-001,Excavator,Night,Overdue,2534.1,91.48,,118.77,245.29,1793.5,62.6,87.65,38.48,108.5,1
JH-001,Excavator,Night,On Schedule,5462.6,51.65,2.7563,105.27,201.62,1322.6,82.89,74.68,51.8,56.18,0
OD-002,Dumper,Afternoon,Recent,6618.4,71.23,1.9004,,25.54,1187.5,,101.39,32.61,88.7,0
CG-002,Excavator,Afternoon,On Schedule,1210.6,75.24,,82.51,262.95,1101.8,65.74,41.09,83.63,86.75,0
JH-002,Excavator,Night,Recent,3632.6,79.71,4.047,78.66,290.98,1594.7,104.37,29.95,27.28,88.26,0
JH-002,Excavator,Afternoon,On Schedule,11138.3,51.31,3.0188,132.61,145.11,1463.1,61.58,96.39,25.8,59.59,1
JH-001,Conveyor,Morning,On Schedule,6871.1,49.68,,70.86,212.73,,76.44,90.11,71.74,59.34,1
JH-002,Dumper,Night,On Schedule,5543.2,45.72,1.712,87.05,72.78,,76.98,30.36,69.8,46.51,0
CG-001,Loader,Night,On Schedule,9067.0,54.51,6.4177,80.81,124.97,1672.1,76.04,97.05,55.11,58.36,1
CG-001,Loader,Afternoon,On Schedule,8928.2,66.59,2.5407,145.45,223.51,1226.8,76.4,56.37,21.03,79.92,1
OD-001,Crusher,Morning,Recent,678.1,73.21,2.7342,160.18,247.32,785.0,85.82,34.09,42.83,83.15,1
OD-001,Dumper,Night,Recent,8533.5,41.67,1.6951,37.84,109.91,1029.8,77.02,108.9,24.18,56.91,0
OD-002,Dumper,Morning,Recent,10087.0,71.31,4.9154,77.71,220.43,,83.95,113.73,42.28,84.83,0
CG-002,Crusher,Night,On Schedule,2074.7,,6.7393,74.41,58.03,1410.0,71.53,108.6,85.03,99.87,0
JH-001,Excavator,Afternoon,Recent,9393.9,70.88,2.3841,111.12,29.89,2391.1,60.95,61.74,74.85,81.29,1
JH-001,Crusher,Afternoon,Overdue,3509.8,58.33,2.1822,100.89,254.78,1759.4,95.3,66.82,56.89,,0
JH-002,Loader,Morning,On Schedule,3747.0,46.4,1.827,102.9,42.36,1320.2,75.42,57.43,48.56,58.36,0
CG-002,Loader,Night,Recent,8016.6,,0.9503,113.6,164.35,1441.1,73.57,84.78,94.58,,0
OD-002,Conveyor,Morning,Overdue,1425.6,51.01,2.0493,94.65,181.14,1351.0,,71.9,77.9,66.26,0
JH-001,Loader,Afternoon,Overdue,8012.0,30.34,1.3797,105.19,82.14,1266.1,84.03,52.14,53.07,46.58,1
OD-001,Crusher,Night,Overdue,10665.5,78.21,1.704,115.89,20.62,1773.4,79.91,28.36,31.12,93.95,0
CG-001,Drill Rig,Morning,Recent,8386.1,86.7,2.1633,101.76,84.87,,52.84,34.89,38.44,107.16,1
CG-001,Dumper,Afternoon,On Schedule,5339.9,57.19,5.7577,,62.68,1440.0,,113.56,89.97,67.87,0
OD-001,Loader,Night,On Schedule,5314.8,64.95,1.9477,85.27,253.99,1438.0,90.28,39.25,41.97,73.03,0
JH-002,Loader,Afternoon,Recent,9204.6,53.93,6.1927,114.05,260.57,1582.1,80.09,32.2,61.03,63.17,1
OD-002,Dumper,Morning,Overdue,6831.1,45.71,1.6402,59.06,215.09,1205.3,52.42,103.95,54.74,52.23,1
OD-001,Drill Rig,Morning,On Schedule,1110.4,96.19,,105.59,247.93,1303.6,102.15,49.67,21.83,101.98,0
JH-001,Dumper,Afternoon,Overdue,7033.8,41.66,4.2717,98.73,308.82,1491.5,83.75,92.75,72.78,52.34,0
OD-001,Conveyor,Night,Overdue,9796.6,32.79,2.5799,86.92,272.89,963.7,91.15,113.86,64.57,43.11,1
JH-002,Crusher,Morning,Overdue,4111.1,50.64,2.1955,73.5,107.33,1069.0,86.66,84.43,59.44,62.91,0
CG-002,Dumper,Morning,On Schedule,11138.2,,3.307,79.15,174.17,,85.14,64.2,52.3,39.27,1
OD-002,Excavator,Morning,Overdue,9033.5,84.04,2.8839,80.54,216.96,1407.9,68.95,101.94,51.19,89.43,0
OD-002,Conveyor,Night,On Schedule,6931.4,46.81,4.0396,80.21,18.5,1268.9,91.68,73.07,85.0,61.9,0
JH-002,Loader,Morning,Overdue,9044.6,75.37,8.1147,62.98,253.0,1027.7,94.97,114.21,78.27,88.21,1
OD-001,Drill Rig,Night,Overdue,1041.9,60.13,4.3234,111.18,284.74,1305.5,70.03,63.56,47.91,64.37,0
JH-002,Excavator,Afternoon,Overdue,10326.7,,3.3726,93.99,148.2,1307.8,74.68,62.18,36.8,70.04,0
OD-002,Loader,Morning,Recent,9875.9,78.11,2.3447,81.39,251.58,967.3,,88.14,40.12,86.42,0
OD-002,Loader,Afternoon,On Schedule,10927.5,62.66,2.901,82.13,280.2,1385.0,,78.01,27.69,75.74,1
OD-001,Drill Rig,Night,On Schedule,1630.7,95.9,1.4913,108.52,293.68,1412.2,79.0,69.03,39.44,103.86,0
OD-002,Excavator,Afternoon,Recent,1073.2,65.52,7.2455,91.6,306.78,2115.9,85.58,68.72,62.6,76.11,0
JH-001,Conveyor,Night,Overdue,1747.1,15.52,4.7043,103.08,134.54,1976.8,85.87,67.97,69.92,22.97,0
CG-002,Drill Rig,Night,On Schedule,4852.6,76.95,,,201.34,1240.2,79.49,78.1,68.44,78.13,0
CG-002,Excavator,Night,Overdue,5149.3,70.96,3.1836,107.9,75.23,,76.21,47.68,84.52,,0
JH-002,Excavator,Morning,Overdue,6790.4,58.24,1.8192,,142.56,1814.4,78.45,113.01,57.26,73.41,0
OD-001,Crusher,Afternoon,Overdue,1554.7,66.88,1.0674,77.8,24.92,2249.9,76.46,47.4,87.25,71.65,0
JH-002,Loader,Morning,Overdue,2496.7,53.67,1.4901,344.16,181.36,1284.8,71.13,30.85,70.84,61.5,1
JH-002,Drill Rig,Night,Overdue,9758.6,55.07,1.8598,95.74,204.59,,71.45,100.69,24.81,64.34,0
JH-001,Loader,Morning,Overdue,5669.1,80.88,1.1606,102.53,169.64,1559.2,100.68,79.67,27.22,90.24,0
CG-002,Loader,Night,On Schedule,9714.5,71.6,1.8639,97.78,128.95,1147.6,58.13,112.12,30.05,78.33,0
JH-002,Excavator,Night,Overdue,188.4,66.13,1.5153,101.08,118.09,1330.1,92.84,112.54,90.71,81.8,0
OD-001,Excavator,Morning,On Schedule,6664.0,46.78,1.953,116.65,204.65,1575.8,82.83,97.01,23.11,59.1,1
CG-002,Conveyor,Afternoon,Overdue,11190.0,64.12,4.8995,62.34,140.98,763.8,75.59,85.24,52.32,83.25,1
OD-001,Loader,Morning,On Schedule,7027.9,,1.0394,93.98,117.23,1483.0,,100.6,38.64,102.68,1
JH-001,Dumper,Afternoon,On Schedule,2552.5,79.43,6.6113,122.46,21.54,1479.6,95.54,37.05,58.43,83.44,1
CG-001,Loader,Morning,Recent,8641.3,69.35,4.0283,56.76,294.43,1915.9,77.99,74.08,69.86,84.74,0
JH-001,Loader,Night,On Schedule,4609.9,,2.1648,83.5,31.69,,65.54,82.34,61.01,72.79,0
OD-001,Excavator,Morning,Recent,8053.8,56.68,1.8965,76.09,261.72,842.6,,38.2,27.66,56.26,1
CG-001,Drill Rig,Night,Recent,448.9,26.17,0.7699,95.59,53.05,1842.5,87.84,106.11,22.19,44.85,0
OD-002,Excavator,Night,Recent,7667.2,,5.2663,86.15,315.62,1821.4,71.12,104.27,65.95,66.54,0
OD-002,Dumper,Morning,Overdue,483.2,56.67,,,67.69,1157.3,80.77,48.47,65.2,69.94,0
CG-002,Dumper,Morning,On Schedule,8962.9,53.92,2.0376,65.89,72.0,1202.0,68.71,79.4,79.24,67.17,1
CG-001,Drill Rig,Afternoon,Recent,5727.7,,3.5382,121.59,164.15,1420.7,82.46,100.03,24.13,117.52,1
CG-002,Drill Rig,Afternoon,Recent,1548.9,69.84,3.052,115.95,165.47,1742.7,74.84,73.81,57.87,80.38,0
OD-002,Crusher,Afternoon,On Schedule,6557.4,44.38,2.268,119.4,34.43,1371.0,75.47,57.2,42.42,61.23,0
CG-002,Excavator,Night,Recent,894.6,72.68,3.7029,68.73,39.05,1344.4,88.71,28.91,64.17,84.41,0
CG-001,Crusher,Morning,On Schedule,7875.0,45.09,2.1727,97.78,140.87,833.6,86.83,46.18,34.56,,1
JH-001,Loader,Afternoon,On Schedule,11953.4,41.47,4.4562,74.58,201.23,,68.65,113.25,49.34,47.63,1
OD-001,Drill Rig,Afternoon,Overdue,9255.8,71.24,1.6727,77.12,58.27,1218.5,74.67,112.84,27.05,88.89,1
OD-001,Conveyor,Afternoon,Overdue,6927.9,62.83,,91.74,274.22,,100.15,57.55,45.8,68.96,1
OD-001,Loader,Morning,Overdue,1321.4,31.7,1.7118,105.22,316.22,1361.2,,60.07,28.24,36.39,0
JH-001,Dumper,Night,On Schedule,8428.0,63.51,2.3312,149.39,114.69,1671.3,73.58,99.8,49.89,75.67,1
OD-001,Excavator,Night,Recent,7967.9,,2.7148,54.44,48.2,1716.6,77.33,79.91,57.97,59.67,0
CG-001,Drill Rig,Night,Recent,684.3,,2.2106,119.67,280.21,1603.6,77.75,85.81,64.87,75.73,0
JH-001,Excavator,Afternoon,On Schedule,9528.4,60.9,2.6771,116.19,317.09,1523.2,86.97,67.11,60.15,75.39,1
CG-001,Excavator,Afternoon,On Schedule,6272.7,84.77,1.3919,106.72,126.23,1721.7,82.45,83.68,31.07,95.64,0
CG-002,Excavator,Night,Overdue,5167.8,58.8,4.1876,,214.72,1523.4,84.69,58.93,67.66,66.71,0
JH-001,Dumper,Night,Overdue,9479.4,35.86,3.5243,,25.63,1644.0,63.91,77.27,78.21,48.08,0
CG-002,Excavator,Night,Recent,4997.7,72.2,1.1265,146.0,153.06,1738.5,79.83,100.93,76.64,92.4,0
CG-001,Conveyor,Night,Overdue,5824.2,59.13,3.7568,254.64,306.39,1671.1,67.59,37.63,52.87,63.21,0
JH-001,Dumper,Afternoon,Overdue,2261.4,74.99,,91.07,134.17,1575.5,77.31,104.16,82.16,76.34,0
CG-002,Drill Rig,Afternoon,On Schedule,3923.7,60.12,,110.33,246.53,1066.7,88.43,29.46,73.23,,0
JH-002,Crusher,Afternoon,On Schedule,10161.8,51.76,3.8075,84.11,237.91,1941.4,78.63,54.75,68.49,64.09,1
