contractor_id,contractor_name,registration_number,contract_start_date,contract_end_date,contract_value,work_scope,worker_count,training_percentage,licence_number,licence_expiry,insurance_number,insurance_expiry,violations_count,risk_rating,address,phone,email
CON-017,PQR Mining Corp,REG-017-2020,2020-05-24,2023-05-24,1409949.53,Maintenance Services,90,73.91,LIC-017,2023-08-10,INS-017,2024-02-25,4,Medium,"761 Mining Colony, Korba, Chhattisgarh - 653635",+91987656796697,contact@pqrminingcorp.com
CON-018,LMN Mining Services,REG-018-2020,2020-02-14,2021-02-13,20648932.58,Safety Services,282,85.11,LIC-018,2021-06-03,INS-018,2021-07-21,7,High,"708 Mining Colony, Bokaro, Jharkhand - 555431",+91987650422730,contact@lmnminingservices.com
CON-019,DEF Mining Corp,REG-019-2020,2021-10-13,2023-10-13,30003425.58,Drilling Services,257,82.03,LIC-019,2024-09-17,INS-019,2024-09-04,0,Low,"848 Mining Colony, Korba, Odisha - 927585",+91987654501201,contact@defminingcorp.com
CON-020,ABC Mining Services,REG-020-2020,2020-11-18,2021-11-18,33948359.97,Safety Services,115,70.49,LIC-020,2022-11-08,INS-020,2022-03-14,12,Critical,"988 Mining Colony, Bokaro, Chhattisgarh - 903393",+91987657258299,contact@abcminingservices.com
CON-021,XYZ Mining Corp,REG-021-2020,2021-09-28,2023-09-28,23402464.97,Drilling Services,271,74.84,LIC-021,2024-04-14,INS-021,2024-02-14,9,Critical,"539 Mining Colony, Korba, Jharkhand - 298446",+91987658216634,contact@xyzminingcorp.com
CON-022,PQR Mining Services,REG-022-2020,2020-10-23,2023-10-23,12056839.09,Transport Services,46,72.25,LIC-022,2024-02-25,INS-022,2024-06-05,8,High,"274 Mining Colony, Bokaro, Odisha - 890004",+91987650605490,contact@pqrminingservices.com
CON-023,LMN Mining Corp,REG-023-2020,2021-07-03,2024-07-02,21404414.25,Drilling Services,93,89.45,LIC-023,2025-02-27,INS-023,2025-01-17,9,Critical,"988 Mining Colony, Korba, Chhattisgarh - 337593",+91987651974179,contact@lmnminingcorp.com
CON-024,DEF Mining Services,REG-024-2020,2020-05-29,2023-05-29,26404855.42,Safety Services,110,99.14,LIC-024,2024-05-04,INS-024,2023-07-23,6,High,"646 Mining Colony, Bokaro, Jharkhand - 431706",+91987655105120,contact@defminingservices.com
CON-025,ABC Mining Corp,REG-025-2020,2020-12-11,2024-12-10,12655866.32,Safety Services,188,78.17,LIC-025,2025-04-30,INS-025,2025-03-19,3,Medium,"447 Mining Colony, Korba, Odisha - 499664",+91987651208160,contact@abcminingcorp.com
CON-026,XYZ Mining Services,REG-026-2020,2021-03-02,2023-03-02,41957828.99,Drilling Services,134,70.96,LIC-026,2024-01-08,INS-026,2023-05-05,9,Critical,"686 Mining Colony, Bokaro, Chhattisgarh - 583572",+91987653647395,contact@xyzminingservices.com
CON-027,PQR Mining Corp,REG-027-2020,2021-12-02,2023-12-02,48705188.57,Transport Services,173,79.99,LIC-027,2024-01-08,INS-027,2024-05-08,5,Medium,"797 Mining Colony, Korba, Jharkhand - 254966",+91987654701611,contact@pqrminingcorp.com
CON-028,LMN Mining Services,REG-028-2020,2020-05-29,2021-05-29,18352244.1,Maintenance Services,271,76.05,LIC-028,2022-05-25,INS-028,2022-03-16,9,Critical,"970 Mining Colony, Bokaro, Odisha - 112931",+91987657575738,contact@lmnminingservices.com
CON-029,DEF Mining Corp,REG-029-2020,2021-01-22,2022-01-22,13183530.58,Safety Services,263,91.05,LIC-029,2022-06-17,INS-029,2022-12-30,5,Medium,"298 Mining Colony, Korba, Chhattisgarh - 852335",+91987650702448,contact@defminingcorp.com
CON-030,ABC Mining Services,REG-030-2020,2020-01-25,2022-01-24,41016918.06,Excavation Services,101,96.33,LIC-030,2022-10-03,INS-030,2022-10-14,8,High,"571 Mining Colony, Bokaro, Jharkhand - 933858",+91987657022301,contact@abcminingservices.com
CON-031,XYZ Mining Corp,REG-031-2020,2021-08-22,2024-08-21,6026151.16,Maintenance Services,20,95.32,LIC-031,2025-05-28,INS-031,2024-10-04,11,Critical,"164 Mining Colony, Korba, Odisha - 606384",+91987653197592,contact@xyzminingcorp.com
CON-032,PQR Mining Services,REG-032-2020,2021-10-10,2022-10-10,38763364.2,Drilling Services,285,95.65,LIC-032,2022-12-09,INS-032,2022-12-06,0,Low,"687 Mining Colony, Bokaro, Chhattisgarh - 139580",+91987653655753,contact@pqrminingservices.com
CON-033,LMN Mining Corp,REG-033-2020,2021-08-24,2022-08-24,42232167.09,Excavation Services,51,86.77,LIC-033,2022-10-18,INS-033,2023-07-10,2,Low,"839 Mining Colony, Korba, Jharkhand - 686251",+91987652823446,contact@lmnminingcorp.com
CON-034,DEF Mining Services,REG-034-2020,2020-04-25,2021-04-25,10667732.17,Safety Services,291,84.43,LIC-034,2021-07-17,INS-034,2021-11-12,1,Low,"913 Mining Colony, Bokaro, Odisha - 404386",+91987651763312,contact@defminingservices.com
CON-035,ABC Mining Corp,REG-035-2020,2021-04-21,2026-04-20,29445918.6,Drilling Services,237,81.01,LIC-035,2026-06-17,INS-035,2026-06-29,12,Critical,"927 Mining Colony, Korba, Chhattisgarh - 513085",+91987652955879,contact@abcminingcorp.com
CON-036,XYZ Mining Services,REG-036-2020,2020-10-15,2022-10-15,30136129.9,Transport Services,208,97.49,LIC-036,2023-08-02,INS-036,2023-07-18,0,Low,"585 Mining Colony, Bokaro, Jharkhand - 601474",+91987659749982,contact@xyzminingservices.com
CON-037,PQR Mining Corp,REG-037-2020,2020-04-01,2023-04-01,33481781.07,Drilling Services,109,97.6,LIC-037,2023-05-27,INS-037,2023-11-01,8,High,"678 Mining Colony, Korba, Odisha - 308960",+91987652319115,contact@pqrminingcorp.com
CON-038,LMN Mining Services,REG-038-2020,2021-12-26,2026-12-25,12112654.48,Excavation Services,211,98.06,LIC-038,2027-09-27,INS-038,2027-07-11,4,Medium,"261 Mining Colony, Bokaro, Chhattisgarh - 928785",+91987656798093,contact@lmnminingservices.com
CON-039,DEF Mining Corp,REG-039-2020,2020-08-07,2022-08-07,14013865.63,Drilling Services,169,97.7,LIC-039,2023-03-25,INS-039,2023-04-01,0,Low,"320 Mining Colony, Korba, Jharkhand - 608919",+91987653042940,contact@defminingcorp.com
CON-040,ABC Mining Services,REG-040-2020,2021-09-05,2024-09-04,26022859.25,Drilling Services,114,96.9,LIC-040,2025-08-14,INS-040,2024-10-15,0,Low,"110 Mining Colony, Bokaro, Odisha - 882123",+91987654897392,contact@abcminingservices.com
CON-041,XYZ Mining Corp,REG-041-2020,2020-08-17,2021-08-17,47756492.91,Excavation Services,242,89.23,LIC-041,2022-07-21,INS-041,2022-04-30,11,Critical,"27 Mining Colony, Korba, Chhattisgarh - 873254",+91987657226908,contact@xyzminingcorp.com
CON-042,PQR Mining Services,REG-042-2020,2021-04-15,2022-04-15,13467923.62,Drilling Services,25,74.82,LIC-042,2022-07-09,INS-042,2023-03-26,3,Medium,"948 Mining Colony, Bokaro, Jharkhand - 465281",+91987650525255,contact@pqrminingservices.com
CON-043,LMN Mining Corp,REG-043-2020,2021-05-30,2022-05-30,19178401.7,Drilling Services,124,76.62,LIC-043,2022-12-25,INS-043,2023-03-11,4,Medium,"77 Mining Colony, Korba, Odisha - 473327",+91987652029550,contact@lmnminingcorp.com
CON-044,DEF Mining Services,REG-044-2020,2021-07-17,2022-07-17,37757017.26,Transport Services,110,90.55,LIC-044,2023-07-09,INS-044,2023-05-06,1,Low,"371 Mining Colony, Bokaro, Chhattisgarh - 187916",+91987654686727,contact@defminingservices.com
CON-045,ABC Mining Corp,REG-045-2020,2021-03-28,2023-03-28,28790354.86,Safety Services,24,79.77,LIC-045,2023-12-20,INS-045,2024-02-17,10,Critical,"734 Mining Colony, Korba, Jharkhand - 766363",+91987659709054,contact@abcminingcorp.com
CON-046,XYZ Mining Services,REG-046-2020,2021-08-05,2022-08-05,36192514.49,Transport Services,273,74.49,LIC-046,2023-05-09,INS-046,2023-03-21,8,High,"310 Mining Colony, Bokaro, Odisha - 779880",+91987651668632,contact@xyzminingservices.com
CON-047,PQR Mining Corp,REG-047-2020,2021-06-18,2022-06-18,21765814.11,Safety Services,115,81.64,LIC-047,2022-10-27,INS-047,2023-02-04,2,Low,"267 Mining Colony, Korba, Chhattisgarh - 345306",+91987654898372,contact@pqrminingcorp.com
CON-048,LMN Mining Services,REG-048-2020,2021-11-10,2022-11-10,29186883.12,Maintenance Services,121,91.07,LIC-048,2023-09-29,INS-048,2023-05-22,9,Critical,"235 Mining Colony, Bokaro, Jharkhand - 259263",+91987659945030,contact@lmnminingservices.com
CON-049,DEF Mining Corp,REG-049-2020,2021-01-04,2024-01-04,14051065.62,Excavation Services,191,91.85,LIC-049,2024-06-19,INS-049,2024-12-22,6,High,"243 Mining Colony, Korba, Odisha - 819349",+91987652351040,contact@defminingcorp.com
CON-050,ABC Mining Services,REG-050-2020,2020-03-29,2025-03-28,9924879.15,Excavation Services,25,95.82,LIC-050,2025-11-13,INS-050,2025-07-07,6,High,"567 Mining Colony, Bokaro, Chhattisgarh - 979096",+91987657073434,contact@abcminingservices.com
CON-051,XYZ Mining Corp,REG-051-2020,2020-04-07,2021-04-07,28352860.25,Transport Services,172,95.96,LIC-051,2021-12-07,INS-051,2021-05-26,10,Critical,"501 Mining Colony, Korba, Jharkhand - 616809",+91987658534641,contact@xyzminingcorp.com
CON-052,PQR Mining Services,REG-052-2020,2021-08-20,2026-08-19,28579238.26,Drilling Services,286,82.41,LIC-052,2027-02-14,INS-052,2027-01-07,3,Medium,"203 Mining Colony, Bokaro, Odisha - 967473",+91987659270368,contact@pqrminingservices.com
CON-053,LMN Mining Corp,REG-053-2020,2021-09-11,2026-09-10,40307521.06,Drilling Services,183,92.75,LIC-053,2027-07-21,INS-053,2027-06-29,0,Low,"315 Mining Colony, Korba, Chhattisgarh - 698234",+91987656684355,contact@lmnminingcorp.com
CON-054,DEF Mining Services,REG-054-2020,2021-12-09,2023-12-09,18452353.72,Transport Services,184,96.45,LIC-054,2024-01-23,INS-054,2024-05-13,11,Critical,"116 Mining Colony, Bokaro, Jharkhand - 922671",+91987655492105,contact@defminingservices.com
CON-055,ABC Mining Corp,REG-055-2020,2020-08-14,2025-08-13,37589349.91,Drilling Services,53,99.36,LIC-055,2025-12-20,INS-055,2025-10-19,3,Medium,"365 Mining Colony, Korba, Odisha - 988196",+91987652176870,contact@abcminingcorp.com
CON-056,XYZ Mining Services,REG-056-2020,2020-03-09,2023-03-09,36438468.63,Transport Services,267,99.31,LIC-056,2023-05-16,INS-056,2023-11-24,4,Medium,"241 Mining Colony, Bokaro, Chhattisgarh - 907363",+91987651067215,contact@xyzminingservices.com
CON-057,PQR Mining Corp,REG-057-2020,2021-09-13,2023-09-13,46559615.67,Maintenance Services,85,72.36,LIC-057,2024-08-08,INS-057,2024-05-29,12,Critical,"705 Mining Colony, Korba, Jharkhand - 358129",+91987651753248,contact@pqrminingcorp.com
CON-058,LMN Mining Services,REG-058-2020,2020-11-01,2023-11-01,23141361.82,Maintenance Services,208,79.05,LIC-058,2024-05-14,INS-058,2024-08-20,10,Critical,"435 Mining Colony, Bokaro, Odisha - 873168",+91987656589177,contact@lmnminingservices.com
CON-059,DEF Mining Corp,REG-059-2020,2020-01-04,2021-01-03,28933368.48,Transport Services,225,96.93,LIC-059,2021-03-26,INS-059,2021-04-04,6,High,"1 Mining Colony, Korba, Chhattisgarh - 664556",+91987651922432,contact@defminingcorp.com
CON-060,ABC Mining Services,REG-060-2020,2020-01-19,2024-01-18,15594071.49,Transport Services,101,80.64,LIC-060,2025-01-09,INS-060,2024-11-22,6,High,"121 Mining Colony, Bokaro, Jharkhand - 776318",+91987655535093,contact@abcminingservices.com
CON-061,XYZ Mining Corp,REG-061-2020,2020-02-12,2025-02-10,18698479.82,Excavation Services,67,71.47,LIC-061,2026-01-30,INS-061,2025-12-12,0,Low,"884 Mining Colony, Korba, Odisha - 980225",+91987653266217,contact@xyzminingcorp.com
CON-062,PQR Mining Services,REG-062-2020,2020-01-16,2024-01-15,34645045.8,Transport Services,171,84.35,LIC-062,2024-03-16,INS-062,2024-07-26,7,High,"551 Mining Colony, Bokaro, Chhattisgarh - 587853",+91987651018283,contact@pqrminingservices.com
CON-063,LMN Mining Corp,REG-063-2020,2020-09-10,2024-09-09,6121683.45,Excavation Services,65,97.28,LIC-063,2025-08-04,INS-063,2025-03-16,10,Critical,"137 Mining Colony, Korba, Jharkhand - 826738",+91987657650019,contact@lmnminingcorp.com
CON-064,DEF Mining Services,REG-064-2020,2020-03-19,2021-03-19,3990798.3,Maintenance Services,217,99.41,LIC-064,2021-04-22,INS-064,2021-11-26,3,Medium,"156 Mining Colony, Bokaro, Odisha - 682583",+91987657923145,contact@defminingservices.com
CON-065,ABC Mining Corp,REG-065-2020,2021-09-26,2026-09-25,28319181.44,Transport Services,159,91.36,LIC-065,2027-04-15,INS-065,2027-06-01,11,Critical,"63 Mining Colony, Korba, Chhattisgarh - 513451",+91987659598218,contact@abcminingcorp.com
CON-066,XYZ Mining Services,REG-066-2020,2021-10-12,2024-10-11,47695877.22,Safety Services,75,79.91,LIC-066,2025-03-26,INS-066,2025-02-10,7,High,"709 Mining Colony, Bokaro, Jharkhand - 428848",+91987650987428,contact@xyzminingservices.com
CON-067,PQR Mining Corp,REG-067-2020,2021-09-14,2022-09-14,5985023.7,Excavation Services,192,75.92,LIC-067,2023-08-30,INS-067,2023-05-02,4,Medium,"286 Mining Colony, Korba, Odisha - 911282",+91987653714940,contact@pqrminingcorp.com
CON-068,LMN Mining Services,REG-068-2020,2020-03-08,2024-03-07,9042912.33,Excavation Services,33,95.17,LIC-068,2024-04-09,INS-068,2024-04-21,4,Medium,"691 Mining Colony, Bokaro, Chhattisgarh - 467933",+91987652860481,contact@lmnminingservices.com
CON-069,DEF Mining Corp,REG-069-2020,2020-02-14,2025-02-12,37931705.81,Drilling Services,180,70.1,LIC-069,2026-01-24,INS-069,2025-09-23,8,High,"548 Mining Colony, Korba, Jharkhand - 884927",+91987658594294,contact@defminingcorp.com
CON-070,ABC Mining Services,REG-070-2020,2021-12-03,2026-12-02,36772110.28,Drilling Services,54,72.62,LIC-070,2027-10-31,INS-070,2027-07-27,3,Medium,"706 Mining Colony, Bokaro, Odisha - 633505",+91987656907164,contact@abcminingservices.com
CON-071,XYZ Mining Corp,REG-071-2020,2021-05-22,2025-05-21,27549314.3,Transport Services,160,71.98,LIC-071,2025-09-04,INS-071,2025-08-16,9,Critical,"812 Mining Colony, Korba, Chhattisgarh - 170056",+91987658103129,contact@xyzminingcorp.com
CON-072,PQR Mining Services,REG-072-2020,2020-02-22,2024-02-21,8242287.5,Drilling Services,76,84.99,LIC-072,2025-01-15,INS-072,2024-08-26,2,Low,"927 Mining Colony, Bokaro, Jharkhand - 902690",+91987656923746,contact@pqrminingservices.com
CON-073,LMN Mining Corp,REG-073-2020,2020-01-04,2022-01-03,8402901.99,Excavation Services,128,89.87,LIC-073,2022-02-13,INS-073,2022-04-24,9,Critical,"894 Mining Colony, Korba, Odisha - 218865",+91987655611004,contact@lmnminingcorp.com
CON-074,DEF Mining Services,REG-074-2020,2020-11-12,2022-11-12,18236884.22,Transport Services,98,85.21,LIC-074,2023-10-07,INS-074,2023-09-23,1,Low,"113 Mining Colony, Bokaro, Chhattisgarh - 249290",+91987651930559,contact@defminingservices.com
CON-075,ABC Mining Corp,REG-075-2020,2020-02-03,2023-02-02,29928986.26,Excavation Services,63,75.6,LIC-075,2023-07-15,INS-075,2023-07-25,2,Low,"720 Mining Colony, Korba, Jharkhand - 307064",+91987656654464,contact@abcminingcorp.com
CON-076,XYZ Mining Services,REG-076-2020,2020-01-08,2022-01-07,16633427.11,Maintenance Services,140,99.54,LIC-076,2022-05-08,INS-076,2022-05-03,9,Critical,"126 Mining Colony, Bokaro, Odisha - 573486",+91987651735142,contact@xyzminingservices.com
CON-077,PQR Mining Corp,REG-077-2020,2020-06-17,2022-06-17,36734504.79,Excavation Services,185,94.83,LIC-077,2022-12-20,INS-077,2022-07-17,9,Critical,"200 Mining Colony, Korba, Chhattisgarh - 393232",+91987653847152,contact@pqrminingcorp.com
CON-078,LMN Mining Services,REG-078-2020,2021-01-20,2026-01-19,32384045.84,Safety Services,233,87.19,LIC-078,2026-07-11,INS-078,2026-11-26,0,Low,"221 Mining Colony, Bokaro, Jharkhand - 128996",+91987656580398,contact@lmnminingservices.com
CON-079,DEF Mining Corp,REG-079-2020,2021-02-23,2024-02-23,43123389.56,Maintenance Services,121,70.59,LIC-079,2024-04-06,INS-079,2025-02-11,9,Critical,"40 Mining Colony, Korba, Odisha - 359647",+91987658526572,contact@defminingcorp.com
CON-080,ABC Mining Services,REG-080-2020,2021-11-21,2025-11-20,16675439.69,Transport Services,232,94.16,LIC-080,2026-08-07,INS-080,2026-07-04,1,Low,"240 Mining Colony, Bokaro, Chhattisgarh - 378839",+91987653054361,contact@abcminingservices.com
CON-081,XYZ Mining Corp,REG-081-2020,2021-07-23,2023-07-23,12322068.49,Transport Services,158,77.06,LIC-081,2023-09-01,INS-081,2023-12-28,7,High,"93 Mining Colony, Korba, Jharkhand - 422903",+91987652887014,contact@xyzminingcorp.com
CON-082,PQR Mining Services,REG-082-2020,2021-05-11,2023-05-11,36602529.16,Excavation Services,197,72.42,LIC-082,2023-09-16,INS-082,2024-04-13,5,Medium,"292 Mining Colony, Bokaro, Odisha - 934507",+91987651642132,contact@pqrminingservices.com
CON-083,LMN Mining Corp,REG-083-2020,2020-10-24,2025-10-23,43763976.4,Maintenance Services,80,89.32,LIC-083,2026-01-06,INS-083,2026-01-01,2,Low,"541 Mining Colony, Korba, Chhattisgarh - 367780",+91987652469600,contact@lmnminingcorp.com
CON-084,DEF Mining Services,REG-084-2020,2020-11-22,2024-11-21,32447339.24,Safety Services,222,94.78,LIC-084,2025-04-23,INS-084,2025-02-27,10,Critical,"413 Mining Colony, Bokaro, Jharkhand - 880519",+91987658940213,contact@defminingservices.com
CON-085,ABC Mining Corp,REG-085-2020,2021-03-04,2023-03-04,19005456.31,Drilling Services,259,84.31,LIC-085,2023-12-01,INS-085,2023-10-22,10,Critical,"616 Mining Colony, Korba, Odisha - 104555",+91987655959834,contact@abcminingcorp.com
CON-086,XYZ Mining Services,REG-086-2020,2021-01-05,2024-01-05,30432041.92,Safety Services,164,89.8,LIC-086,2024-05-19,INS-086,2024-03-30,0,Low,"222 Mining Colony, Bokaro, Chhattisgarh - 998043",+91987654462554,contact@xyzminingservices.com
CON-087,PQR Mining Corp,REG-087-2020,2020-11-13,2024-11-12,30149256.62,Drilling Services,49,97.45,LIC-087,2025-05-05,INS-087,2025-10-12,8,High,"857 Mining Colony, Korba, Jharkhand - 784199",+91987652919740,contact@pqrminingcorp.com
CON-088,LMN Mining Services,REG-088-2020,2020-02-18,2025-02-16,42605546.64,Maintenance Services,227,85.07,LIC-088,2025-05-31,INS-088,2025-11-12,8,High,"514 Mining Colony, Bokaro, Odisha - 641425",+91987650006089,contact@lmnminingservices.com
CON-089,DEF Mining Corp,REG-089-2020,2020-03-10,2022-03-10,8201369.7,Safety Services,200,72.65,LIC-089,2023-02-14,INS-089,2022-05-05,6,High,"174 Mining Colony, Korba, Chhattisgarh - 735820",+91987655105201,contact@defminingcorp.com
CON-090,ABC Mining Services,REG-090-2020,2020-11-05,2022-11-05,2276178.22,Drilling Services,31,94.59,LIC-090,2022-12-24,INS-090,2023-07-09,11,Critical,"346 Mining Colony, Bokaro, Jharkhand - 609959",+91987651713506,contact@abcminingservices.com
CON-091,XYZ Mining Corp,REG-091-2020,2020-05-28,2025-05-27,25428914.24,Drilling Services,131,99.45,LIC-091,2025-11-20,INS-091,2026-03-12,0,Low,"667 Mining Colony, Korba, Odisha - 911375",+91987659398448,contact@xyzminingcorp.com
CON-092,PQR Mining Services,REG-092-2020,2020-01-20,2021-01-19,10620110.66,Maintenance Services,48,94.58,LIC-092,2021-07-25,INS-092,2021-12-03,4,Medium,"508 Mining Colony, Bokaro, Chhattisgarh - 371315",+91987652171627,contact@pqrminingservices.com
CON-093,LMN Mining Corp,REG-093-2020,2020-05-02,2023-05-02,9642748.68,Transport Services,294,75.45,LIC-093,2023-07-21,INS-093,2024-03-13,12,Critical,"602 Mining Colony, Korba, Jharkhand - 683626",+91987650510699,contact@lmnminingcorp.com
CON-094,DEF Mining Services,REG-094-2020,2020-10-28,2023-10-28,23452739.64,Maintenance Services,111,75.09,LIC-094,2024-07-02,INS-094,2024-02-15,5,Medium,"881 Mining Colony, Bokaro, Odisha - 688941",+91987654984618,contact@defminingservices.com
CON-095,ABC Mining Corp,REG-095-2020,2021-05-01,2022-05-01,24573127.77,Drilling Services,79,84.1,LIC-095,2023-01-04,INS-095,2023-03-31,10,Critical,"692 Mining Colony, Korba, Chhattisgarh - 716311",+91987659935048,contact@abcminingcorp.com
CON-096,XYZ Mining Services,REG-096-2020,2021-01-07,2026-01-06,3761925.2,Drilling Services,43,77.87,LIC-096,2026-05-29,INS-096,2026-03-21,10,Critical,"911 Mining Colony, Bokaro, Jharkhand - 739751",+91987657853363,contact@xyzminingservices.com
CON-097,PQR Mining Corp,REG-097-2020,2020-11-03,2021-11-03,20263015.08,Safety Services,204,88.63,LIC-097,2021-12-28,INS-097,2022-08-05,0,Low,"900 Mining Colony, Korba, Odisha - 143931",+91987657456432,contact@pqrminingcorp.com
CON-098,LMN Mining Services,REG-098-2020,2020-10-20,2021-10-20,23905570.94,Drilling Services,142,87.06,LIC-098,2022-07-26,INS-098,2022-03-10,5,Medium,"118 Mining Colony, Bokaro, Chhattisgarh - 914989",+91987650412977,contact@lmnminingservices.com
CON-099,DEF Mining Corp,REG-099-2020,2021-08-16,2022-08-16,45193285.81,Safety Services,122,89.94,LIC-099,2022-10-30,INS-099,2023-06-08,6,High,"709 Mining Colony, Korba, Jharkhand - 638481",+91987654030924,contact@defminingcorp.com
CON-100,ABC Mining Services,REG-100-2020,2021-11-14,2026-11-13,26655592.92,Transport Services,53,96.01,LIC-100,2027-06-27,INS-100,2027-10-25,3,Medium,"886 Mining Colony, Bokaro, Odisha - 511667",+91987656314134,contact@abcminingservices.com
CON-101,XYZ Mining Corp,REG-101-2020,2021-02-02,2023-02-02,29590472.22,Safety Services,45,71.26,LIC-101,2023-05-03,INS-101,2023-11-15,11,Critical,"1 Mining Colony, Korba, Chhattisgarh - 600039",+91987653930793,contact@xyzminingcorp.com
CON-102,PQR Mining Services,REG-102-2020,2021-10-05,2023-10-05,38618610.01,Safety Services,201,73.72,LIC-102,2024-09-28,INS-102,2023-12-06,9,Critical,"502 Mining Colony, Bokaro, Jharkhand - 825340",+91987653436740,contact@pqrminingservices.com
CON-103,LMN Mining Corp,REG-103-2020,2020-10-11,2025-10-10,20232187.05,Maintenance Services,65,83.64,LIC-103,2026-07-16,INS-103,2026-04-18,4,Medium,"375 Mining Colony, Korba, Odisha - 911535",+91987650306663,contact@lmnminingcorp.com
CON-104,DEF Mining Services,REG-104-2020,2021-05-11,2024-05-10,46665866.19,Maintenance Services,277,89.75,LIC-104,2025-03-16,INS-104,2024-06-22,4,Medium,"797 Mining Colony, Bokaro, Chhattisgarh - 613833",+91987658326235,contact@defminingservices.com
