attendance_id,worker_id,mine_id,shift_date,shift_type,attendance_status,check_in_time,check_out_time,training_status,training_expiry,medical_fitness,medical_expiry,ppe_status,ppe_issues
ATT-00019,WRK-2484,CG-002,2023-01-30,Night,On Leave,,,Expired,2023-01-26,Fit,2023-08-08,Compliant,
ATT-00020,WRK-1807,CG-002,2023-01-09,Morning,Present,06:15:00,16:34:00,Certified,2023-12-28,Fit,2023-11-03,Compliant,
ATT-00021,WRK-8694,OD-001,2023-03-03,Morning,Late,,,Certified,2024-02-18,Fit,2023-11-30,Compliant,
ATT-00022,WRK-9376,CG-002,2023-01-12,Morning,Present,06:38:00,14:16:00,Certified,2023-11-03,Fit,2023-09-21,Compliant,
ATT-00023,WRK-0906,JH-003,2023-01-31,Afternoon,Present,16:19:00,23:16:00,Pending,2023-01-02,Fit,2023-11-11,Non-Compliant,Boots missing
ATT-00024,WRK-4956,JH-002,2023-03-24,Morning,Present,06:26:00,15:00:00,Certified,2023-07-14,Pending,2023-03-17,Compliant,
ATT-00025,WRK-0616,JH-002,2023-01-22,Afternoon,Present,16:05:00,23:06:00,Certified,2023-12-14,Fit,2023-08-31,Compliant,
ATT-00026,WRK-5007,JH-003,2023-02-24,Afternoon,Present,15:14:00,22:09:00,Certified,2023-06-13,Pending,2023-02-14,Non-Compliant,None
ATT-00027,WRK-7951,OD-002,2023-01-06,Night,Present,23:40:00,07:41:00,Certified,2023-12-21,Fit,2023-08-21,Compliant,
ATT-00028,WRK-3985,JH-001,2023-03-07,Night,Present,23:59:00,07:02:00,Pending,2023-02-21,Fit,2023-08-25,Compliant,
ATT-00029,WRK-3107,OD-002,2023-03-25,Morning,Present,06:20:00,14:45:00,Certified,2024-02-25,Fit,2023-11-16,Non-Compliant,None
ATT-00030,WRK-2027,CG-002,2023-02-27,Night,Present,22:12:00,08:40:00,Certified,2023-06-13,Unfit,2023-01-29,Compliant,
ATT-00031,WRK-7908,JH-003,2023-03-24,Night,Present,22:49:00,06:44:00,Certified,2023-08-12,Unfit,2023-03-21,Compliant,
ATT-00032,WRK-9595,CG-001,2023-02-06,Afternoon,Present,15:04:00,22:13:00,Certified,2023-06-07,Fit,2023-05-20,Compliant,
ATT-00033,WRK-6363,OD-002,2023-01-13,Night,Present,23:13:00,07:04:00,Certified,2023-12-24,Fit,2023-11-01,Partial,Boots missing
ATT-00034,WRK-7881,JH-001,2023-01-24,Afternoon,Present,16:07:00,22:30:00,Pending,2023-01-08,Fit,2023-07-13,Compliant,
ATT-00035,WRK-5360,CG-001,2023-03-24,Afternoon,Present,14:03:00,23:47:00,Certified,2023-11-17,Fit,2024-01-25,Non-Compliant,Helmet missing
ATT-00036,WRK-8200,JH-003,2023-02-17,Morning,Present,07:29:00,15:45:00,Certified,2023-12-28,Fit,2023-05-19,Compliant,
ATT-00037,WRK-4928,JH-001,2023-01-11,Afternoon,Present,15:38:00,22:05:00,Expired,2023-01-04,Fit,2023-09-20,Compliant,
ATT-00038,WRK-4981,JH-002,2023-02-24,Night,Present,23:42:00,08:50:00,Certified,2024-01-08,Fit,2023-12-29,Compliant,
ATT-00039,WRK-9346,CG-002,2023-01-02,Morning,Late,,,Certified,2023-12-15,Unfit,2022-12-29,Compliant,
ATT-00040,WRK-0194,JH-003,2023-01-15,Morning,Present,08:41:00,15:17:00,Certified,2023-09-10,Pending,2022-12-17,Partial,Helmet missing
ATT-00041,WRK-3454,OD-002,2023-01-31,Afternoon,Present,14:04:00,22:04:00,Certified,2024-01-04,Fit,2024-01-02,Compliant,
ATT-00042,WRK-8826,JH-002,2023-01-02,Night,Present,23:39:00,06:32:00,Certified,2023-08-08,Pending,2022-12-20,Compliant,
ATT-00043,WRK-4746,JH-002,2023-01-20,Morning,Present,06:02:00,14:50:00,Pending,2023-01-15,Fit,2023-08-25,Compliant,
ATT-00044,WRK-4446,JH-001,2023-02-01,Afternoon,Present,14:54:00,22:48:00,Certified,2023-09-07,Fit,2023-12-27,Compliant,
ATT-00045,WRK-2143,CG-002,2023-01-15,Night,Present,23:40:00,08:30:00,Certified,2023-10-21,Pending,2023-01-04,Compliant,
ATT-00046,WRK-4713,OD-002,2023-02-18,Morning,Present,07:03:00,15:45:00,Expired,2023-02-04,Fit,2023-07-04,Compliant,
ATT-00047,WRK-3429,JH-003,2023-02-21,Night,Present,22:16:00,08:20:00,Certified,2024-01-10,Fit,2023-11-06,Partial,None
ATT-00048,WRK-8575,CG-002,2023-01-06,Morning,Present,08:14:00,14:27:00,Certified,2023-12-03,Fit,2023-10-30,Compliant,
ATT-00049,WRK-3799,CG-001,2023-01-08,Morning,Present,08:33:00,16:09:00,Pending,2023-01-05,Fit,2023-09-27,Compliant,
ATT-00050,WRK-8183,OD-002,2023-02-01,Night,Present,22:11:00,08:21:00,Certified,2023-11-10,Unfit,2023-01-24,Partial,Boots missing
ATT-00051,WRK-1905,JH-001,2023-02-24,Night,Present,22:52:00,07:22:00,Certified,2023-07-12,Fit,2023-08-09,Partial,Helmet missing
ATT-00052,WRK-2701,OD-001,2023-01-20,Night,Present,23:48:00,07:32:00,Certified,2023-09-07,Fit,2023-11-03,Partial,Boots missing
ATT-00053,WRK-2463,JH-001,2023-02-08,Night,Present,23:09:00,07:52:00,Certified,2023-06-17,Fit,2024-01-22,Compliant,
ATT-00054,WRK-1493,JH-003,2023-03-06,Afternoon,Present,14:39:00,23:53:00,Certified,2024-01-28,Unfit,2023-02-17,Compliant,
ATT-00055,WRK-2255,OD-002,2023-03-20,Morning,Present,08:00:00,15:56:00,Certified,2023-08-07,Pending,2023-03-11,Compliant,
ATT-00056,WRK-8502,CG-001,2023-01-02,Night,Late,,,Certified,2023-12-24,Fit,2023-04-15,Partial,Helmet missing
ATT-00057,WRK-6773,JH-003,2023-01-09,Morning,Present,06:26:00,14:23:00,Certified,2023-06-01,Fit,2023-09-14,Compliant,
ATT-00058,WRK-2990,CG-002,2023-03-29,Afternoon,Present,15:24:00,23:11:00,Pending,2023-03-06,Fit,2024-03-15,Partial,None
ATT-00059,WRK-8678,JH-003,2023-01-27,Afternoon,Present,14:16:00,22:02:00,Certified,2023-09-02,Fit,2023-12-19,Partial,Boots missing
ATT-00060,WRK-3159,JH-002,2023-02-11,Morning,Present,06:02:00,16:16:00,Certified,2023-05-23,Fit,2023-10-08,Compliant,
ATT-00061,WRK-1466,JH-001,2023-01-05,Morning,Present,06:18:00,15:23:00,Certified,2023-12-07,Fit,2023-05-19,Compliant,
ATT-00062,WRK-3603,JH-003,2023-03-14,Afternoon,Present,16:17:00,23:52:00,Certified,2023-08-03,Fit,2024-02-27,Compliant,
ATT-00063,WRK-1401,JH-002,2023-02-27,Morning,Present,08:09:00,15:10:00,Pending,2023-02-24,Fit,2024-02-01,Compliant,
ATT-00064,WRK-3296,CG-002,2023-01-31,Morning,Present,07:23:00,15:42:00,Certified,2023-12-17,Fit,2023-06-05,Compliant,
ATT-00065,WRK-5617,JH-002,2023-04-01,Morning,Present,06:58:00,14:58:00,Pending,2023-03-12,Fit,2024-03-06,Compliant,
ATT-00066,WRK-0452,JH-001,2023-01-12,Morning,Present,08:22:00,16:52:00,Pending,2022-12-20,Fit,2023-07-14,Compliant,
ATT-00067,WRK-4438,OD-002,2023-03-12,Night,Present,22:14:00,08:44:00,Certified,2024-02-26,Fit,2023-10-13,Compliant,
ATT-00068,WRK-0553,JH-003,2023-01-18,Night,Present,23:50:00,07:01:00,Pending,2023-01-05,Fit,2023-10-09,Compliant,
ATT-00069,WRK-3413,JH-002,2023-03-19,Morning,Present,08:39:00,15:00:00,Pending,2023-03-16,Fit,2023-09-16,Compliant,
ATT-00070,WRK-5343,JH-001,2023-02-25,Night,Present,23:10:00,06:38:00,Certified,2023-08-24,Unfit,2023-02-19,Compliant,
ATT-00071,WRK-5664,JH-002,2023-03-07,Afternoon,Present,14:05:00,22:12:00,Certified,2023-10-19,Fit,2023-10-18,Compliant,
ATT-00072,WRK-1000,OD-002,2023-02-03,Morning,Present,07:17:00,15:45:00,Pending,2023-01-09,Fit,2023-08-07,Compliant,
ATT-00073,WRK-8185,CG-001,2023-03-16,Afternoon,Present,14:49:00,22:51:00,Certified,2023-09-05,Unfit,2023-03-13,Compliant,
ATT-00074,WRK-8351,JH-001,2023-03-07,Night,Present,22:42:00,08:14:00,Pending,2023-02-17,Fit,2023-10-23,Compliant,
ATT-00075,WRK-5626,CG-002,2023-03-24,Afternoon,Present,16:02:00,22:59:00,Certified,2023-08-04,Fit,2023-12-10,Partial,Helmet missing
ATT-00076,WRK-5200,JH-003,2023-02-24,Night,Absent,,,Certified,2023-08-30,Fit,2023-07-01,Compliant,
ATT-00077,WRK-2259,CG-002,2023-02-26,Afternoon,Present,16:55:00,23:46:00,Certified,2023-11-11,Pending,2023-02-02,Compliant,
ATT-00078,WRK-8009,JH-002,2023-01-20,Afternoon,Present,15:42:00,23:48:00,Expired,2023-01-18,Fit,2023-06-28,Compliant,
ATT-00079,WRK-1559,OD-002,2023-01-18,Afternoon,Present,15:32:00,22:25:00,Pending,2022-12-21,Fit,2023-05-21,Compliant,
ATT-00080,WRK-0790,CG-001,2023-01-19,Afternoon,On Leave,,,Expired,2022-12-21,Fit,2023-10-25,Compliant,
ATT-00081,WRK-2417,OD-001,2023-02-28,Afternoon,Present,16:58:00,22:18:00,Expired,2023-02-21,Fit,2023-08-04,Partial,None
ATT-00082,WRK-3146,OD-001,2023-01-22,Morning,On Leave,,,Certified,2023-12-31,Fit,2023-06-25,Non-Compliant,Boots missing
ATT-00083,WRK-4964,OD-002,2023-02-06,Morning,Present,06:17:00,15:13:00,Certified,2023-09-24,Fit,2023-08-09,Partial,Boots missing
ATT-00084,WRK-9903,CG-002,2023-01-18,Night,Present,22:30:00,06:17:00,Pending,2023-01-11,Fit,2023-12-03,Compliant,
ATT-00085,WRK-0346,JH-003,2023-03-10,Night,Present,22:52:00,07:24:00,Expired,2023-03-05,Fit,2023-08-24,Compliant,
ATT-00086,WRK-6023,OD-002,2023-03-19,Afternoon,Present,15:35:00,22:47:00,Pending,2023-03-03,Fit,2024-01-01,Compliant,
ATT-00087,WRK-9755,OD-002,2023-03-05,Afternoon,Present,16:47:00,23:06:00,Expired,2023-02-03,Fit,2024-02-17,Partial,None
ATT-00088,WRK-7188,JH-001,2023-01-07,Afternoon,Present,15:49:00,22:25:00,Certified,2023-06-01,Fit,2023-08-20,Non-Compliant,Boots missing
ATT-00089,WRK-6336,CG-001,2023-02-06,Night,Present,23:56:00,08:24:00,Certified,2023-10-24,Fit,2023-12-05,Compliant,
ATT-00090,WRK-0460,OD-001,2023-02-24,Night,Present,23:05:00,06:46:00,Certified,2023-12-19,Fit,2023-08-05,Compliant,
ATT-00091,WRK-3699,JH-003,2023-04-01,Night,Present,23:51:00,08:49:00,Certified,2023-11-29,Fit,2023-11-24,Compliant,
ATT-00092,WRK-2718,OD-001,2023-02-11,Night,Present,23:14:00,07:59:00,Certified,2024-01-08,Unfit,2023-01-30,Compliant,
ATT-00093,WRK-4848,JH-001,2023-02-12,Night,Present,23:38:00,06:21:00,Certified,2023-08-09,Fit,2023-10-28,Compliant,
ATT-00094,WRK-8924,CG-001,2023-02-17,Night,Late,,,Certified,2023-11-26,Fit,2023-06-25,Compliant,
ATT-00095,WRK-5170,JH-003,2023-01-01,Night,Present,22:19:00,08:03:00,Pending,2022-12-17,Fit,2023-05-31,Partial,Boots missing
ATT-00096,WRK-4567,OD-002,2023-01-04,Morning,Present,08:42:00,15:59:00,Pending,2022-12-16,Fit,2023-04-10,Partial,Helmet missing
ATT-00097,WRK-6175,CG-002,2023-03-05,Night,Present,22:16:00,08:00:00,Pending,2023-02-13,Fit,2023-10-02,Compliant,
ATT-00098,WRK-8189,JH-003,2023-03-19,Afternoon,Late,,,Certified,2023-11-28,Fit,2024-03-01,Non-Compliant,Boots missing
ATT-00099,WRK-5530,JH-001,2023-02-10,Afternoon,Present,16:19:00,22:47:00,Certified,2023-10-19,Unfit,2023-01-17,Partial,None
ATT-00100,WRK-2223,JH-001,2023-02-04,Morning,Present,07:03:00,15:08:00,Pending,2023-01-07,Fit,2024-01-13,Compliant,
ATT-00101,WRK-9828,CG-001,2023-03-03,Night,Present,23:24:00,08:33:00,Expired,2023-02-14,Unfit,2023-02-20,Compliant,
ATT-00102,WRK-0495,JH-003,2023-01-03,Night,Late,,,Pending,2022-12-18,Fit,2023-11-30,Compliant,
ATT-00103,WRK-3225,CG-001,2023-03-21,Morning,Present,08:05:00,16:33:00,Pending,2023-02-28,Fit,2023-10-27,Compliant,
ATT-00104,WRK-4595,OD-002,2023-02-02,Afternoon,Present,14:37:00,22:44:00,Pending,2023-01-14,Pending,2023-01-21,Compliant,
ATT-00105,WRK-5986,OD-002,2023-01-26,Morning,Present,08:08:00,16:52:00,Certified,2023-10-05,Fit,2023-07-04,Compliant,
ATT-00106,WRK-2317,CG-002,2023-02-05,Afternoon,Present,14:05:00,23:45:00,Certified,2024-01-18,Fit,2023-11-19,Compliant,
ATT-00107,WRK-7384,JH-003,2023-02-01,Night,Present,23:35:00,08:19:00,Certified,2023-05-19,Fit,2023-06-05,Compliant,
ATT-00108,WRK-4955,JH-002,2023-01-23,Morning,Present,07:47:00,14:17:00,Certified,2023-05-05,Fit,2023-06-18,Partial,None
ATT-00109,WRK-7070,JH-002,2023-01-05,Night,Absent,,,Certified,2023-04-06,Fit,2023-05-27,Partial,Boots missing
ATT-00110,WRK-1446,JH-002,2023-02-16,Night,On Leave,,,Certified,2023-12-13,Fit,2023-10-13,Compliant,
ATT-00111,WRK-6433,JH-001,2023-01-18,Night,Present,22:39:00,06:43:00,Certified,2023-06-10,Fit,2023-12-31,Compliant,
ATT-00112,WRK-2680,OD-001,2023-01-11,Afternoon,Present,16:08:00,23:02:00,Certified,2023-10-20,Pending,2023-01-06,Compliant,
ATT-00113,WRK-2083,CG-002,2023-02-26,Night,Present,23:59:00,06:16:00,Certified,2024-01-12,Fit,2023-09-12,Non-Compliant,Helmet missing
ATT-00114,WRK-0182,JH-001,2023-03-07,Night,Late,,,Expired,2023-02-08,Fit,2023-11-27,Partial,Helmet missing
ATT-00115,WRK-0142,CG-001,2023-01-28,Afternoon,Present,14:49:00,22:17:00,Pending,2023-01-12,Fit,2023-09-20,Compliant,
ATT-00116,WRK-7252,OD-002,2023-03-26,Night,On Leave,,,Certified,2024-01-07,Fit,2023-07-30,Compliant,
ATT-00117,WRK-1301,OD-001,2023-03-30,Night,Present,23:25:00,08:40:00,Certified,2024-02-05,Fit,2023-08-08,Compliant,
ATT-00118,WRK-2223,OD-002,2023-02-26,Night,Present,23:24:00,08:44:00,Pending,2023-02-16,Fit,2023-10-29,Compliant,
ATT-00119,WRK-5222,JH-001,2023-02-20,Afternoon,Absent,,,Expired,2023-02-06,Fit,2024-01-01,Non-Compliant,Boots missing
ATT-00120,WRK-8359,CG-002,2023-02-07,Afternoon,Present,14:52:00,23:17:00,Pending,2023-01-24,Pending,2023-01-31,Non-Compliant,Helmet missing
ATT-00121,WRK-4346,JH-002,2023-01-15,Night,Present,23:29:00,06:41:00,Certified,2024-01-05,Fit,2023-07-21,Compliant,
ATT-00122,WRK-0811,JH-003,2023-02-12,Afternoon,Present,14:31:00,23:58:00,Expired,2023-01-14,Pending,2023-02-06,Compliant,
ATT-00123,WRK-2554,JH-001,2023-02-12,Night,Present,22:01:00,08:47:00,Certified,2023-05-20,Fit,2023-07-28,Compliant,
ATT-00124,WRK-7148,JH-001,2023-03-28,Night,Present,23:26:00,06:19:00,Certified,2024-03-19,Fit,2024-03-27,Compliant,
ATT-00125,WRK-2399,OD-002,2023-02-10,Night,Present,22:59:00,06:01:00,Certified,2023-08-05,Fit,2023-11-30,Compliant,
ATT-00126,WRK-6039,CG-002,2023-03-14,Afternoon,Present,14:04:00,22:30:00,Expired,2023-02-14,Fit,2023-06-20,Compliant,
ATT-00127,WRK-8201,JH-001,2023-01-08,Afternoon,Late,,,Expired,2023-01-01,Fit,2023-08-11,Compliant,
ATT-00128,WRK-5109,CG-002,2023-01-16,Afternoon,Present,14:10:00,22:19:00,Certified,2023-05-14,Fit,2024-01-03,Partial,Boots missing
ATT-00129,WRK-0018,JH-001,2023-01-03,Afternoon,Present,14:22:00,22:08:00,Certified,2023-04-26,Fit,2023-09-23,Compliant,
ATT-00130,WRK-0926,CG-001,2023-02-25,Night,Present,23:12:00,08:40:00,Certified,2023-07-11,Fit,2023-08-31,Non-Compliant,Boots missing
ATT-00131,WRK-1476,CG-001,2023-03-25,Morning,Present,07:09:00,15:17:00,Certified,2023-09-30,Fit,2023-08-04,Compliant,
ATT-00132,WRK-7085,CG-002,2023-01-09,Morning,Present,06:54:00,14:07:00,Certified,2023-10-20,Fit,2023-10-04,Compliant,
ATT-00133,WRK-4981,OD-002,2023-03-29,Morning,Present,07:35:00,14:34:00,Certified,2023-12-19,Fit,2023-10-25,Compliant,
ATT-00134,WRK-7096,JH-002,2023-02-17,Morning,Present,07:17:00,14:41:00,Certified,2023-09-02,Fit,2023-09-06,Partial,Helmet missing
ATT-00135,WRK-4380,JH-003,2023-03-30,Afternoon,Late,,,Certified,2023-08-31,Fit,2024-02-02,Compliant,
ATT-00136,WRK-4080,OD-001,2023-03-03,Night,Present,23:16:00,06:20:00,Pending,2023-02-28,Fit,2023-06-13,Partial,Boots missing
ATT-00137,WRK-7587,OD-001,2023-01-23,Morning,On Leave,,,Certified,2023-12-13,Fit,2023-12-30,Non-Compliant,None
ATT-00138,WRK-7438,OD-002,2023-01-20,Afternoon,Present,14:54:00,22:05:00,Pending,2022-12-21,Fit,2023-09-12,Compliant,
ATT-00139,WRK-3779,OD-001,2023-02-23,Morning,Present,08:24:00,15:07:00,Certified,2023-09-08,Pending,2023-01-29,Compliant,
ATT-00140,WRK-5377,JH-002,2023-01-01,Morning,Present,07:36:00,15:11:00,Certified,2023-07-29,Pending,2022-12-21,Compliant,
ATT-00141,WRK-1302,JH-001,2023-02-15,Night,Present,23:02:00,08:30:00,Expired,2023-01-27,Fit,2023-07-19,Compliant,
ATT-00142,WRK-1660,JH-001,2023-03-13,Night,Present,23:00:00,08:38:00,Certified,2023-07-05,Fit,2023-07-06,Compliant,
ATT-00143,WRK-8965,CG-002,2023-03-22,Night,Present,22:08:00,06:14:00,Certified,2024-01-08,Fit,2023-10-14,Compliant,
ATT-00144,WRK-9230,OD-001,2023-01-10,Morning,Present,06:28:00,14:50:00,Pending,2023-01-08,Pending,2022-12-21,Compliant,
ATT-00145,WRK-4699,CG-002,2023-02-07,Afternoon,Present,16:00:00,22:03:00,Certified,2023-06-17,Fit,2023-09-08,Compliant,
ATT-00146,WRK-8269,CG-002,2023-01-08,Afternoon,Present,15:00:00,22:31:00,Expired,2022-12-10,Fit,2023-08-15,Compliant,
ATT-00147,WRK-3534,JH-003,2023-03-21,Night,Present,22:03:00,06:31:00,Pending,2023-02-27,Fit,2023-07-16,Non-Compliant,None
ATT-00148,WRK-9288,OD-001,2023-03-09,Morning,Present,06:06:00,15:59:00,Expired,2023-03-01,Fit,2023-07-30,Partial,None
ATT-00149,WRK-7036,OD-001,2023-01-04,Afternoon,Absent,,,Certified,2023-05-11,Fit,2023-09-11,Compliant,
ATT-00150,WRK-5269,JH-002,2023-02-15,Night,Late,,,Certified,2023-08-09,Fit,2023-12-20,Compliant,
ATT-00151,WRK-3448,CG-002,2023-03-03,Afternoon,Present,15:38:00,22:08:00,Certified,2023-08-31,Fit,2023-11-06,Compliant,
ATT-00152,WRK-9298,JH-001,2023-02-04,Night,Present,23:07:00,08:39:00,Certified,2023-11-28,Fit,2024-02-01,Compliant,
ATT-00153,WRK-7212,JH-002,2023-03-21,Night,On Leave,,,Certified,2023-06-26,Fit,2024-01-23,Compliant,
ATT-00154,WRK-2926,OD-001,2023-03-19,Morning,Present,07:08:00,16:54:00,Certified,2023-11-28,Unfit,2023-03-18,Compliant,
ATT-00155,WRK-6882,OD-002,2023-03-14,Morning,Late,,,Certified,2023-08-11,Unfit,2023-03-10,Compliant,
ATT-00156,WRK-6208,OD-001,2023-02-10,Morning,Late,,,Certified,2023-10-19,Fit,2023-06-09,Compliant,
ATT-00157,WRK-7344,CG-001,2023-01-05,Morning,Present,08:55:00,14:09:00,Pending,2022-12-09,Fit,2023-11-22,Compliant,
ATT-00158,WRK-9351,JH-001,2023-03-27,Night,Present,23:00:00,07:58:00,Certified,2024-03-23,Fit,2023-11-01,Compliant,
ATT-00159,WRK-0427,JH-001,2023-03-19,Afternoon,Present,14:59:00,23:08:00,Pending,2023-02-27,Fit,2024-01-11,Compliant,
ATT-00160,WRK-4853,JH-002,2023-02-22,Morning,Present,08:13:00,14:12:00,Certified,2023-12-21,Unfit,2023-02-19,Partial,None
ATT-00161,WRK-7625,JH-003,2023-01-11,Night,Present,22:45:00,07:23:00,Certified,2023-06-15,Fit,2023-12-06,Compliant,
ATT-00162,WRK-2485,OD-002,2023-01-09,Afternoon,Present,15:37:00,22:59:00,Pending,2022-12-21,Unfit,2023-01-06,Compliant,
ATT-00163,WRK-5057,OD-001,2023-02-02,Night,Present,22:03:00,07:54:00,Certified,2023-10-19,Fit,2023-07-18,Partial,Boots missing
ATT-00164,WRK-5545,OD-001,2023-01-03,Afternoon,Present,15:17:00,22:56:00,Pending,2022-12-12,Unfit,2022-12-31,Partial,Helmet missing
ATT-00165,WRK-0992,JH-002,2023-03-04,Afternoon,Present,14:31:00,23:51:00,Certified,2023-12-28,Fit,2023-09-25,Compliant,
ATT-00166,WRK-2389,JH-001,2023-03-11,Morning,Present,07:36:00,15:29:00,Certified,2023-11-07,Fit,2023-11-18,Partial,None
ATT-00167,WRK-1714,OD-001,2023-03-13,Afternoon,Late,,,Pending,2023-02-14,Fit,2023-10-17,Compliant,
ATT-00168,WRK-5545,CG-001,2023-02-18,Morning,Present,08:59:00,14:21:00,Certified,2023-11-23,Fit,2023-07-11,Compliant,
ATT-00169,WRK-7028,JH-001,2023-03-26,Afternoon,Present,16:59:00,22:14:00,Certified,2023-09-18,Fit,2024-02-03,Compliant,
ATT-00170,WRK-6926,JH-002,2023-01-20,Morning,Present,06:54:00,15:46:00,Certified,2023-06-20,Fit,2023-07-08,Non-Compliant,Boots missing
ATT-00171,WRK-8769,OD-001,2023-03-30,Night,Present,23:13:00,06:20:00,Certified,2024-01-12,Fit,2023-10-30,Partial,None
ATT-00172,WRK-4613,OD-001,2023-02-15,Night,Present,22:19:00,07:15:00,Certified,2024-02-03,Fit,2023-07-05,Compliant,
ATT-00173,WRK-0230,OD-002,2023-02-06,Afternoon,Present,15:37:00,22:44:00,Certified,2023-06-14,Fit,2023-09-28,Partial,None
ATT-00174,WRK-4291,OD-002,2023-02-10,Morning,Present,08:59:00,15:08:00,Expired,2023-01-27,Fit,2023-12-23,Partial,None
ATT-00175,WRK-2660,CG-002,2023-02-25,Morning,Present,08:01:00,15:32:00,Pending,2023-01-28,Fit,2024-01-04,Compliant,
ATT-00176,WRK-5980,CG-002,2023-01-18,Morning,Present,07:56:00,14:18:00,Certified,2023-10-04,Fit,2023-11-05,Compliant,
ATT-00177,WRK-4604,OD-001,2023-02-06,Morning,Present,08:58:00,16:37:00,Certified,2023-08-26,Fit,2023-12-18,Partial,Helmet missing
ATT-00178,WRK-4608,OD-001,2023-02-22,Afternoon,Present,16:23:00,22:08:00,Certified,2023-12-19,Fit,2023-07-31,Partial,Boots missing
ATT-00179,WRK-1825,JH-002,2023-01-03,Afternoon,Present,15:17:00,22:46:00,Expired,2022-12-31,Fit,2023-05-13,Non-Compliant,Boots missing
ATT-00180,WRK-0228,OD-001,2023-02-25,Night,Present,23:32:00,08:06:00,Pending,2023-02-24,Unfit,2023-01-30,Non-Compliant,Helmet missing
ATT-00181,WRK-4345,CG-001,2023-01-04,Night,Present,23:50:00,08:06:00,Certified,2023-07-12,Fit,2023-07-31,Compliant,
ATT-00182,WRK-9592,OD-001,2023-01-01,Afternoon,Present,16:12:00,23:26:00,Pending,2022-12-24,Fit,2023-11-27,Compliant,
ATT-00183,WRK-6647,JH-001,2023-03-16,Morning,Present,08:51:00,16:46:00,Certified,2023-08-23,Fit,2024-01-18,Partial,None
ATT-00184,WRK-7723,JH-003,2023-03-26,Morning,Present,06:28:00,16:43:00,Certified,2024-03-01,Fit,2023-09-02,Compliant,
ATT-00185,WRK-2139,JH-001,2023-02-28,Morning,Present,08:53:00,14:26:00,Certified,2023-11-15,Fit,2023-08-24,Partial,Boots missing
ATT-00186,WRK-3570,CG-002,2023-02-09,Night,Present,23:52:00,08:59:00,Certified,2023-08-26,Unfit,2023-01-28,Non-Compliant,None
ATT-00187,WRK-4434,OD-002,2023-03-19,Morning,Present,08:21:00,16:07:00,Pending,2023-02-24,Fit,2023-06-22,Compliant,
