inspection_id,mine_id,inspection_date,inspection_time,inspector_id,inspector_name,inspector_role,requirement_id,checklist_item,response,observations,observations_hindi,severity,photo_reference,latitude,longitude,sync_status,sync_timestamp
INS-OD-002-0017,OD-002,2023-06-10,06:48:00,INS-001,Rajesh Kumar,Safety Officer,REQ-064,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Critical,PHOTO-OD-002-0017.jpg,23.6640703,85.5400491,Pending,
INS-OD-002-0018,OD-002,2023-08-23,07:13:00,INS-003,Amit Patel,Labour Inspector,REQ-046,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,High,PHOTO-OD-002-0018.jpg,24.0490395,86.10426,Pending,
INS-JH-003-0019,JH-003,2023-10-02,00:54:00,INS-001,Rajesh Kumar,Safety Officer,REQ-056,Roof support,Non-Compliant,Roof support is not adequate,Roof support पर्याप्त नहीं है,High,PHOTO-JH-003-0019.jpg,23.5326374,85.8505816,Failed,
INS-OD-002-0020,OD-002,2023-04-10,11:35:00,INS-002,Sita Devi,Environmental Officer,REQ-010,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Critical,PHOTO-OD-002-0020.jpg,23.4464207,86.4390907,Failed,
INS-OD-002-0021,OD-002,2023-03-02,04:06:00,INS-002,Sita Devi,Environmental Officer,REQ-048,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,High,PHOTO-OD-002-0021.jpg,23.3657579,85.9591225,Failed,
INS-JH-001-0022,JH-001,2023-01-24,01:08:00,INS-003,Amit Patel,Labour Inspector,REQ-043,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Critical,,24.0598317,85.589781,Failed,
INS-JH-003-0023,JH-003,2023-03-25,12:39:00,INS-003,Amit Patel,Labour Inspector,REQ-039,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Critical,PHOTO-JH-003-0023.jpg,23.4664906,86.2657488,Pending,
INS-JH-003-0024,JH-003,2023-12-11,03:26:00,INS-003,Amit Patel,Labour Inspector,REQ-040,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Critical,PHOTO-JH-003-0024.jpg,23.822291,86.4220569,Failed,
INS-OD-002-0025,OD-002,2023-04-27,23:03:00,INS-003,Amit Patel,Labour Inspector,REQ-062,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Critical,,23.8474269,85.4815705,Failed,
INS-JH-001-0026,JH-001,2023-04-08,00:28:00,INS-002,Sita Devi,Environmental Officer,REQ-054,Roof support,Non-Compliant,Roof support is not adequate,Roof support पर्याप्त नहीं है,Medium,PHOTO-JH-001-0026.jpg,23.9416723,86.3705209,Failed,
INS-CG-001-0027,CG-001,2023-02-01,22:08:00,INS-003,Amit Patel,Labour Inspector,REQ-027,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Critical,PHOTO-CG-001-0027.jpg,23.4804526,85.6231824,Failed,
INS-JH-003-0028,JH-003,2023-10-07,11:43:00,INS-003,Amit Patel,Labour Inspector,REQ-088,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,,23.4132191,86.0080867,Synced,2023-10-07 09:00:00
INS-CG-002-0029,CG-002,2023-05-28,22:13:00,INS-003,Amit Patel,Labour Inspector,REQ-091,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Critical,PHOTO-CG-002-0029.jpg,24.1004004,86.2454054,Pending,
INS-JH-003-0030,JH-003,2023-03-04,18:43:00,INS-003,Amit Patel,Labour Inspector,REQ-049,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-JH-003-0030.jpg,23.4543303,86.1641413,Pending,
INS-OD-001-0031,OD-001,2023-12-02,08:47:00,INS-002,Sita Devi,Environmental Officer,REQ-028,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,High,PHOTO-OD-001-0031.jpg,23.8628713,85.587273,Failed,
INS-CG-001-0032,CG-001,2023-10-28,07:15:00,INS-001,Rajesh Kumar,Safety Officer,REQ-086,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,Medium,,23.5800014,86.1673581,Synced,2023-10-28 21:00:00
INS-CG-002-0033,CG-002,2023-03-12,00:35:00,INS-001,Rajesh Kumar,Safety Officer,REQ-053,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-CG-002-0033.jpg,23.453945,85.7354153,Synced,2023-03-13 00:00:00
INS-JH-001-0034,JH-001,2023-11-30,18:14:00,INS-003,Amit Patel,Labour Inspector,REQ-095,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,Critical,PHOTO-JH-001-0034.jpg,23.3424887,86.3696348,Pending,
INS-CG-002-0035,CG-002,2023-09-11,05:59:00,INS-003,Amit Patel,Labour Inspector,REQ-038,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,High,PHOTO-CG-002-0035.jpg,23.2740007,86.4329939,Pending,
INS-OD-001-0036,OD-001,2023-11-25,17:33:00,INS-002,Sita Devi,Environmental Officer,REQ-018,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,High,,23.2793468,85.6124943,Pending,
INS-CG-001-0037,CG-001,2023-05-12,22:11:00,INS-001,Rajesh Kumar,Safety Officer,REQ-095,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Medium,,24.0228465,86.3470428,Pending,
INS-OD-002-0038,OD-002,2023-06-17,02:25:00,INS-003,Amit Patel,Labour Inspector,REQ-013,Roof support,Compliant,Roof support is functional,Roof support ठीक से काम कर रहा है,Critical,PHOTO-OD-002-0038.jpg,23.4147471,85.7107853,Synced,2023-06-17 14:00:00
INS-CG-002-0039,CG-002,2023-05-17,10:19:00,INS-003,Amit Patel,Labour Inspector,REQ-093,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,High,PHOTO-CG-002-0039.jpg,23.8594686,85.5121243,Synced,2023-05-17 14:00:00
INS-JH-003-0040,JH-003,2023-03-23,12:43:00,INS-003,Amit Patel,Labour Inspector,REQ-091,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Low,PHOTO-JH-003-0040.jpg,24.1073356,85.8175439,Synced,2023-03-23 07:00:00
INS-JH-002-0041,JH-002,2023-09-02,04:29:00,INS-003,Amit Patel,Labour Inspector,REQ-078,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-JH-002-0041.jpg,23.968695,86.2756035,Synced,2023-09-02 21:00:00
INS-CG-002-0042,CG-002,2023-11-02,02:33:00,INS-002,Sita Devi,Environmental Officer,REQ-068,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,Low,,23.7143492,85.9554871,Failed,
INS-OD-002-0043,OD-002,2023-03-18,05:20:00,INS-003,Amit Patel,Labour Inspector,REQ-057,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Medium,PHOTO-OD-002-0043.jpg,23.655528,86.3488894,Pending,
INS-CG-002-0044,CG-002,2023-01-29,14:08:00,INS-003,Amit Patel,Labour Inspector,REQ-054,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Low,PHOTO-CG-002-0044.jpg,23.8394677,85.7581696,Synced,2023-01-29 12:00:00
INS-JH-003-0045,JH-003,2023-01-02,23:13:00,INS-003,Amit Patel,Labour Inspector,REQ-010,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,High,PHOTO-JH-003-0045.jpg,23.7078635,85.5102556,Synced,2023-01-02 15:00:00
INS-JH-001-0046,JH-001,2023-05-27,13:11:00,INS-001,Rajesh Kumar,Safety Officer,REQ-099,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Critical,PHOTO-JH-001-0046.jpg,24.0838151,85.8274963,Synced,2023-05-27 21:00:00
INS-CG-001-0047,CG-001,2023-10-04,04:41:00,INS-002,Sita Devi,Environmental Officer,REQ-016,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Critical,PHOTO-CG-001-0047.jpg,23.8945581,85.6726902,Synced,2023-10-05 00:00:00
INS-JH-001-0048,JH-001,2023-06-02,14:43:00,INS-003,Amit Patel,Labour Inspector,REQ-070,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Critical,PHOTO-JH-001-0048.jpg,23.414212,85.7961597,Pending,
INS-JH-002-0049,JH-002,2023-02-27,01:51:00,INS-003,Amit Patel,Labour Inspector,REQ-054,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,Medium,PHOTO-JH-002-0049.jpg,23.2675967,85.4835763,Failed,
INS-CG-001-0050,CG-001,2023-12-27,01:15:00,INS-003,Amit Patel,Labour Inspector,REQ-006,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-CG-001-0050.jpg,23.9210857,86.2260636,Synced,2023-12-27 16:00:00
INS-JH-003-0051,JH-003,2023-04-30,23:36:00,INS-002,Sita Devi,Environmental Officer,REQ-074,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,High,PHOTO-JH-003-0051.jpg,24.0429583,86.4356956,Failed,
INS-JH-002-0052,JH-002,2023-07-31,09:17:00,INS-001,Rajesh Kumar,Safety Officer,REQ-072,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Medium,PHOTO-JH-002-0052.jpg,23.5939006,85.9456208,Pending,
INS-CG-001-0053,CG-001,2023-12-10,12:50:00,INS-003,Amit Patel,Labour Inspector,REQ-041,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-CG-001-0053.jpg,23.350579,85.9879283,Synced,2023-12-10 07:00:00
INS-JH-003-0054,JH-003,2023-12-29,04:51:00,INS-002,Sita Devi,Environmental Officer,REQ-008,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Critical,PHOTO-JH-003-0054.jpg,23.3007928,85.6928585,Synced,2023-12-29 10:00:00
INS-CG-001-0055,CG-001,2023-02-10,14:54:00,INS-002,Sita Devi,Environmental Officer,REQ-012,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Medium,,23.543868,86.0549694,Synced,2023-02-10 02:00:00
INS-JH-002-0056,JH-002,2023-10-28,23:42:00,INS-003,Amit Patel,Labour Inspector,REQ-028,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,High,PHOTO-JH-002-0056.jpg,24.0756942,85.6618078,Synced,2023-10-28 23:00:00
INS-JH-001-0057,JH-001,2023-09-03,07:44:00,INS-003,Amit Patel,Labour Inspector,REQ-091,Roof support,Non-Compliant,Roof support is not adequate,Roof support पर्याप्त नहीं है,Medium,PHOTO-JH-001-0057.jpg,23.9422139,85.8306617,Failed,
INS-CG-001-0058,CG-001,2023-07-03,09:16:00,INS-002,Sita Devi,Environmental Officer,REQ-066,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Low,PHOTO-CG-001-0058.jpg,23.8891136,86.211629,Pending,
INS-JH-002-0059,JH-002,2023-07-09,10:26:00,INS-001,Rajesh Kumar,Safety Officer,REQ-073,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Medium,,23.7200116,86.0340319,Failed,
INS-OD-001-0060,OD-001,2023-06-01,04:12:00,INS-002,Sita Devi,Environmental Officer,REQ-030,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-OD-001-0060.jpg,23.821308,86.1348466,Pending,
INS-CG-002-0061,CG-002,2023-09-08,23:41:00,INS-003,Amit Patel,Labour Inspector,REQ-063,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,High,,23.8870135,85.9383163,Failed,
INS-CG-001-0062,CG-001,2023-01-31,16:02:00,INS-001,Rajesh Kumar,Safety Officer,REQ-086,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,Critical,,23.7974016,85.5179679,Synced,2023-01-31 00:00:00
INS-JH-002-0063,JH-002,2023-09-16,14:23:00,INS-001,Rajesh Kumar,Safety Officer,REQ-080,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Critical,,23.6989125,85.8613385,Synced,2023-09-16 16:00:00
INS-CG-001-0064,CG-001,2023-05-21,17:18:00,INS-001,Rajesh Kumar,Safety Officer,REQ-065,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,Low,PHOTO-CG-001-0064.jpg,23.6910854,85.6909688,Failed,
INS-OD-002-0065,OD-002,2023-05-10,11:17:00,INS-002,Sita Devi,Environmental Officer,REQ-011,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-OD-002-0065.jpg,24.156933,85.6758573,Failed,
INS-CG-002-0066,CG-002,2023-02-11,20:54:00,INS-003,Amit Patel,Labour Inspector,REQ-098,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,Critical,PHOTO-CG-002-0066.jpg,23.7194014,85.5061149,Synced,2023-02-11 22:00:00
INS-JH-002-0067,JH-002,2023-02-12,15:54:00,INS-002,Sita Devi,Environmental Officer,REQ-083,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Low,PHOTO-JH-002-0067.jpg,24.0858522,85.6797665,Failed,
INS-OD-002-0068,OD-002,2023-09-01,08:02:00,INS-001,Rajesh Kumar,Safety Officer,REQ-088,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Low,,24.0171276,85.4656581,Synced,2023-09-01 18:00:00
INS-JH-002-0069,JH-002,2023-12-31,12:59:00,INS-001,Rajesh Kumar,Safety Officer,REQ-039,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Medium,PHOTO-JH-002-0069.jpg,24.0161424,86.127035,Failed,
INS-JH-003-0070,JH-003,2023-07-16,23:08:00,INS-003,Amit Patel,Labour Inspector,REQ-093,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,High,,23.6037883,86.2886747,Pending,
INS-OD-002-0071,OD-002,2023-11-11,19:25:00,INS-002,Sita Devi,Environmental Officer,REQ-004,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-OD-002-0071.jpg,23.7197377,85.825427,Synced,2023-11-11 21:00:00
INS-OD-002-0072,OD-002,2023-12-05,12:05:00,INS-003,Amit Patel,Labour Inspector,REQ-038,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Low,,23.320921,86.1616772,Failed,
INS-JH-002-0073,JH-002,2023-07-19,10:23:00,INS-001,Rajesh Kumar,Safety Officer,REQ-012,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Critical,PHOTO-JH-002-0073.jpg,23.4364664,85.582507,Synced,2023-07-19 13:00:00
INS-OD-001-0074,OD-001,2023-10-13,17:32:00,INS-002,Sita Devi,Environmental Officer,REQ-014,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,High,PHOTO-OD-001-0074.jpg,23.7636246,86.2344387,Pending,
INS-JH-001-0075,JH-001,2023-05-30,13:24:00,INS-001,Rajesh Kumar,Safety Officer,REQ-093,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,Medium,PHOTO-JH-001-0075.jpg,23.3362017,85.718919,Pending,
INS-OD-001-0076,OD-001,2023-03-16,02:10:00,INS-002,Sita Devi,Environmental Officer,REQ-036,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Critical,PHOTO-OD-001-0076.jpg,23.5278249,86.3942223,Failed,
INS-CG-001-0077,CG-001,2023-09-11,19:39:00,INS-001,Rajesh Kumar,Safety Officer,REQ-059,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,High,,23.562392,86.2916134,Pending,
INS-CG-002-0078,CG-002,2023-06-18,14:21:00,INS-002,Sita Devi,Environmental Officer,REQ-084,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,High,PHOTO-CG-002-0078.jpg,24.1139789,85.6508515,Pending,
INS-JH-002-0079,JH-002,2023-07-23,10:18:00,INS-003,Amit Patel,Labour Inspector,REQ-089,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-JH-002-0079.jpg,23.4470001,86.2358665,Pending,
INS-JH-001-0080,JH-001,2023-10-16,06:37:00,INS-003,Amit Patel,Labour Inspector,REQ-024,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,Critical,PHOTO-JH-001-0080.jpg,23.3763484,86.2476855,Failed,
INS-JH-001-0081,JH-001,2023-07-29,21:31:00,INS-001,Rajesh Kumar,Safety Officer,REQ-082,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,High,PHOTO-JH-001-0081.jpg,23.8819364,86.2390768,Synced,2023-07-29 14:00:00
INS-OD-002-0082,OD-002,2023-09-03,18:25:00,INS-003,Amit Patel,Labour Inspector,REQ-065,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Low,PHOTO-OD-002-0082.jpg,23.5262295,86.3455015,Failed,
INS-OD-002-0083,OD-002,2023-11-23,02:06:00,INS-001,Rajesh Kumar,Safety Officer,REQ-085,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,Low,PHOTO-OD-002-0083.jpg,23.8117312,86.0967436,Pending,
INS-CG-002-0084,CG-002,2023-08-09,03:00:00,INS-001,Rajesh Kumar,Safety Officer,REQ-034,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Medium,PHOTO-CG-002-0084.jpg,23.5578342,86.2223422,Failed,
INS-CG-001-0085,CG-001,2023-09-14,04:22:00,INS-001,Rajesh Kumar,Safety Officer,REQ-062,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Critical,PHOTO-CG-001-0085.jpg,23.2525548,86.2813177,Failed,
INS-JH-002-0086,JH-002,2023-06-28,09:21:00,INS-002,Sita Devi,Environmental Officer,REQ-027,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,High,PHOTO-JH-002-0086.jpg,23.6048659,86.1467633,Pending,
INS-JH-001-0087,JH-001,2023-06-03,01:51:00,INS-003,Amit Patel,Labour Inspector,REQ-015,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Low,PHOTO-JH-001-0087.jpg,23.3310541,86.4339005,Synced,2023-06-03 16:00:00
INS-JH-002-0088,JH-002,2023-10-10,05:21:00,INS-003,Amit Patel,Labour Inspector,REQ-055,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,Critical,PHOTO-JH-002-0088.jpg,23.3530869,86.1073079,Pending,
INS-JH-001-0089,JH-001,2023-11-11,06:28:00,INS-003,Amit Patel,Labour Inspector,REQ-055,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,Medium,PHOTO-JH-001-0089.jpg,23.9190255,86.2587298,Synced,2023-11-11 18:00:00
INS-JH-001-0090,JH-001,2023-10-02,05:23:00,INS-002,Sita Devi,Environmental Officer,REQ-026,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,High,PHOTO-JH-001-0090.jpg,23.656184,86.4159164,Pending,
INS-OD-002-0091,OD-002,2023-07-18,19:25:00,INS-003,Amit Patel,Labour Inspector,REQ-015,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-OD-002-0091.jpg,23.9804383,86.1559884,Pending,
INS-OD-002-0092,OD-002,2023-10-30,02:43:00,INS-001,Rajesh Kumar,Safety Officer,REQ-041,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,High,,23.5400061,85.5913585,Pending,
INS-OD-001-0093,OD-001,2023-11-02,04:36:00,INS-002,Sita Devi,Environmental Officer,REQ-055,Roof support,Non-Compliant,Roof support is not adequate,Roof support पर्याप्त नहीं है,Medium,PHOTO-OD-001-0093.jpg,23.656342,85.5902965,Pending,
INS-CG-002-0094,CG-002,2023-08-19,19:03:00,INS-002,Sita Devi,Environmental Officer,REQ-002,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,Medium,PHOTO-CG-002-0094.jpg,24.1305291,85.955438,Pending,
INS-OD-001-0095,OD-001,2023-12-17,15:26:00,INS-003,Amit Patel,Labour Inspector,REQ-057,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,Low,PHOTO-OD-001-0095.jpg,23.9625809,85.6705295,Synced,2023-12-17 08:00:00
INS-JH-002-0096,JH-002,2023-10-03,09:10:00,INS-002,Sita Devi,Environmental Officer,REQ-073,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Low,PHOTO-JH-002-0096.jpg,23.4345889,85.9931062,Pending,
INS-OD-002-0097,OD-002,2023-01-22,23:28:00,INS-003,Amit Patel,Labour Inspector,REQ-028,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,Medium,PHOTO-OD-002-0097.jpg,24.1660127,85.8997323,Pending,
INS-CG-002-0098,CG-002,2023-02-14,14:55:00,INS-001,Rajesh Kumar,Safety Officer,REQ-100,Roof support,Compliant,Roof support is functional,Roof support ठीक से काम कर रहा है,High,PHOTO-CG-002-0098.jpg,23.7769618,85.8781671,Failed,
INS-JH-002-0099,JH-002,2023-04-16,06:51:00,INS-001,Rajesh Kumar,Safety Officer,REQ-073,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,High,PHOTO-JH-002-0099.jpg,23.3350774,86.4290002,Pending,
