production_id,mine_id,month_year,target_production,actual_production,dispatch,coal_grade,equipment_downtime_hours,downtime_reason,created_at,updated_at
PM-JH-001-20240301,JH-001,2024-03-01,450000,475401,456851,C,40.5,Planned maintenance,2024-03-06 00:00:00,2024-03-06 00:00:00
PM-JH-001-20240401,JH-001,2024-04-01,450000,413421,393413,C,19.3,Planned maintenance,2024-04-06 00:00:00,2024-04-06 00:00:00
PM-JH-001-20240501,JH-001,2024-05-01,450000,410982,409808,C,10.2,Equipment breakdown,2024-05-06 00:00:00,2024-05-06 00:00:00
PM-JH-001-20240601,JH-001,2024-06-01,450000,435910,434047,D,6.9,Planned maintenance,2024-06-06 00:00:00,2024-06-06 00:00:00
PM-JH-001-20240701,JH-001,2024-07-01,450000,415794,406674,C,35.9,Equipment breakdown,2024-07-06 00:00:00,2024-07-06 00:00:00
PM-JH-001-20240801,JH-001,2024-08-01,450000,503706,488579,B,47.9,Planned maintenance,2024-08-06 00:00:00,2024-08-06 00:00:00
PM-JH-001-20240901,JH-001,2024-09-01,450000,451286,430773,A,41.3,Planned maintenance,2024-09-06 00:00:00,2024-09-06 00:00:00
PM-JH-001-20241001,JH-001,2024-10-01,450000,467205,462347,D,28.6,Equipment breakdown,2024-10-06 00:00:00,2024-10-06 00:00:00
PM-JH-001-20241101,JH-001,2024-11-01,450000,434018,433933,E,12.1,Weather delay,2024-11-06 00:00:00,2024-11-06 00:00:00
PM-JH-001-20241201,JH-001,2024-12-01,450000,498705,474056,A,32.7,Weather delay,2024-12-06 00:00:00,2024-12-06 00:00:00
PM-JH-002-20230101,JH-002,2023-01-01,240000,258063,255077,C,5.4,Equipment breakdown,2023-01-06 00:00:00,2023-01-06 00:00:00
PM-JH-002-20230201,JH-002,2023-02-01,240000,215387,204652,C,46.7,Planned maintenance,2023-02-06 00:00:00,2023-02-06 00:00:00
PM-JH-002-20230301,JH-002,2023-03-01,240000,240553,229805,C,40.4,Weather delay,2023-03-06 00:00:00,2023-03-06 00:00:00
PM-JH-002-20230401,JH-002,2023-04-01,240000,247845,237346,B,25.9,Weather delay,2023-04-06 00:00:00,2023-04-06 00:00:00
PM-JH-002-20230501,JH-002,2023-05-01,240000,270131,264714,D,0.9,Equipment breakdown,2023-05-06 00:00:00,2023-05-06 00:00:00
PM-JH-002-20230601,JH-002,2023-06-01,240000,267267,265017,C,11.5,Planned maintenance,2023-06-06 00:00:00,2023-06-06 00:00:00
PM-JH-002-20230701,JH-002,2023-07-01,240000,267216,266507,A,35.1,Planned maintenance,2023-07-06 00:00:00,2023-07-06 00:00:00
PM-JH-002-20230801,JH-002,2023-08-01,240000,274414,268002,B,6.2,Equipment breakdown,2023-08-06 00:00:00,2023-08-06 00:00:00
PM-JH-002-20230901,JH-002,2023-09-01,240000,272173,260811,E,41.9,Equipment breakdown,2023-09-06 00:00:00,2023-09-06 00:00:00
PM-JH-002-20231001,JH-002,2023-10-01,240000,273434,272462,B,34.2,Equipment breakdown,2023-10-06 00:00:00,2023-10-06 00:00:00
PM-JH-002-20231101,JH-002,2023-11-01,240000,275650,270824,D,43.2,Equipment breakdown,2023-11-06 00:00:00,2023-11-06 00:00:00
PM-JH-002-20231201,JH-002,2023-12-01,240000,212712,204466,C,1.0,Weather delay,2023-12-06 00:00:00,2023-12-06 00:00:00
PM-JH-002-20240101,JH-002,2024-01-01,240000,220568,211968,A,34.0,Planned maintenance,2024-01-06 00:00:00,2024-01-06 00:00:00
PM-JH-002-20240201,JH-002,2024-02-01,240000,220483,219440,C,3.4,Planned maintenance,2024-02-06 00:00:00,2024-02-06 00:00:00
PM-JH-002-20240301,JH-002,2024-03-01,240000,224050,218285,E,6.4,Weather delay,2024-03-06 00:00:00,2024-03-06 00:00:00
PM-JH-002-20240401,JH-002,2024-04-01,240000,245487,236195,D,38.8,Planned maintenance,2024-04-06 00:00:00,2024-04-06 00:00:00
PM-JH-002-20240501,JH-002,2024-05-01,240000,210791,207196,C,20.3,Equipment breakdown,2024-05-06 00:00:00,2024-05-06 00:00:00
PM-JH-002-20240601,JH-002,2024-06-01,240000,266196,253607,A,2.9,Weather delay,2024-06-06 00:00:00,2024-06-06 00:00:00
PM-JH-002-20240701,JH-002,2024-07-01,240000,228429,226849,B,9.2,Weather delay,2024-07-06 00:00:00,2024-07-06 00:00:00
PM-JH-002-20240801,JH-002,2024-08-01,240000,236300,229469,C,22.2,Planned maintenance,2024-08-06 00:00:00,2024-08-06 00:00:00
PM-JH-002-20240901,JH-002,2024-09-01,240000,235905,234269,E,4.7,Weather delay,2024-09-06 00:00:00,2024-09-06 00:00:00
PM-JH-002-20241001,JH-002,2024-10-01,240000,275948,273685,A,44.5,Planned maintenance,2024-10-06 00:00:00,2024-10-06 00:00:00
PM-JH-002-20241101,JH-002,2024-11-01,240000,215974,210419,B,41.5,Planned maintenance,2024-11-06 00:00:00,2024-11-06 00:00:00
PM-JH-002-20241201,JH-002,2024-12-01,240000,215853,205083,D,12.7,Equipment breakdown,2024-12-06 00:00:00,2024-12-06 00:00:00
PM-JH-003-20230101,JH-003,2023-01-01,600000,561344,552828,E,31.8,Equipment breakdown,2023-01-06 00:00:00,2023-01-06 00:00:00
PM-JH-003-20230201,JH-003,2023-02-01,600000,537863,518949,A,27.8,Weather delay,2023-02-06 00:00:00,2023-02-06 00:00:00
PM-JH-003-20230301,JH-003,2023-03-01,600000,520972,503092,A,28.0,Weather delay,2023-03-06 00:00:00,2023-03-06 00:00:00
PM-JH-003-20230401,JH-003,2023-04-01,600000,675489,659653,A,46.1,Planned maintenance,2023-04-06 00:00:00,2023-04-06 00:00:00
PM-JH-003-20230501,JH-003,2023-05-01,600000,663241,632351,A,32.4,Planned maintenance,2023-05-06 00:00:00,2023-05-06 00:00:00
PM-JH-003-20230601,JH-003,2023-06-01,600000,582679,580977,E,11.8,Weather delay,2023-06-06 00:00:00,2023-06-06 00:00:00
PM-JH-003-20230701,JH-003,2023-07-01,600000,517153,493415,E,27.1,Equipment breakdown,2023-07-06 00:00:00,2023-07-06 00:00:00
PM-JH-003-20230801,JH-003,2023-08-01,600000,678247,651261,C,11.5,Equipment breakdown,2023-08-06 00:00:00,2023-08-06 00:00:00
PM-JH-003-20230901,JH-003,2023-09-01,600000,533558,524100,D,15.2,Planned maintenance,2023-09-06 00:00:00,2023-09-06 00:00:00
PM-JH-003-20231001,JH-003,2023-10-01,600000,511676,501983,E,47.8,Planned maintenance,2023-10-06 00:00:00,2023-10-06 00:00:00
PM-JH-003-20231101,JH-003,2023-11-01,600000,606774,591783,B,44.8,Planned maintenance,2023-11-06 00:00:00,2023-11-06 00:00:00
PM-JH-003-20231201,JH-003,2023-12-01,600000,668268,647201,B,21.0,Weather delay,2023-12-06 00:00:00,2023-12-06 00:00:00
PM-JH-003-20240101,JH-003,2024-01-01,600000,636637,624275,E,0.4,Weather delay,2024-01-06 00:00:00,2024-01-06 00:00:00
PM-JH-003-20240201,JH-003,2024-02-01,600000,563888,554397,B,12.7,Planned maintenance,2024-02-06 00:00:00,2024-02-06 00:00:00
PM-JH-003-20240301,JH-003,2024-03-01,600000,643635,616455,C,29.0,Weather delay,2024-03-06 00:00:00,2024-03-06 00:00:00
PM-JH-003-20240401,JH-003,2024-04-01,600000,571718,562784,C,24.3,Equipment breakdown,2024-04-06 00:00:00,2024-04-06 00:00:00
PM-JH-003-20240501,JH-003,2024-05-01,600000,672960,667781,A,30.4,Equipment breakdown,2024-05-06 00:00:00,2024-05-06 00:00:00
PM-JH-003-20240601,JH-003,2024-06-01,600000,517935,500676,B,30.6,Equipment breakdown,2024-06-06 00:00:00,2024-06-06 00:00:00
PM-JH-003-20240701,JH-003,2024-07-01,600000,539084,524039,D,26.9,Planned maintenance,2024-07-06 00:00:00,2024-07-06 00:00:00
PM-JH-003-20240801,JH-003,2024-08-01,600000,523543,520483,B,26.2,Equipment breakdown,2024-08-06 00:00:00,2024-08-06 00:00:00
PM-JH-003-20240901,JH-003,2024-09-01,600000,614851,588661,B,2.0,Equipment breakdown,2024-09-06 00:00:00,2024-09-06 00:00:00
PM-JH-003-20241001,JH-003,2024-10-01,600000,671816,664967,A,43.1,Planned maintenance,2024-10-06 00:00:00,2024-10-06 00:00:00
PM-JH-003-20241101,JH-003,2024-11-01,600000,632772,622234,C,37.4,Equipment breakdown,2024-11-06 00:00:00,2024-11-06 00:00:00
PM-JH-003-20241201,JH-003,2024-12-01,600000,685290,676705,B,41.5,Planned maintenance,2024-12-06 00:00:00,2024-12-06 00:00:00
PM-JH-004-20230101,JH-004,2023-01-01,180000,200596,190814,C,37.6,Equipment breakdown,2023-01-06 00:00:00,2023-01-06 00:00:00
PM-JH-004-20230201,JH-004,2023-02-01,180000,196320,194985,B,12.8,Weather delay,2023-02-06 00:00:00,2023-02-06 00:00:00
PM-JH-004-20230301,JH-004,2023-03-01,180000,158837,157821,D,10.7,Equipment breakdown,2023-03-06 00:00:00,2023-03-06 00:00:00
PM-JH-004-20230401,JH-004,2023-04-01,180000,171881,170338,B,10.7,Weather delay,2023-04-06 00:00:00,2023-04-06 00:00:00
PM-JH-004-20230501,JH-004,2023-05-01,180000,163429,157939,A,46.4,Equipment breakdown,2023-05-06 00:00:00,2023-05-06 00:00:00
PM-JH-004-20230601,JH-004,2023-06-01,180000,171961,167742,E,15.9,Planned maintenance,2023-06-06 00:00:00,2023-06-06 00:00:00
PM-JH-004-20230701,JH-004,2023-07-01,180000,159228,158992,B,27.9,Equipment breakdown,2023-07-06 00:00:00,2023-07-06 00:00:00
PM-JH-004-20230801,JH-004,2023-08-01,180000,155065,151937,C,35.0,Equipment breakdown,2023-08-06 00:00:00,2023-08-06 00:00:00
PM-JH-004-20230901,JH-004,2023-09-01,180000,176565,176425,A,18.5,Weather delay,2023-09-06 00:00:00,2023-09-06 00:00:00
PM-JH-004-20231001,JH-004,2023-10-01,180000,163264,155463,D,0.1,Weather delay,2023-10-06 00:00:00,2023-10-06 00:00:00
PM-JH-004-20231101,JH-004,2023-11-01,180000,190090,189522,B,17.5,Planned maintenance,2023-11-06 00:00:00,2023-11-06 00:00:00
PM-JH-004-20231201,JH-004,2023-12-01,180000,204239,203429,E,15.1,Planned maintenance,2023-12-06 00:00:00,2023-12-06 00:00:00
PM-JH-004-20240101,JH-004,2024-01-01,180000,191866,185153,C,32.0,Equipment breakdown,2024-01-06 00:00:00,2024-01-06 00:00:00
PM-JH-004-20240201,JH-004,2024-02-01,180000,174729,168575,B,9.2,Weather delay,2024-02-06 00:00:00,2024-02-06 00:00:00
PM-JH-004-20240301,JH-004,2024-03-01,180000,203779,200491,B,29.5,Equipment breakdown,2024-03-06 00:00:00,2024-03-06 00:00:00
PM-JH-004-20240401,JH-004,2024-04-01,180000,174928,173473,C,13.8,Equipment breakdown,2024-04-06 00:00:00,2024-04-06 00:00:00
PM-JH-004-20240501,JH-004,2024-05-01,180000,195430,191586,C,22.3,Equipment breakdown,2024-05-06 00:00:00,2024-05-06 00:00:00
PM-JH-004-20240601,JH-004,2024-06-01,180000,189483,184851,B,31.6,Equipment breakdown,2024-06-06 00:00:00,2024-06-06 00:00:00
PM-JH-004-20240701,JH-004,2024-07-01,180000,180834,177515,C,4.5,Planned maintenance,2024-07-06 00:00:00,2024-07-06 00:00:00
PM-JH-004-20240801,JH-004,2024-08-01,180000,189330,181990,B,7.1,Planned maintenance,2024-08-06 00:00:00,2024-08-06 00:00:00
PM-JH-004-20240901,JH-004,2024-09-01,180000,166221,161858,A,21.9,Weather delay,2024-09-06 00:00:00,2024-09-06 00:00:00
PM-JH-004-20241001,JH-004,2024-10-01,180000,184086,181493,D,23.7,Planned maintenance,2024-10-06 00:00:00,2024-10-06 00:00:00
PM-JH-004-20241101,JH-004,2024-11-01,180000,160968,158453,A,37.4,Planned maintenance,2024-11-06 00:00:00,2024-11-06 00:00:00
PM-JH-004-20241201,JH-004,2024-12-01,180000,162497,162155,E,22.3,Weather delay,2024-12-06 00:00:00,2024-12-06 00:00:00
PM-JH-005-20230101,JH-005,2023-01-01,270000,249685,247791,D,6.4,Equipment breakdown,2023-01-06 00:00:00,2023-01-06 00:00:00
PM-JH-005-20230201,JH-005,2023-02-01,270000,283573,283401,E,15.2,Equipment breakdown,2023-02-06 00:00:00,2023-02-06 00:00:00
PM-JH-005-20230301,JH-005,2023-03-01,270000,279124,275206,E,20.5,Weather delay,2023-03-06 00:00:00,2023-03-06 00:00:00
PM-JH-005-20230401,JH-005,2023-04-01,270000,265619,254451,D,21.6,Planned maintenance,2023-04-06 00:00:00,2023-04-06 00:00:00
PM-JH-005-20230501,JH-005,2023-05-01,270000,297528,286776,E,23.3,Planned maintenance,2023-05-06 00:00:00,2023-05-06 00:00:00
PM-JH-005-20230601,JH-005,2023-06-01,270000,251742,240130,C,11.3,Equipment breakdown,2023-06-06 00:00:00,2023-06-06 00:00:00
PM-JH-005-20230701,JH-005,2023-07-01,270000,255396,249523,B,7.2,Equipment breakdown,2023-07-06 00:00:00,2023-07-06 00:00:00
PM-JH-005-20230801,JH-005,2023-08-01,270000,285709,281515,A,19.9,Equipment breakdown,2023-08-06 00:00:00,2023-08-06 00:00:00
PM-JH-005-20230901,JH-005,2023-09-01,270000,273451,265463,B,40.0,Equipment breakdown,2023-09-06 00:00:00,2023-09-06 00:00:00
PM-JH-005-20231001,JH-005,2023-10-01,270000,302791,296494,A,41.1,Weather delay,2023-10-06 00:00:00,2023-10-06 00:00:00
PM-JH-005-20231101,JH-005,2023-11-01,270000,260310,247371,C,14.3,Equipment breakdown,2023-11-06 00:00:00,2023-11-06 00:00:00
PM-JH-005-20231201,JH-005,2023-12-01,270000,298629,297933,D,25.8,Weather delay,2023-12-06 00:00:00,2023-12-06 00:00:00
PM-JH-005-20240101,JH-005,2024-01-01,270000,273736,268305,B,23.4,Equipment breakdown,2024-01-06 00:00:00,2024-01-06 00:00:00
PM-JH-005-20240201,JH-005,2024-02-01,270000,264802,251946,C,32.1,Equipment breakdown,2024-02-06 00:00:00,2024-02-06 00:00:00
PM-JH-005-20240301,JH-005,2024-03-01,270000,288158,285860,B,47.1,Weather delay,2024-03-06 00:00:00,2024-03-06 00:00:00
PM-JH-005-20240401,JH-005,2024-04-01,270000,231684,224664,E,31.8,Planned maintenance,2024-04-06 00:00:00,2024-04-06 00:00:00
PM-JH-005-20240501,JH-005,2024-05-01,270000,281562,269394,D,8.7,Equipment breakdown,2024-05-06 00:00:00,2024-05-06 00:00:00
PM-JH-005-20240601,JH-005,2024-06-01,270000,260207,249950,C,16.2,Equipment breakdown,2024-06-06 00:00:00,2024-06-06 00:00:00
PM-JH-005-20240701,JH-005,2024-07-01,270000,252038,251423,D,12.1,Planned maintenance,2024-07-06 00:00:00,2024-07-06 00:00:00
PM-JH-005-20240801,JH-005,2024-08-01,270000,267594,264236,A,48.0,Equipment breakdown,2024-08-06 00:00:00,2024-08-06 00:00:00
PM-JH-005-20240901,JH-005,2024-09-01,270000,247661,236127,A,36.2,Planned maintenance,2024-09-06 00:00:00,2024-09-06 00:00:00
PM-JH-005-20241001,JH-005,2024-10-01,270000,245648,233615,B,11.5,Equipment breakdown,2024-10-06 00:00:00,2024-10-06 00:00:00
PM-JH-005-20241101,JH-005,2024-11-01,270000,283726,277540,B,22.3,Equipment breakdown,2024-11-06 00:00:00,2024-11-06 00:00:00
PM-JH-005-20241201,JH-005,2024-12-01,270000,291618,279483,E,46.3,Weather delay,2024-12-06 00:00:00,2024-12-06 00:00:00
PM-OD-001-20230101,OD-001,2023-01-01,750000,663269,657276,C,5.2,Planned maintenance,2023-01-06 00:00:00,2023-01-06 00:00:00
PM-OD-001-20230201,OD-001,2023-02-01,750000,846499,828544,D,19.0,Weather delay,2023-02-06 00:00:00,2023-02-06 00:00:00
PM-OD-001-20230301,OD-001,2023-03-01,750000,682124,668212,B,4.9,Equipment breakdown,2023-03-06 00:00:00,2023-03-06 00:00:00
PM-OD-001-20230401,OD-001,2023-04-01,750000,828815,812255,A,38.2,Weather delay,2023-04-06 00:00:00,2023-04-06 00:00:00
PM-OD-001-20230501,OD-001,2023-05-01,750000,813592,787036,D,31.8,Planned maintenance,2023-05-06 00:00:00,2023-05-06 00:00:00
PM-OD-001-20230601,OD-001,2023-06-01,750000,751341,726592,D,39.5,Planned maintenance,2023-06-06 00:00:00,2023-06-06 00:00:00
PM-OD-001-20230701,OD-001,2023-07-01,750000,735042,711601,D,34.0,Equipment breakdown,2023-07-06 00:00:00,2023-07-06 00:00:00
PM-OD-001-20230801,OD-001,2023-08-01,750000,677130,660938,C,29.6,Weather delay,2023-08-06 00:00:00,2023-08-06 00:00:00
PM-OD-001-20230901,OD-001,2023-09-01,750000,811794,790073,E,12.9,Planned maintenance,2023-09-06 00:00:00,2023-09-06 00:00:00
PM-OD-001-20231001,OD-001,2023-10-01,750000,824414,786765,D,11.7,Equipment breakdown,2023-10-06 00:00:00,2023-10-06 00:00:00
PM-OD-001-20231101,OD-001,2023-11-01,750000,765716,753012,C,1.4,Equipment breakdown,2023-11-06 00:00:00,2023-11-06 00:00:00
PM-OD-001-20231201,OD-001,2023-12-01,750000,678413,651687,C,16.3,Weather delay,2023-12-06 00:00:00,2023-12-06 00:00:00
PM-OD-001-20240101,OD-001,2024-01-01,750000,795266,766488,A,24.8,Planned maintenance,2024-01-06 00:00:00,2024-01-06 00:00:00
PM-OD-001-20240201,OD-001,2024-02-01,750000,656762,647569,D,26.6,Planned maintenance,2024-02-06 00:00:00,2024-02-06 00:00:00
PM-OD-001-20240301,OD-001,2024-03-01,750000,792887,778849,D,21.5,Planned maintenance,2024-03-06 00:00:00,2024-03-06 00:00:00
PM-OD-001-20240401,OD-001,2024-04-01,750000,658437,632810,B,14.7,Weather delay,2024-04-06 00:00:00,2024-04-06 00:00:00
PM-OD-001-20240501,OD-001,2024-05-01,750000,720529,704442,C,20.4,Weather delay,2024-05-06 00:00:00,2024-05-06 00:00:00
PM-OD-001-20240601,OD-001,2024-06-01,750000,761337,736662,D,13.0,Equipment breakdown,2024-06-06 00:00:00,2024-06-06 00:00:00
PM-OD-001-20240701,OD-001,2024-07-01,750000,689371,679764,C,5.7,Weather delay,2024-07-06 00:00:00,2024-07-06 00:00:00
PM-OD-001-20240801,OD-001,2024-08-01,750000,851447,838256,B,10.4,Equipment breakdown,2024-08-06 00:00:00,2024-08-06 00:00:00
PM-OD-001-20240901,OD-001,2024-09-01,750000,699712,685353,E,28.6,Planned maintenance,2024-09-06 00:00:00,2024-09-06 00:00:00
PM-OD-001-20241001,OD-001,2024-10-01,750000,824841,795816,C,8.6,Planned maintenance,2024-10-06 00:00:00,2024-10-06 00:00:00
PM-OD-001-20241101,OD-001,2024-11-01,750000,796804,762006,A,46.8,Weather delay,2024-11-06 00:00:00,2024-11-06 00:00:00
PM-OD-001-20241201,OD-001,2024-12-01,750000,703230,701264,D,4.9,Planned maintenance,2024-12-06 00:00:00,2024-12-06 00:00:00
PM-OD-002-20230101,OD-002,2023-01-01,900000,919997,895589,D,16.4,Planned maintenance,2023-01-06 00:00:00,2023-01-06 00:00:00
PM-OD-002-20230201,OD-002,2023-02-01,900000,833169,827408,A,39.5,Equipment breakdown,2023-02-06 00:00:00,2023-02-06 00:00:00
PM-OD-002-20230301,OD-002,2023-03-01,900000,897771,878784,A,7.3,Weather delay,2023-03-06 00:00:00,2023-03-06 00:00:00
PM-OD-002-20230401,OD-002,2023-04-01,900000,1021263,974549,B,5.7,Equipment breakdown,2023-04-06 00:00:00,2023-04-06 00:00:00
PM-OD-002-20230501,OD-002,2023-05-01,900000,928705,918987,B,37.2,Equipment breakdown,2023-05-06 00:00:00,2023-05-06 00:00:00
PM-OD-002-20230601,OD-002,2023-06-01,900000,886638,861932,E,47.5,Equipment breakdown,2023-06-06 00:00:00,2023-06-06 00:00:00
PM-OD-002-20230701,OD-002,2023-07-01,900000,918529,875368,A,45.5,Planned maintenance,2023-07-06 00:00:00,2023-07-06 00:00:00
PM-OD-002-20230801,OD-002,2023-08-01,900000,933889,899552,A,7.5,Planned maintenance,2023-08-06 00:00:00,2023-08-06 00:00:00
PM-OD-002-20230901,OD-002,2023-09-01,900000,914037,875488,D,21.6,Weather delay,2023-09-06 00:00:00,2023-09-06 00:00:00
PM-OD-002-20231001,OD-002,2023-10-01,900000,891876,848737,C,33.9,Weather delay,2023-10-06 00:00:00,2023-10-06 00:00:00
PM-OD-002-20231101,OD-002,2023-11-01,900000,997093,950786,B,44.3,Weather delay,2023-11-06 00:00:00,2023-11-06 00:00:00
PM-OD-002-20231201,OD-002,2023-12-01,900000,924243,915181,B,20.4,Weather delay,2023-12-06 00:00:00,2023-12-06 00:00:00
PM-OD-002-20240101,OD-002,2024-01-01,900000,825698,790564,C,39.7,Planned maintenance,2024-01-06 00:00:00,2024-01-06 00:00:00
PM-OD-002-20240201,OD-002,2024-02-01,900000,781102,773003,E,35.9,Weather delay,2024-02-06 00:00:00,2024-02-06 00:00:00
PM-OD-002-20240301,OD-002,2024-03-01,900000,1013721,985293,D,33.1,Weather delay,2024-03-06 00:00:00,2024-03-06 00:00:00
PM-OD-002-20240401,OD-002,2024-04-01,900000,873677,841885,E,23.7,Planned maintenance,2024-04-06 00:00:00,2024-04-06 00:00:00
PM-OD-002-20240501,OD-002,2024-05-01,900000,926469,921346,C,29.0,Planned maintenance,2024-05-06 00:00:00,2024-05-06 00:00:00
PM-OD-002-20240601,OD-002,2024-06-01,900000,789658,788154,E,28.2,Planned maintenance,2024-06-06 00:00:00,2024-06-06 00:00:00
PM-OD-002-20240701,OD-002,2024-07-01,900000,1034884,1017926,C,27.7,Planned maintenance,2024-07-06 00:00:00,2024-07-06 00:00:00
PM-OD-002-20240801,OD-002,2024-08-01,900000,892035,876491,C,8.7,Weather delay,2024-08-06 00:00:00,2024-08-06 00:00:00
PM-OD-002-20240901,OD-002,2024-09-01,900000,882688,874489,A,22.6,Equipment breakdown,2024-09-06 00:00:00,2024-09-06 00:00:00
PM-OD-002-20241001,OD-002,2024-10-01,900000,854993,840891,B,15.8,Weather delay,2024-10-06 00:00:00,2024-10-06 00:00:00
PM-OD-002-20241101,OD-002,2024-11-01,900000,898776,883612,D,39.1,Weather delay,2024-11-06 00:00:00,2024-11-06 00:00:00
PM-OD-002-20241201,OD-002,2024-12-01,900000,774908,739574,C,15.5,Equipment breakdown,2024-12-06 00:00:00,2024-12-06 00:00:00
PM-OD-003-20230101,OD-003,2023-01-01,360000,399410,395913,A,31.6,Weather delay,2023-01-06 00:00:00,2023-01-06 00:00:00
PM-OD-003-20230201,OD-003,2023-02-01,360000,355893,339062,E,17.4,Equipment breakdown,2023-02-06 00:00:00,2023-02-06 00:00:00
PM-OD-003-20230301,OD-003,2023-03-01,360000,373544,369061,B,12.8,Planned maintenance,2023-03-06 00:00:00,2023-03-06 00:00:00
PM-OD-003-20230401,OD-003,2023-04-01,360000,406188,394776,D,5.8,Weather delay,2023-04-06 00:00:00,2023-04-06 00:00:00
PM-OD-003-20230501,OD-003,2023-05-01,360000,371758,357618,B,14.9,Planned maintenance,2023-05-06 00:00:00,2023-05-06 00:00:00
PM-OD-003-20230601,OD-003,2023-06-01,360000,365643,349064,A,22.1,Planned maintenance,2023-06-06 00:00:00,2023-06-06 00:00:00
PM-OD-003-20230701,OD-003,2023-07-01,360000,375952,360048,C,24.4,Equipment breakdown,2023-07-06 00:00:00,2023-07-06 00:00:00
PM-OD-003-20230801,OD-003,2023-08-01,360000,350872,341793,D,11.7,Weather delay,2023-08-06 00:00:00,2023-08-06 00:00:00
PM-OD-003-20230901,OD-003,2023-09-01,360000,321621,308605,E,24.4,Planned maintenance,2023-09-06 00:00:00,2023-09-06 00:00:00
PM-OD-003-20231001,OD-003,2023-10-01,360000,399314,384863,D,16.3,Weather delay,2023-10-06 00:00:00,2023-10-06 00:00:00
PM-OD-003-20231101,OD-003,2023-11-01,360000,334854,318154,C,40.2,Weather delay,2023-11-06 00:00:00,2023-11-06 00:00:00
PM-OD-003-20231201,OD-003,2023-12-01,360000,413881,403319,B,21.4,Equipment breakdown,2023-12-06 00:00:00,2023-12-06 00:00:00
PM-OD-003-20240101,OD-003,2024-01-01,360000,343273,335582,E,18.1,Equipment breakdown,2024-01-06 00:00:00,2024-01-06 00:00:00
PM-OD-003-20240201,OD-003,2024-02-01,360000,399916,399531,B,27.4,Planned maintenance,2024-02-06 00:00:00,2024-02-06 00:00:00
PM-OD-003-20240301,OD-003,2024-03-01,360000,398449,386710,C,35.7,Weather delay,2024-03-06 00:00:00,2024-03-06 00:00:00
PM-OD-003-20240401,OD-003,2024-04-01,360000,404650,392130,B,23.8,Planned maintenance,2024-04-06 00:00:00,2024-04-06 00:00:00
PM-OD-003-20240501,OD-003,2024-05-01,360000,319634,319080,C,41.7,Equipment breakdown,2024-05-06 00:00:00,2024-05-06 00:00:00
PM-OD-003-20240601,OD-003,2024-06-01,360000,316768,315349,A,34.7,Equipment breakdown,2024-06-06 00:00:00,2024-06-06 00:00:00
PM-OD-003-20240701,OD-003,2024-07-01,360000,400060,399459,A,22.5,Equipment breakdown,2024-07-06 00:00:00,2024-07-06 00:00:00
PM-OD-003-20240801,OD-003,2024-08-01,360000,342564,337300,A,40.9,Weather delay,2024-08-06 00:00:00,2024-08-06 00:00:00
PM-OD-003-20240901,OD-003,2024-09-01,360000,398808,386445,C,30.1,Equipment breakdown,2024-09-06 00:00:00,2024-09-06 00:00:00
PM-OD-003-20241001,OD-003,2024-10-01,360000,400217,380924,A,11.3,Weather delay,2024-10-06 00:00:00,2024-10-06 00:00:00
