document_id,mine_id,document_type,document_number,issue_date,expiry_date,issuing_authority,ocr_text_status,verification_status,file_path,file_size_kb,uploaded_by,uploaded_date
DOC-00015,CG-002,Mining Lease,Min-0015-2023,2022-04-04,2027-04-03,DGMS,Extracted,Rejected,/documents/mining_lease/CG-002/0015.pdf,1597,Sita Devi,2022-04-15 00:00:00
DOC-00016,CG-002,First Aid Certificate,Fir-0016-2023,2023-12-24,2027-12-23,DGMS,Extracted,Verified,/documents/first_aid_certificate/CG-002/0016.pdf,3470,Amit Patel,2023-12-30 00:00:00
DOC-00017,JH-003,Audit Report,Aud-0017-2023,2022-07-12,2025-07-11,State Government,Pending,Expired,/documents/audit_report/JH-003/0017.pdf,1307,Sita Devi,2022-07-25 00:00:00
DOC-00018,CG-001,Audit Report,Aud-0018-2023,2022-10-11,2025-10-10,State PCB,Failed,Expired,/documents/audit_report/CG-001/0018.pdf,2044,Sita Devi,2022-10-29 00:00:00
DOC-00019,CG-001,Mining Lease,Min-0019-2023,2022-01-05,2024-01-05,State Government,Extracted,Expired,/documents/mining_lease/CG-001/0019.pdf,4643,Rajesh Kumar,2022-02-04 00:00:00
DOC-00020,JH-003,Safety Certificate,Saf-0020-2023,2022-09-16,2027-09-15,State PCB,Extracted,Verified,/documents/safety_certificate/JH-003/0020.pdf,680,Amit Patel,2022-10-07 00:00:00
DOC-00021,CG-001,Explosives Licence,Exp-0021-2023,2023-10-31,2026-10-30,Insurance Company,Extracted,Verified,/documents/explosives_licence/CG-001/0021.pdf,1619,Sita Devi,2023-11-04 00:00:00
DOC-00022,OD-001,Audit Report,Aud-0022-2023,2022-07-19,2023-07-19,Insurance Company,Extracted,Expired,/documents/audit_report/OD-001/0022.pdf,4952,Amit Patel,2022-07-29 00:00:00
DOC-00023,CG-002,Insurance Certificate,Ins-0023-2023,2022-01-19,2025-01-18,State Government,Pending,Expired,/documents/insurance_certificate/CG-002/0023.pdf,4344,Amit Patel,2022-02-14 00:00:00
DOC-00024,OD-002,Mining Lease,Min-0024-2023,2022-07-15,2025-07-14,CPCB,Extracted,Expired,/documents/mining_lease/OD-002/0024.pdf,3488,Rajesh Kumar,2022-08-07 00:00:00
DOC-00025,OD-002,Explosives Licence,Exp-0025-2023,2022-03-26,2025-03-25,CPCB,Extracted,Expired,/documents/explosives_licence/OD-002/0025.pdf,4946,Rajesh Kumar,2022-04-08 00:00:00
DOC-00026,JH-001,Insurance Certificate,Ins-0026-2023,2023-07-30,2024-07-29,DGMS,Extracted,Expired,/documents/insurance_certificate/JH-001/0026.pdf,1732,Amit Patel,2023-08-12 00:00:00
DOC-00027,CG-001,Environmental Clearance,Env-0027-2023,2023-02-01,2024-02-01,CPCB,Extracted,Expired,/documents/environmental_clearance/CG-001/0027.pdf,3419,Amit Patel,2023-03-02 00:00:00
DOC-00028,OD-002,Training Certificate,Tra-0028-2023,2022-07-06,2024-07-05,State Government,Extracted,Expired,/documents/training_certificate/OD-002/0028.pdf,2609,Amit Patel,2022-07-17 00:00:00
DOC-00029,JH-001,Environmental Clearance,Env-0029-2023,2022-08-07,2025-08-06,State PCB,Pending,Expired,/documents/environmental_clearance/JH-001/0029.pdf,552,Sita Devi,2022-09-02 00:00:00
DOC-00030,CG-001,Insurance Certificate,Ins-0030-2023,2022-12-22,2027-12-21,State PCB,Extracted,Verified,/documents/insurance_certificate/CG-001/0030.pdf,2347,Sita Devi,2023-01-02 00:00:00
DOC-00031,JH-001,Training Certificate,Tra-0031-2023,2023-04-16,2027-04-15,State PCB,Extracted,Verified,/documents/training_certificate/JH-001/0031.pdf,2413,Rajesh Kumar,2023-04-23 00:00:00
DOC-00032,CG-001,Explosives Licence,Exp-0032-2023,2023-11-18,2025-11-17,State PCB,Extracted,Expired,/documents/explosives_licence/CG-001/0032.pdf,3207,Amit Patel,2023-11-19 00:00:00
DOC-00033,JH-001,First Aid Certificate,Fir-0033-2023,2022-06-18,2026-06-17,State Government,Extracted,Expired,/documents/first_aid_certificate/JH-001/0033.pdf,4899,Rajesh Kumar,2022-07-17 00:00:00
DOC-00034,CG-001,Insurance Certificate,Ins-0034-2023,2022-08-01,2026-07-31,Insurance Company,Extracted,Expired,/documents/insurance_certificate/CG-001/0034.pdf,4580,Sita Devi,2022-08-05 00:00:00
DOC-00035,CG-001,Mining Lease,Min-0035-2023,2022-10-17,2023-10-17,DGMS,Pending,Expired,/documents/mining_lease/CG-001/0035.pdf,4664,Amit Patel,2022-11-13 00:00:00
DOC-00036,OD-001,Safety Certificate,Saf-0036-2023,2022-11-18,2023-11-18,Insurance Company,Extracted,Expired,/documents/safety_certificate/OD-001/0036.pdf,548,Sita Devi,2022-12-03 00:00:00
DOC-00037,OD-001,Insurance Certificate,Ins-0037-2023,2022-01-08,2025-01-07,State PCB,Extracted,Expired,/documents/insurance_certificate/OD-001/0037.pdf,516,Rajesh Kumar,2022-01-22 00:00:00
DOC-00038,CG-002,First Aid Certificate,Fir-0038-2023,2022-12-20,2025-12-19,Insurance Company,Extracted,Expired,/documents/first_aid_certificate/CG-002/0038.pdf,4534,Sita Devi,2023-01-07 00:00:00
DOC-00039,OD-002,Explosives Licence,Exp-0039-2023,2022-06-29,2027-06-28,DGMS,Pending,Verified,/documents/explosives_licence/OD-002/0039.pdf,3339,Rajesh Kumar,2022-07-22 00:00:00
DOC-00040,JH-003,Safety Certificate,Saf-0040-2023,2023-12-13,2028-12-11,Insurance Company,Extracted,Verified,/documents/safety_certificate/JH-003/0040.pdf,3964,Amit Patel,2024-01-06 00:00:00
DOC-00041,OD-001,First Aid Certificate,Fir-0041-2023,2023-12-15,2027-12-14,DGMS,Extracted,Pending,/documents/first_aid_certificate/OD-001/0041.pdf,1335,Amit Patel,2024-01-04 00:00:00
DOC-00042,CG-001,Safety Certificate,Saf-0042-2023,2023-01-14,2026-01-13,Insurance Company,Extracted,Expired,/documents/safety_certificate/CG-001/0042.pdf,4099,Rajesh Kumar,2023-02-02 00:00:00
DOC-00043,,Environmental Clearance,Env-0043-2023,2023-03-18,2024-03-17,CPCB,Pending,Expired,/documents/environmental_clearance/global/0043.pdf,3230,Rajesh Kumar,2023-04-05 00:00:00
DOC-00044,JH-003,Environmental Clearance,Env-0044-2023,2022-04-23,2026-04-22,State Government,Extracted,Expired,/documents/environmental_clearance/JH-003/0044.pdf,2473,Sita Devi,2022-05-23 00:00:00
DOC-00045,CG-001,Training Certificate,Tra-0045-2023,2023-04-30,2027-04-29,CPCB,Extracted,Pending,/documents/training_certificate/CG-001/0045.pdf,1846,Amit Patel,2023-05-29 00:00:00
DOC-00046,JH-003,Audit Report,Aud-0046-2023,2023-03-06,2027-03-05,Insurance Company,Pending,Verified,/documents/audit_report/JH-003/0046.pdf,1720,Amit Patel,2023-04-03 00:00:00
DOC-00047,JH-003,Mining Lease,Min-0047-2023,2023-02-06,2028-02-05,State Government,Extracted,Verified,/documents/mining_lease/JH-003/0047.pdf,543,Rajesh Kumar,2023-02-23 00:00:00
DOC-00048,OD-001,Training Certificate,Tra-0048-2023,2023-11-20,2026-11-19,Insurance Company,Extracted,Pending,/documents/training_certificate/OD-001/0048.pdf,2057,Rajesh Kumar,2023-11-24 00:00:00
DOC-00049,CG-001,Insurance Certificate,Ins-0049-2023,2023-01-29,2025-01-28,State PCB,Extracted,Expired,/documents/insurance_certificate/CG-001/0049.pdf,2555,Rajesh Kumar,2023-02-28 00:00:00
DOC-00050,JH-003,Audit Report,Aud-0050-2023,2023-05-05,2024-05-04,State PCB,Extracted,Expired,/documents/audit_report/JH-003/0050.pdf,4864,Rajesh Kumar,2023-06-04 00:00:00
DOC-00051,CG-001,Mining Lease,Min-0051-2023,2022-03-13,2025-03-12,CPCB,Extracted,Expired,/documents/mining_lease/CG-001/0051.pdf,2307,Sita Devi,2022-04-01 00:00:00
DOC-00052,JH-002,Safety Certificate,Saf-0052-2023,2022-11-15,2025-11-14,DGMS,Pending,Expired,/documents/safety_certificate/JH-002/0052.pdf,4802,Rajesh Kumar,2022-12-05 00:00:00
DOC-00053,JH-001,First Aid Certificate,Fir-0053-2023,2022-11-13,2025-11-12,State Government,Extracted,Expired,/documents/first_aid_certificate/JH-001/0053.pdf,4282,Rajesh Kumar,2022-11-30 00:00:00
DOC-00054,CG-002,Safety Certificate,Saf-0054-2023,2022-12-03,2024-12-02,DGMS,Extracted,Expired,/documents/safety_certificate/CG-002/0054.pdf,1808,Rajesh Kumar,2022-12-13 00:00:00
DOC-00055,OD-001,Mining Lease,Min-0055-2023,2023-12-27,2026-12-26,State Government,Extracted,Verified,/documents/mining_lease/OD-001/0055.pdf,1613,Rajesh Kumar,2024-01-09 00:00:00
DOC-00056,OD-001,Audit Report,Aud-0056-2023,2022-03-11,2024-03-10,DGMS,Extracted,Expired,/documents/audit_report/OD-001/0056.pdf,2151,Sita Devi,2022-03-14 00:00:00
DOC-00057,JH-002,Environmental Clearance,Env-0057-2023,2022-07-10,2024-07-09,CPCB,Pending,Expired,/documents/environmental_clearance/JH-002/0057.pdf,2777,Rajesh Kumar,2022-07-21 00:00:00
DOC-00058,OD-001,Fire Safety Certificate,Fir-0058-2023,2023-11-19,2024-11-18,DGMS,Pending,Expired,/documents/fire_safety_certificate/OD-001/0058.pdf,2209,Sita Devi,2023-11-22 00:00:00
DOC-00059,CG-002,Explosives Licence,Exp-0059-2023,2022-11-27,2024-11-26,State Government,Extracted,Expired,/documents/explosives_licence/CG-002/0059.pdf,3989,Sita Devi,2022-12-06 00:00:00
DOC-00060,OD-001,Mining Lease,Min-0060-2023,2022-11-28,2023-11-28,DGMS,Extracted,Expired,/documents/mining_lease/OD-001/0060.pdf,2931,Sita Devi,2022-12-07 00:00:00
DOC-00061,OD-002,Training Certificate,Tra-0061-2023,2023-12-26,2024-12-25,Insurance Company,Extracted,Expired,/documents/training_certificate/OD-002/0061.pdf,2283,Amit Patel,2024-01-18 00:00:00
DOC-00062,JH-001,Audit Report,Aud-0062-2023,2022-06-12,2023-06-12,DGMS,Extracted,Expired,/documents/audit_report/JH-001/0062.pdf,814,Rajesh Kumar,2022-07-02 00:00:00
DOC-00063,OD-002,Insurance Certificate,Ins-0063-2023,2023-07-13,2026-07-12,CPCB,Extracted,Expired,/documents/insurance_certificate/OD-002/0063.pdf,794,Amit Patel,2023-07-18 00:00:00
DOC-00064,CG-001,First Aid Certificate,Fir-0064-2023,2022-01-12,2027-01-11,DGMS,Extracted,Verified,/documents/first_aid_certificate/CG-001/0064.pdf,1625,Amit Patel,2022-02-06 00:00:00
DOC-00065,CG-002,Mining Lease,Min-0065-2023,2023-12-13,2025-12-12,State PCB,Extracted,Expired,/documents/mining_lease/CG-002/0065.pdf,776,Rajesh Kumar,2023-12-28 00:00:00
DOC-00066,OD-002,Mining Lease,Min-0066-2023,2022-09-09,2025-09-08,Insurance Company,Pending,Expired,/documents/mining_lease/OD-002/0066.pdf,4786,Amit Patel,2022-10-01 00:00:00
DOC-00067,OD-002,Fire Safety Certificate,Fir-0067-2023,2023-03-05,2026-03-04,DGMS,Pending,Expired,/documents/fire_safety_certificate/OD-002/0067.pdf,2959,Rajesh Kumar,2023-04-04 00:00:00
DOC-00068,JH-003,Explosives Licence,Exp-0068-2023,2022-02-03,2024-02-03,State PCB,Extracted,Expired,/documents/explosives_licence/JH-003/0068.pdf,762,Rajesh Kumar,2022-02-27 00:00:00
DOC-00069,CG-001,Environmental Clearance,Env-0069-2023,2023-05-27,2024-05-26,DGMS,Pending,Expired,/documents/environmental_clearance/CG-001/0069.pdf,1861,Amit Patel,2023-06-10 00:00:00
DOC-00070,OD-001,Environmental Clearance,Env-0070-2023,2022-11-05,2025-11-04,Insurance Company,Extracted,Expired,/documents/environmental_clearance/OD-001/0070.pdf,2130,Rajesh Kumar,2022-11-26 00:00:00
DOC-00071,JH-002,Environmental Clearance,Env-0071-2023,2023-06-13,2026-06-12,DGMS,Extracted,Expired,/documents/environmental_clearance/JH-002/0071.pdf,972,Amit Patel,2023-06-21 00:00:00
DOC-00072,JH-002,Training Certificate,Tra-0072-2023,2022-05-20,2025-05-19,Insurance Company,Failed,Expired,/documents/training_certificate/JH-002/0072.pdf,3911,Rajesh Kumar,2022-06-17 00:00:00
DOC-00073,,Insurance Certificate,Ins-0073-2023,2023-11-21,2026-11-20,State PCB,Extracted,Verified,/documents/insurance_certificate/global/0073.pdf,1986,Amit Patel,2023-12-04 00:00:00
DOC-00074,CG-002,Training Certificate,Tra-0074-2023,2022-07-01,2027-06-30,State PCB,Extracted,Verified,/documents/training_certificate/CG-002/0074.pdf,1477,Sita Devi,2022-07-31 00:00:00
DOC-00075,CG-001,Audit Report,Aud-0075-2023,2023-02-22,2026-02-21,CPCB,Extracted,Expired,/documents/audit_report/CG-001/0075.pdf,2441,Amit Patel,2023-03-04 00:00:00
DOC-00076,OD-001,Explosives Licence,Exp-0076-2023,2022-09-05,2024-09-04,State Government,Pending,Expired,/documents/explosives_licence/OD-001/0076.pdf,4239,Amit Patel,2022-09-23 00:00:00
DOC-00077,OD-001,Fire Safety Certificate,Fir-0077-2023,2022-08-16,2025-08-15,CPCB,Extracted,Expired,/documents/fire_safety_certificate/OD-001/0077.pdf,1139,Amit Patel,2022-09-01 00:00:00
DOC-00078,JH-002,Explosives Licence,Exp-0078-2023,2023-11-24,2025-11-23,CPCB,Extracted,Expired,/documents/explosives_licence/JH-002/0078.pdf,1202,Amit Patel,2023-12-08 00:00:00
DOC-00079,CG-001,Insurance Certificate,Ins-0079-2023,2023-11-16,2028-11-14,State Government,Extracted,Verified,/documents/insurance_certificate/CG-001/0079.pdf,3872,Amit Patel,2023-11-18 00:00:00
DOC-00080,OD-001,Audit Report,Aud-0080-2023,2023-11-06,2026-11-05,Insurance Company,Extracted,Verified,/documents/audit_report/OD-001/0080.pdf,2766,Rajesh Kumar,2023-12-01 00:00:00
DOC-00081,JH-003,First Aid Certificate,Fir-0081-2023,2022-03-15,2024-03-14,DGMS,Extracted,Expired,/documents/first_aid_certificate/JH-003/0081.pdf,973,Amit Patel,2022-04-01 00:00:00
DOC-00082,CG-002,Environmental Clearance,Env-0082-2023,2022-03-19,2027-03-18,Insurance Company,Pending,Pending,/documents/environmental_clearance/CG-002/0082.pdf,2732,Amit Patel,2022-04-05 00:00:00
DOC-00083,JH-003,Insurance Certificate,Ins-0083-2023,2023-08-22,2028-08-20,State Government,Extracted,Rejected,/documents/insurance_certificate/JH-003/0083.pdf,3846,Rajesh Kumar,2023-09-13 00:00:00
DOC-00084,JH-002,Audit Report,Aud-0084-2023,2023-11-29,2028-11-27,DGMS,Extracted,Verified,/documents/audit_report/JH-002/0084.pdf,2239,Sita Devi,2023-12-29 00:00:00
DOC-00085,,Environmental Clearance,Env-0085-2023,2022-05-25,2024-05-24,DGMS,Failed,Expired,/documents/environmental_clearance/global/0085.pdf,3991,Amit Patel,2022-06-21 00:00:00
DOC-00086,JH-001,Training Certificate,Tra-0086-2023,2022-06-22,2023-06-22,Insurance Company,Extracted,Expired,/documents/training_certificate/JH-001/0086.pdf,4914,Amit Patel,2022-06-24 00:00:00
DOC-00087,CG-002,Explosives Licence,Exp-0087-2023,2022-06-12,2025-06-11,State PCB,Pending,Expired,/documents/explosives_licence/CG-002/0087.pdf,1344,Amit Patel,2022-07-10 00:00:00
DOC-00088,JH-002,First Aid Certificate,Fir-0088-2023,2022-07-19,2025-07-18,CPCB,Extracted,Expired,/documents/first_aid_certificate/JH-002/0088.pdf,4662,Sita Devi,2022-07-26 00:00:00
DOC-00089,OD-001,First Aid Certificate,Fir-0089-2023,2023-04-22,2024-04-21,CPCB,Extracted,Expired,/documents/first_aid_certificate/OD-001/0089.pdf,3427,Rajesh Kumar,2023-05-17 00:00:00
DOC-00090,CG-002,First Aid Certificate,Fir-0090-2023,2023-02-13,2027-02-12,DGMS,Extracted,Verified,/documents/first_aid_certificate/CG-002/0090.pdf,4411,Rajesh Kumar,2023-03-01 00:00:00
DOC-00091,JH-001,Training Certificate,Tra-0091-2023,2022-07-17,2023-07-17,Insurance Company,Failed,Expired,/documents/training_certificate/JH-001/0091.pdf,1707,Sita Devi,2022-08-07 00:00:00
DOC-00092,CG-001,First Aid Certificate,Fir-0092-2023,2022-05-03,2026-05-02,CPCB,Extracted,Expired,/documents/first_aid_certificate/CG-001/0092.pdf,1273,Amit Patel,2022-05-29 00:00:00
DOC-00093,JH-002,Environmental Clearance,Env-0093-2023,2023-11-12,2024-11-11,Insurance Company,Extracted,Expired,/documents/environmental_clearance/JH-002/0093.pdf,969,Rajesh Kumar,2023-11-25 00:00:00
DOC-00094,OD-002,Audit Report,Aud-0094-2023,2023-10-28,2025-10-27,Insurance Company,Extracted,Expired,/documents/audit_report/OD-002/0094.pdf,4092,Amit Patel,2023-11-10 00:00:00
DOC-00095,OD-002,Safety Certificate,Saf-0095-2023,2023-07-23,2027-07-22,State Government,Extracted,Verified,/documents/safety_certificate/OD-002/0095.pdf,4899,Amit Patel,2023-07-31 00:00:00
DOC-00096,OD-001,Environmental Clearance,Env-0096-2023,2022-04-30,2025-04-29,DGMS,Extracted,Expired,/documents/environmental_clearance/OD-001/0096.pdf,3490,Amit Patel,2022-05-11 00:00:00
DOC-00097,JH-003,Explosives Licence,Exp-0097-2023,2022-12-19,2024-12-18,CPCB,Extracted,Expired,/documents/explosives_licence/JH-003/0097.pdf,3395,Amit Patel,2023-01-18 00:00:00
DOC-00098,CG-002,Safety Certificate,Saf-0098-2023,2022-09-12,2026-09-11,State PCB,Extracted,Verified,/documents/safety_certificate/CG-002/0098.pdf,1839,Sita Devi,2022-09-27 00:00:00
DOC-00099,CG-001,Environmental Clearance,Env-0099-2023,2022-06-16,2026-06-15,DGMS,Extracted,Expired,/documents/environmental_clearance/CG-001/0099.pdf,4888,Rajesh Kumar,2022-07-12 00:00:00
DOC-00100,CG-001,Mining Lease,Min-0100-2023,2023-04-22,2024-04-21,DGMS,Extracted,Expired,/documents/mining_lease/CG-001/0100.pdf,4610,Rajesh Kumar,2023-05-05 00:00:00
DOC-00101,JH-002,Fire Safety Certificate,Fir-0101-2023,2023-04-15,2024-04-14,Insurance Company,Extracted,Expired,/documents/fire_safety_certificate/JH-002/0101.pdf,3052,Sita Devi,2023-04-21 00:00:00
DOC-00102,OD-001,First Aid Certificate,Fir-0102-2023,2023-05-02,2026-05-01,CPCB,Pending,Expired,/documents/first_aid_certificate/OD-001/0102.pdf,2489,Amit Patel,2023-05-08 00:00:00
DOC-00103,JH-002,Audit Report,Aud-0103-2023,2022-08-16,2023-08-16,DGMS,Extracted,Expired,/documents/audit_report/JH-002/0103.pdf,1779,Sita Devi,2022-08-17 00:00:00
DOC-00104,CG-001,Training Certificate,Tra-0104-2023,2023-11-02,2025-11-01,Insurance Company,Pending,Expired,/documents/training_certificate/CG-001/0104.pdf,4038,Amit Patel,2023-11-16 00:00:00
DOC-00105,JH-001,Training Certificate,Tra-0105-2023,2023-09-27,2026-09-26,Insurance Company,Extracted,Verified,/documents/training_certificate/JH-001/0105.pdf,4036,Rajesh Kumar,2023-10-07 00:00:00
DOC-00106,CG-002,Audit Report,Aud-0106-2023,2022-05-15,2027-05-14,CPCB,Extracted,Verified,/documents/audit_report/CG-002/0106.pdf,1543,Amit Patel,2022-06-10 00:00:00
DOC-00107,CG-001,Mining Lease,Min-0107-2023,2023-11-03,2028-11-01,State PCB,Extracted,Verified,/documents/mining_lease/CG-001/0107.pdf,2860,Rajesh Kumar,2023-11-11 00:00:00
DOC-00108,JH-003,Environmental Clearance,Env-0108-2023,2023-12-08,2028-12-06,State Government,Extracted,Verified,/documents/environmental_clearance/JH-003/0108.pdf,4811,Sita Devi,2023-12-13 00:00:00
DOC-00109,,Audit Report,Aud-0109-2023,2023-01-30,2025-01-29,State PCB,Extracted,Expired,/documents/audit_report/global/0109.pdf,947,Rajesh Kumar,2023-02-17 00:00:00
DOC-00110,OD-002,Audit Report,Aud-0110-2023,2023-01-01,2025-12-31,Insurance Company,Failed,Expired,/documents/audit_report/OD-002/0110.pdf,2492,Sita Devi,2023-01-08 00:00:00
DOC-00111,OD-002,Audit Report,Aud-0111-2023,2023-06-03,2025-06-02,CPCB,Extracted,Expired,/documents/audit_report/OD-002/0111.pdf,2509,Rajesh Kumar,2023-06-15 00:00:00
DOC-00112,OD-001,Fire Safety Certificate,Fir-0112-2023,2022-07-20,2027-07-19,Insurance Company,Extracted,Verified,/documents/fire_safety_certificate/OD-001/0112.pdf,3969,Sita Devi,2022-08-05 00:00:00
DOC-00113,OD-001,First Aid Certificate,Fir-0113-2023,2022-01-29,2023-01-29,CPCB,Extracted,Expired,/documents/first_aid_certificate/OD-001/0113.pdf,2341,Amit Patel,2022-02-21 00:00:00
DOC-00114,CG-002,Explosives Licence,Exp-0114-2023,2023-11-27,2025-11-26,State PCB,Extracted,Expired,/documents/explosives_licence/CG-002/0114.pdf,835,Rajesh Kumar,2023-12-16 00:00:00
DOC-00115,OD-001,Mining Lease,Min-0115-2023,2022-06-21,2024-06-20,State PCB,Pending,Expired,/documents/mining_lease/OD-001/0115.pdf,1927,Rajesh Kumar,2022-07-04 00:00:00
DOC-00116,JH-001,Insurance Certificate,Ins-0116-2023,2022-06-01,2026-05-31,Insurance Company,Extracted,Expired,/documents/insurance_certificate/JH-001/0116.pdf,2291,Rajesh Kumar,2022-06-17 00:00:00
DOC-00117,JH-001,First Aid Certificate,Fir-0117-2023,2023-02-03,2024-02-03,CPCB,Extracted,Expired,/documents/first_aid_certificate/JH-001/0117.pdf,2178,Rajesh Kumar,2023-02-18 00:00:00
DOC-00118,JH-003,Insurance Certificate,Ins-0118-2023,2023-09-22,2028-09-20,CPCB,Extracted,Verified,/documents/insurance_certificate/JH-003/0118.pdf,1447,Sita Devi,2023-09-25 00:00:00
DOC-00119,JH-001,First Aid Certificate,Fir-0119-2023,2022-07-15,2025-07-14,DGMS,Extracted,Expired,/documents/first_aid_certificate/JH-001/0119.pdf,2855,Sita Devi,2022-08-14 00:00:00
DOC-00120,CG-002,Mining Lease,Min-0120-2023,2022-08-01,2027-07-31,State Government,Pending,Pending,/documents/mining_lease/CG-002/0120.pdf,3984,Rajesh Kumar,2022-08-15 00:00:00
DOC-00121,CG-001,First Aid Certificate,Fir-0121-2023,2022-02-04,2026-02-03,DGMS,Extracted,Expired,/documents/first_aid_certificate/CG-001/0121.pdf,2307,Amit Patel,2022-03-06 00:00:00
DOC-00122,JH-002,Audit Report,Aud-0122-2023,2022-03-10,2025-03-09,State Government,Pending,Expired,/documents/audit_report/JH-002/0122.pdf,2242,Sita Devi,2022-03-24 00:00:00
DOC-00123,,Safety Certificate,Saf-0123-2023,2023-12-12,2027-12-11,State PCB,Extracted,Verified,/documents/safety_certificate/global/0123.pdf,3840,Sita Devi,2023-12-23 00:00:00
DOC-00124,JH-003,Training Certificate,Tra-0124-2023,2023-03-04,2027-03-03,State Government,Extracted,Verified,/documents/training_certificate/JH-003/0124.pdf,2742,Sita Devi,2023-03-09 00:00:00
DOC-00125,CG-001,Mining Lease,Min-0125-2023,2023-07-18,2027-07-17,CPCB,Extracted,Pending,/documents/mining_lease/CG-001/0125.pdf,3059,Sita Devi,2023-07-29 00:00:00
DOC-00126,OD-002,Environmental Clearance,Env-0126-2023,2023-12-30,2026-12-29,Insurance Company,Extracted,Verified,/documents/environmental_clearance/OD-002/0126.pdf,3472,Rajesh Kumar,2024-01-12 00:00:00
DOC-00127,OD-002,Explosives Licence,Exp-0127-2023,2022-06-28,2027-06-27,CPCB,Extracted,Verified,/documents/explosives_licence/OD-002/0127.pdf,4173,Amit Patel,2022-07-28 00:00:00
DOC-00128,CG-002,Mining Lease,Min-0128-2023,2023-02-09,2027-02-08,DGMS,Extracted,Verified,/documents/mining_lease/CG-002/0128.pdf,2490,Sita Devi,2023-02-23 00:00:00
DOC-00129,OD-002,Audit Report,Aud-0129-2023,2023-07-25,2026-07-24,DGMS,Pending,Expired,/documents/audit_report/OD-002/0129.pdf,4774,Amit Patel,2023-08-14 00:00:00
DOC-00130,,Explosives Licence,Exp-0130-2023,2022-04-03,2023-04-03,DGMS,Extracted,Expired,/documents/explosives_licence/global/0130.pdf,3615,Sita Devi,2022-04-05 00:00:00
DOC-00131,OD-002,Mining Lease,Min-0131-2023,2022-09-02,2024-09-01,CPCB,Extracted,Expired,/documents/mining_lease/OD-002/0131.pdf,2283,Rajesh Kumar,2022-09-28 00:00:00
