reading_id,mine_id,reading_date,reading_time,parameter,sub_parameter,value,unit,permissible_limit,exceedance,location,latitude,longitude,equipment_id,recorded_by
ER-000013,JH-002,2023-05-09,01:13:00,Air Quality,NOx,86.5,mg/m³,80,True,Pit Area,23.2956645,85.7253816,SENS-NOx-058,Amit Patel
ER-000014,JH-003,2023-04-02,11:40:00,Groundwater,Level,65.3,m,100,False,Drill Site,23.5723829,86.4275883,SENS-Lev-093,Amit Patel
ER-000015,JH-002,2023-07-12,11:06:00,Noise,SPL,79.5,dB,85,False,Pit Area,24.1319042,85.8366811,SENS-SPL-087,Rajesh Kumar
ER-000016,CG-002,2023-11-08,00:13:00,Air Quality,SO2,82.1,mg/m³,80,True,Drill Site,23.4757378,86.073371,SENS-SO2-001,Sita Devi
ER-000017,JH-003,2023-04-29,10:37:00,Noise,SPL,60.5,dB,85,False,Crusher Area,24.1645283,86.3950587,SENS-SPL-078,Sita Devi
ER-000018,CG-001,2023-06-13,06:46:00,Water,TSS,97.1,mg/m³,100,False,Pit Area,24.0257186,86.220892,SENS-TSS-024,Sita Devi
ER-000019,CG-002,2024-01-01,05:41:00,Vibration,Whole Body,3.8,m/s²,5,False,Effluent Treatment,24.0477176,85.5558529,SENS-Who-029,Rajesh Kumar
ER-000020,CG-002,2023-08-11,19:40:00,Noise,SPL,66.5,dB,85,False,Effluent Treatment,23.9434024,85.6467027,SENS-SPL-022,Amit Patel
ER-000021,JH-002,2023-09-23,05:59:00,Water,TSS,85.9,mg/m³,100,False,Pit Area,23.9402364,86.0535539,SENS-TSS-076,Sita Devi
ER-000022,JH-001,2023-10-18,02:59:00,Water,pH,5.2,,9,False,Effluent Treatment,23.3932195,86.1328103,SENS-pH-033,Rajesh Kumar
ER-000023,JH-001,2023-04-21,12:30:00,Vibration,Whole Body,3.3,m/s²,5,False,Crusher Area,24.0153918,85.8582646,SENS-Who-068,Sita Devi
ER-000024,JH-001,2023-09-13,14:01:00,Dust,PM10,101.8,mg/m³,100,True,Effluent Treatment,23.4829227,86.1078788,SENS-PM1-079,Amit Patel
ER-000025,JH-003,2023-04-30,17:33:00,Water,pH,4.5,,9,False,Crusher Area,23.739604,85.8685454,SENS-pH-007,Amit Patel
ER-000026,JH-001,2023-03-26,02:55:00,Air Quality,NOx,79.6,mg/m³,80,False,Effluent Treatment,23.2388113,85.8694411,SENS-NOx-098,Amit Patel
ER-000027,CG-001,2023-06-16,04:38:00,Air Quality,SO2,58.5,mg/m³,80,False,Effluent Treatment,23.7917343,85.8915094,SENS-SO2-009,Rajesh Kumar
ER-000028,OD-002,2023-09-23,18:57:00,Vibration,Whole Body,4.0,m/s²,5,False,Effluent Treatment,24.1225841,86.3174338,SENS-Who-006,Rajesh Kumar
ER-000029,CG-001,2023-05-31,10:52:00,Dust,PM2.5,45.1,mg/m³,60,False,Drill Site,23.458699,86.0468269,SENS-PM2-036,Rajesh Kumar
ER-000030,CG-002,2023-08-26,00:46:00,Water,TSS,77.2,mg/m³,100,False,Pit Area,23.6562504,85.5745944,SENS-TSS-029,Amit Patel
ER-000031,OD-001,2023-02-12,04:25:00,Vibration,Whole Body,4.8,m/s²,5,False,Drill Site,23.4014806,85.8782143,SENS-Who-042,Amit Patel
ER-000032,JH-002,2023-02-14,00:03:00,Air Quality,SO2,95.0,mg/m³,80,True,Effluent Treatment,23.7198747,85.7404631,SENS-SO2-090,Rajesh Kumar
ER-000033,CG-001,2023-03-07,07:11:00,Noise,SPL,43.7,dB,85,False,Effluent Treatment,24.1239292,85.6019226,SENS-SPL-072,Sita Devi
ER-000034,OD-001,2023-08-29,03:04:00,Groundwater,Level,79.3,m,100,False,Crusher Area,24.0818808,86.1056994,SENS-Lev-037,Sita Devi
ER-000035,JH-001,2023-04-10,23:09:00,Groundwater,Level,101.7,m,100,True,Crusher Area,23.4874766,86.3960612,SENS-Lev-037,Amit Patel
ER-000036,CG-002,2023-03-25,00:24:00,Groundwater,Level,82.5,m,100,False,Drill Site,23.7571839,85.5542433,SENS-Lev-027,Amit Patel
ER-000037,CG-001,2023-02-12,05:39:00,Water,TSS,69.8,mg/m³,100,False,Drill Site,23.8921232,86.2828461,SENS-TSS-086,Rajesh Kumar
ER-000038,CG-001,2023-02-12,21:19:00,Water,TSS,54.3,mg/m³,100,False,Pit Area,23.8807949,86.4374677,SENS-TSS-043,Sita Devi
ER-000039,CG-001,2023-08-21,19:38:00,Dust,PM2.5,42.0,mg/m³,60,False,Pit Area,23.9539453,85.9102153,SENS-PM2-067,Rajesh Kumar
ER-000040,OD-002,2023-01-10,20:00:00,Water,TSS,101.5,mg/m³,100,True,Crusher Area,24.1075261,85.5895105,SENS-TSS-026,Sita Devi
ER-000041,JH-003,2023-02-02,01:03:00,Air Quality,SO2,71.3,mg/m³,80,False,Effluent Treatment,23.8850812,86.2432879,SENS-SO2-088,Rajesh Kumar
ER-000042,CG-002,2023-02-20,08:47:00,Vibration,Whole Body,5.0,m/s²,5,False,Effluent Treatment,23.8480201,86.3872456,SENS-Who-034,Rajesh Kumar
ER-000043,OD-002,2023-01-05,14:21:00,Water,pH,9.5,,9,True,Drill Site,23.7619287,86.0053284,SENS-pH-041,Amit Patel
ER-000044,CG-002,2023-02-17,02:26:00,Vibration,Whole Body,4.2,m/s²,5,False,Pit Area,24.1169193,86.0758559,SENS-Who-040,Sita Devi
ER-000045,OD-001,2023-04-28,00:52:00,Groundwater,Level,69.6,m,100,False,Pit Area,23.6735939,85.8930752,SENS-Lev-025,Rajesh Kumar
ER-000046,JH-002,2023-08-18,00:49:00,Vibration,Whole Body,4.2,m/s²,5,False,Crusher Area,23.907674,85.7402447,SENS-Who-006,Rajesh Kumar
ER-000047,JH-001,2023-05-24,07:18:00,Noise,SPL,72.9,dB,85,False,Pit Area,23.7565765,85.6160497,SENS-SPL-063,Rajesh Kumar
ER-000048,OD-002,2023-12-23,07:12:00,Air Quality,SO2,84.9,mg/m³,80,True,Drill Site,23.1886055,86.2543551,SENS-SO2-015,Sita Devi
ER-000049,JH-002,2023-09-11,20:07:00,Air Quality,NOx,56.4,mg/m³,80,False,Drill Site,24.0541338,85.8430004,SENS-NOx-004,Rajesh Kumar
ER-000050,CG-002,2023-06-07,15:21:00,Vibration,Whole Body,2.8,m/s²,5,False,Crusher Area,23.663752,85.7948337,SENS-Who-044,Rajesh Kumar
ER-000051,CG-002,2023-10-26,16:59:00,Vibration,Whole Body,2.8,m/s²,5,False,Pit Area,23.8218482,85.7604507,SENS-Who-064,Amit Patel
ER-000052,CG-002,2023-07-13,22:55:00,Groundwater,Level,81.1,m,100,False,Crusher Area,24.1325158,86.1888518,SENS-Lev-043,Rajesh Kumar
ER-000053,OD-002,2023-07-02,09:26:00,Water,TSS,55.5,mg/m³,100,False,Pit Area,23.8371561,86.2145114,SENS-TSS-066,Amit Patel
ER-000054,JH-001,2023-02-18,03:13:00,Vibration,Whole Body,5.9,m/s²,5,True,Effluent Treatment,23.2109658,85.9261401,SENS-Who-027,Rajesh Kumar
ER-000055,JH-002,2023-09-11,10:20:00,Water,pH,5.2,,9,False,Crusher Area,24.0982075,86.4311778,SENS-pH-087,Sita Devi
ER-000056,JH-003,2023-11-09,14:23:00,Noise,SPL,62.1,dB,85,False,Pit Area,23.7840081,86.1367934,SENS-SPL-062,Amit Patel
ER-000057,CG-002,2023-05-01,11:47:00,Noise,SPL,56.5,dB,85,False,Drill Site,24.067054,85.6773896,SENS-SPL-056,Amit Patel
ER-000058,JH-001,2023-03-17,15:53:00,Groundwater,Level,53.1,m,100,False,Crusher Area,23.8037198,85.958096,SENS-Lev-059,Amit Patel
ER-000059,JH-002,2023-11-25,14:22:00,Air Quality,SO2,66.1,mg/m³,80,False,Drill Site,23.8193435,85.5372978,SENS-SO2-059,Amit Patel
ER-000060,CG-001,2023-12-10,19:19:00,Air Quality,SO2,87.7,mg/m³,80,True,Pit Area,24.1011926,86.3126493,SENS-SO2-024,Rajesh Kumar
ER-000061,OD-001,2023-01-17,12:17:00,Dust,PM10,103.6,mg/m³,100,True,Effluent Treatment,23.4072065,85.9618095,SENS-PM1-001,Amit Patel
ER-000062,JH-003,2023-06-20,10:05:00,Noise,SPL,100.7,dB,85,True,Crusher Area,23.689691,86.4183702,SENS-SPL-056,Amit Patel
ER-000063,OD-001,2023-09-12,09:06:00,Dust,PM2.5,32.2,mg/m³,60,False,Drill Site,23.9520852,85.9454663,SENS-PM2-018,Sita Devi
ER-000064,JH-001,2023-08-22,22:53:00,Air Quality,SO2,63.3,mg/m³,80,False,Pit Area,24.0409936,86.4004222,SENS-SO2-090,Amit Patel
ER-000065,JH-001,2023-06-30,12:48:00,Groundwater,Level,98.9,m,100,False,Drill Site,23.6173909,86.0099868,SENS-Lev-023,Amit Patel
ER-000066,OD-002,2023-04-05,08:41:00,Vibration,Whole Body,5.0,m/s²,5,False,Pit Area,23.6542781,86.3999143,SENS-Who-027,Sita Devi
ER-000067,JH-001,2023-03-11,05:10:00,Water,TSS,69.5,mg/m³,100,False,Drill Site,23.921377,85.772865,SENS-TSS-010,Sita Devi
ER-000068,JH-002,2023-06-12,08:35:00,Water,pH,5.5,,9,False,Effluent Treatment,23.266462,85.764267,SENS-pH-070,Amit Patel
ER-000069,JH-003,2023-09-23,09:05:00,Groundwater,Level,108.1,m,100,True,Crusher Area,23.7092771,86.26074,SENS-Lev-018,Amit Patel
ER-000070,CG-002,2023-02-19,17:47:00,Air Quality,NOx,63.0,mg/m³,80,False,Pit Area,23.4180204,85.9824481,SENS-NOx-066,Amit Patel
ER-000071,JH-003,2023-07-17,05:09:00,Groundwater,Level,66.5,m,100,False,Crusher Area,23.777017,85.6406379,SENS-Lev-029,Rajesh Kumar
ER-000072,JH-001,2023-07-22,15:48:00,Noise,SPL,90.0,dB,85,True,Pit Area,24.034186,86.2254524,SENS-SPL-005,Amit Patel
ER-000073,CG-001,2023-02-07,06:11:00,Groundwater,Level,90.5,m,100,False,Drill Site,24.0711877,85.4818478,SENS-Lev-001,Sita Devi
ER-000074,OD-002,2023-12-17,03:46:00,Groundwater,Level,69.4,m,100,False,Effluent Treatment,23.5689652,85.8383025,SENS-Lev-024,Amit Patel
ER-000075,JH-003,2023-03-25,13:51:00,Vibration,Whole Body,3.0,m/s²,5,False,Crusher Area,23.3545876,85.8679084,SENS-Who-046,Sita Devi
ER-000076,JH-002,2023-10-16,01:33:00,Vibration,Whole Body,4.1,m/s²,5,False,Drill Site,23.9730205,85.8978157,SENS-Who-012,Amit Patel
ER-000077,CG-001,2023-02-15,03:04:00,Dust,PM10,52.8,mg/m³,100,False,Pit Area,23.323903,86.4468472,SENS-PM1-011,Amit Patel
ER-000078,OD-001,2023-07-11,18:43:00,Air Quality,SO2,82.0,mg/m³,80,True,Pit Area,23.4099214,86.0964697,SENS-SO2-077,Amit Patel
ER-000079,JH-002,2023-09-23,17:25:00,Air Quality,NOx,80.5,mg/m³,80,True,Effluent Treatment,23.5906982,86.0363635,SENS-NOx-070,Rajesh Kumar
ER-000080,CG-002,2023-06-08,00:32:00,Water,TSS,105.4,mg/m³,100,True,Crusher Area,23.4512383,86.4123244,SENS-TSS-018,Amit Patel
ER-000081,CG-001,2023-03-12,14:35:00,Water,pH,10.5,,9,True,Effluent Treatment,23.9733628,85.8694833,SENS-pH-031,Sita Devi
ER-000082,OD-002,2023-05-20,23:56:00,Vibration,Whole Body,4.1,m/s²,5,False,Drill Site,23.2839607,86.2003747,SENS-Who-074,Amit Patel
ER-000083,JH-003,2023-08-19,14:38:00,Groundwater,Level,87.4,m,100,False,Crusher Area,23.8747535,85.8671029,SENS-Lev-015,Amit Patel
ER-000084,OD-002,2023-11-30,09:48:00,Noise,SPL,71.1,dB,85,False,Pit Area,23.8056019,85.9194996,SENS-SPL-072,Sita Devi
ER-000085,CG-002,2023-06-19,01:26:00,Noise,SPL,78.0,dB,85,False,Effluent Treatment,23.8959196,85.8752492,SENS-SPL-041,Sita Devi
ER-000086,OD-001,2023-01-19,22:20:00,Vibration,Whole Body,6.0,m/s²,5,True,Pit Area,23.998791,85.5615604,SENS-Who-059,Sita Devi
ER-000087,CG-001,2023-12-21,14:49:00,Water,pH,9.7,,9,True,Pit Area,23.3214534,86.0391126,SENS-pH-029,Rajesh Kumar
ER-000088,OD-001,2023-06-04,11:01:00,Noise,SPL,85.5,dB,85,True,Effluent Treatment,23.3755472,85.7320721,SENS-SPL-022,Rajesh Kumar
ER-000089,JH-001,2023-06-12,23:38:00,Noise,SPL,83.1,dB,85,False,Crusher Area,23.5425607,86.3023649,SENS-SPL-079,Amit Patel
ER-000090,JH-002,2023-03-22,18:57:00,Vibration,Whole Body,5.5,m/s²,5,True,Effluent Treatment,23.9213343,85.7374239,SENS-Who-054,Sita Devi
ER-000091,JH-002,2023-09-28,18:25:00,Groundwater,Level,76.8,m,100,False,Drill Site,23.639054,86.1024037,SENS-Lev-099,Sita Devi
ER-000092,OD-002,2023-08-29,02:55:00,Air Quality,NOx,90.8,mg/m³,80,True,Effluent Treatment,23.2822479,85.5615319,SENS-NOx-087,Rajesh Kumar
ER-000093,JH-001,2023-06-24,15:41:00,Dust,PM2.5,40.8,mg/m³,60,False,Effluent Treatment,23.3627041,86.0223671,SENS-PM2-016,Sita Devi
ER-000094,OD-001,2023-04-09,22:20:00,Groundwater,Level,66.5,m,100,False,Drill Site,23.3489372,86.1084348,SENS-Lev-023,Rajesh Kumar
ER-000095,OD-001,2023-07-23,16:37:00,Noise,SPL,92.1,dB,85,True,Crusher Area,23.7593975,86.3481587,SENS-SPL-028,Sita Devi
ER-000096,JH-001,2023-11-22,22:33:00,Air Quality,SO2,56.3,mg/m³,80,False,Pit Area,24.0304097,86.0281469,SENS-SO2-066,Sita Devi
ER-000097,CG-001,2023-12-21,08:00:00,Noise,SPL,75.3,dB,85,False,Effluent Treatment,24.0463245,86.3583472,SENS-SPL-017,Amit Patel
ER-000098,OD-001,2023-12-03,09:39:00,Groundwater,Level,75.2,m,100,False,Crusher Area,24.0738367,85.5821907,SENS-Lev-033,Rajesh Kumar
ER-000099,CG-001,2023-05-29,20:09:00,Air Quality,NOx,47.1,mg/m³,80,False,Crusher Area,23.6550312,86.1487057,SENS-NOx-034,Amit Patel
ER-000100,CG-001,2023-07-19,17:23:00,Air Quality,NOx,77.5,mg/m³,80,False,Drill Site,23.71857,85.7649034,SENS-NOx-082,Sita Devi
ER-000101,JH-002,2023-03-23,19:48:00,Water,TSS,116.5,mg/m³,100,True,Pit Area,23.3767808,85.8658976,SENS-TSS-010,Amit Patel
ER-000102,JH-002,2023-05-07,03:07:00,Water,pH,7.6,,9,False,Drill Site,24.1588528,86.4470706,SENS-pH-010,Sita Devi
ER-000103,CG-001,2023-02-07,13:14:00,Air Quality,NOx,64.2,mg/m³,80,False,Effluent Treatment,24.1512813,86.276293,SENS-NOx-054,Amit Patel
ER-000104,OD-001,2023-02-13,23:56:00,Air Quality,NOx,73.3,mg/m³,80,False,Effluent Treatment,23.8012197,85.5114495,SENS-NOx-011,Sita Devi
ER-000105,JH-003,2023-10-20,20:19:00,Vibration,Whole Body,5.0,m/s²,5,False,Drill Site,23.806386,86.2098451,SENS-Who-093,Amit Patel
ER-000106,JH-003,2023-04-24,23:06:00,Water,TSS,95.7,mg/m³,100,False,Drill Site,23.3722219,85.8277042,SENS-TSS-056,Amit Patel
ER-000107,JH-001,2023-09-07,04:19:00,Water,pH,6.8,,9,False,Pit Area,23.8875409,85.779313,SENS-pH-098,Rajesh Kumar
ER-000108,CG-002,2023-08-22,06:35:00,Water,TSS,66.4,mg/m³,100,False,Pit Area,23.4085345,85.8808463,SENS-TSS-041,Sita Devi
ER-000109,JH-003,2023-01-01,13:25:00,Groundwater,Level,56.1,m,100,False,Crusher Area,24.0082431,85.5961758,SENS-Lev-089,Amit Patel
ER-000110,CG-002,2023-05-06,12:33:00,Air Quality,NOx,51.7,mg/m³,80,False,Pit Area,23.7618496,86.1223569,SENS-NOx-062,Rajesh Kumar
ER-000111,CG-001,2023-09-21,14:48:00,Vibration,Whole Body,4.2,m/s²,5,False,Effluent Treatment,23.1907488,86.3281853,SENS-Who-071,Rajesh Kumar
ER-000112,OD-001,2023-11-20,19:38:00,Water,TSS,107.1,mg/m³,100,True,Drill Site,23.9046048,85.9514984,SENS-TSS-020,Sita Devi
ER-000113,JH-001,2023-01-14,08:39:00,Vibration,Whole Body,3.2,m/s²,5,False,Pit Area,23.2147448,85.6357209,SENS-Who-099,Rajesh Kumar
ER-000114,OD-001,2023-07-16,07:46:00,Noise,SPL,65.0,dB,85,False,Pit Area,23.9487148,85.6494621,SENS-SPL-030,Rajesh Kumar
ER-000115,OD-001,2023-11-01,01:41:00,Vibration,Whole Body,3.4,m/s²,5,False,Drill Site,23.5201663,86.0874878,SENS-Who-022,Sita Devi
ER-000116,CG-001,2023-05-20,00:42:00,Noise,SPL,99.8,dB,85,True,Drill Site,23.5500935,85.7288261,SENS-SPL-041,Sita Devi
ER-000117,JH-003,2023-03-20,03:37:00,Vibration,Whole Body,4.8,m/s²,5,False,Drill Site,23.8256127,85.7425543,SENS-Who-012,Amit Patel
ER-000118,CG-002,2023-06-26,08:11:00,Noise,SPL,60.7,dB,85,False,Pit Area,23.7356692,85.8770248,SENS-SPL-007,Sita Devi
ER-000119,OD-002,2023-08-08,07:59:00,Air Quality,SO2,65.9,mg/m³,80,False,Drill Site,23.4302469,86.4413109,SENS-SO2-052,Rajesh Kumar
ER-000120,CG-001,2023-06-01,05:04:00,Dust,PM10,79.7,mg/m³,100,False,Pit Area,23.4166618,85.5778085,SENS-PM1-016,Rajesh Kumar
ER-000121,JH-002,2023-04-21,20:48:00,Dust,PM2.5,50.0,mg/m³,60,False,Pit Area,23.6933919,86.2074375,SENS-PM2-035,Sita Devi
ER-000122,JH-003,2023-02-09,16:39:00,Noise,SPL,97.1,dB,85,True,Drill Site,23.7683985,86.0646339,SENS-SPL-037,Rajesh Kumar
ER-000123,JH-001,2023-11-04,14:18:00,Air Quality,SO2,51.3,mg/m³,80,False,Crusher Area,23.700174,85.6879565,SENS-SO2-049,Rajesh Kumar
ER-000124,OD-002,2023-06-15,10:28:00,Vibration,Whole Body,3.6,m/s²,5,False,Crusher Area,23.8409032,85.6877332,SENS-Who-086,Sita Devi
ER-000125,CG-002,2023-09-06,06:26:00,Groundwater,Level,113.5,m,100,True,Effluent Treatment,23.8544996,86.0622491,SENS-Lev-045,Rajesh Kumar
ER-000126,OD-001,2023-07-21,15:45:00,Vibration,Whole Body,5.9,m/s²,5,True,Drill Site,23.3154682,85.7061848,SENS-Who-009,Sita Devi
ER-000127,OD-001,2023-05-15,15:45:00,Groundwater,Level,58.5,m,100,False,Effluent Treatment,23.6479821,86.1784076,SENS-Lev-081,Amit Patel
ER-000128,OD-002,2023-05-14,07:11:00,Air Quality,SO2,53.1,mg/m³,80,False,Drill Site,24.1643819,85.8426132,SENS-SO2-048,Rajesh Kumar
ER-000129,CG-001,2023-05-05,08:48:00,Noise,SPL,88.1,dB,85,True,Crusher Area,23.9304653,85.695029,SENS-SPL-037,Rajesh Kumar
ER-000130,OD-002,2023-11-26,14:25:00,Dust,PM2.5,49.3,mg/m³,60,False,Crusher Area,23.6505301,85.6187541,SENS-PM2-045,Sita Devi
ER-000131,CG-001,2023-02-28,17:37:00,Vibration,Whole Body,3.9,m/s²,5,False,Crusher Area,23.5113222,86.0096203,SENS-Who-079,Rajesh Kumar
ER-000132,OD-002,2023-04-21,09:57:00,Vibration,Whole Body,4.0,m/s²,5,False,Effluent Treatment,23.1738805,85.8690224,SENS-Who-013,Amit Patel
ER-000133,JH-001,2023-09-06,18:13:00,Air Quality,SO2,40.7,mg/m³,80,False,Effluent Treatment,23.8815846,85.8037707,SENS-SO2-016,Rajesh Kumar
ER-000134,OD-002,2023-03-07,09:24:00,Dust,PM10,116.6,mg/m³,100,True,Effluent Treatment,23.1729953,86.0287126,SENS-PM1-071,Sita Devi
ER-000135,OD-002,2023-11-06,03:31:00,Water,TSS,54.3,mg/m³,100,False,Crusher Area,23.6026161,86.2666016,SENS-TSS-046,Amit Patel
ER-000136,CG-001,2023-04-11,09:10:00,Groundwater,Level,55.2,m,100,False,Pit Area,24.1477737,86.3140175,SENS-Lev-022,Amit Patel
ER-000137,OD-002,2023-08-21,04:07:00,Dust,PM2.5,46.4,mg/m³,60,False,Crusher Area,23.2066821,86.4456808,SENS-PM2-017,Rajesh Kumar
ER-000138,JH-001,2023-12-01,08:44:00,Noise,SPL,63.3,dB,85,False,Pit Area,23.926432,86.3837866,SENS-SPL-002,Sita Devi
ER-000139,JH-002,2023-04-24,08:50:00,Groundwater,Level,96.1,m,100,False,Pit Area,23.6552437,85.9686761,SENS-Lev-005,Rajesh Kumar
ER-000140,CG-001,2023-04-03,18:45:00,Noise,SPL,99.6,dB,85,True,Pit Area,23.6947488,85.7074241,SENS-SPL-039,Sita Devi
ER-000141,CG-002,2023-10-18,06:37:00,Noise,SPL,79.1,dB,85,False,Effluent Treatment,23.6572878,86.0705059,SENS-SPL-093,Sita Devi
ER-000142,OD-002,2023-01-04,14:45:00,Vibration,Whole Body,4.6,m/s²,5,False,Crusher Area,23.1824549,85.5040724,SENS-Who-092,Amit Patel
ER-000143,JH-001,2023-11-03,13:21:00,Air Quality,SO2,59.3,mg/m³,80,False,Crusher Area,23.4226175,86.2670406,SENS-SO2-073,Amit Patel
ER-000144,CG-001,2023-06-11,12:52:00,Water,TSS,75.2,mg/m³,100,False,Crusher Area,24.1559482,85.6020472,SENS-TSS-065,Amit Patel
ER-000145,OD-001,2023-11-15,04:33:00,Groundwater,Level,63.9,m,100,False,Effluent Treatment,24.1132543,86.3317018,SENS-Lev-081,Rajesh Kumar
ER-000146,OD-002,2023-07-27,16:32:00,Noise,SPL,68.6,dB,85,False,Drill Site,24.042136,85.7672714,SENS-SPL-002,Sita Devi
ER-000147,JH-003,2023-10-26,14:16:00,Water,pH,8.6,,9,False,Effluent Treatment,23.2164328,85.621185,SENS-pH-056,Rajesh Kumar
ER-000148,JH-002,2023-01-13,08:25:00,Dust,PM10,114.1,mg/m³,100,True,Drill Site,24.0689973,86.321518,SENS-PM1-084,Sita Devi
ER-000149,JH-001,2023-12-15,19:54:00,Dust,PM10,74.3,mg/m³,100,False,Crusher Area,23.4172557,85.6142266,SENS-PM1-049,Sita Devi
ER-000150,CG-002,2023-12-03,12:32:00,Dust,PM2.5,43.9,mg/m³,60,False,Pit Area,24.0156859,86.3597743,SENS-PM2-019,Sita Devi
ER-000151,OD-001,2023-11-07,09:06:00,Noise,SPL,54.4,dB,85,False,Crusher Area,23.8783768,85.81463,SENS-SPL-064,Sita Devi
ER-000152,OD-001,2023-06-08,12:06:00,Groundwater,Level,113.3,m,100,True,Crusher Area,23.641503,86.151235,SENS-Lev-042,Sita Devi
ER-000153,JH-001,2023-07-13,19:39:00,Groundwater,Level,93.6,m,100,False,Crusher Area,23.8442599,86.1282297,SENS-Lev-084,Rajesh Kumar
ER-000154,CG-001,2023-01-31,08:20:00,Vibration,Whole Body,2.6,m/s²,5,False,Crusher Area,23.9045149,85.7976806,SENS-Who-045,Sita Devi
ER-000155,CG-002,2023-06-25,05:42:00,Vibration,Whole Body,5.8,m/s²,5,True,Drill Site,23.9467311,86.1476281,SENS-Who-008,Rajesh Kumar
ER-000156,JH-003,2023-10-01,17:44:00,Groundwater,Level,101.7,m,100,True,Effluent Treatment,23.9365269,85.473735,SENS-Lev-100,Amit Patel
ER-000157,OD-002,2023-05-04,15:40:00,Noise,SPL,64.1,dB,85,False,Drill Site,23.6921276,85.8291408,SENS-SPL-094,Rajesh Kumar
ER-000158,JH-003,2023-03-15,07:48:00,Vibration,Whole Body,5.9,m/s²,5,True,Crusher Area,23.3944108,86.2583653,SENS-Who-076,Amit Patel
ER-000159,JH-002,2023-11-18,16:13:00,Air Quality,NOx,55.1,mg/m³,80,False,Drill Site,23.8777934,85.8981043,SENS-NOx-023,Rajesh Kumar
ER-000160,CG-002,2023-03-05,01:40:00,Groundwater,Level,83.8,m,100,False,Pit Area,24.0417197,86.2134319,SENS-Lev-048,Sita Devi
ER-000161,JH-003,2023-05-16,00:49:00,Water,pH,5.6,,9,False,Crusher Area,23.3359031,85.9710445,SENS-pH-082,Sita Devi
ER-000162,CG-002,2023-11-09,08:31:00,Groundwater,Level,103.3,m,100,True,Pit Area,23.2973866,85.6674003,SENS-Lev-067,Sita Devi
ER-000163,JH-001,2023-04-04,15:46:00,Vibration,Whole Body,2.6,m/s²,5,False,Effluent Treatment,23.7454176,86.3645269,SENS-Who-041,Sita Devi
ER-000164,OD-002,2023-04-24,15:26:00,Noise,SPL,88.5,dB,85,True,Effluent Treatment,24.1414968,85.6169563,SENS-SPL-064,Sita Devi
ER-000165,JH-002,2023-03-19,17:14:00,Air Quality,SO2,71.4,mg/m³,80,False,Pit Area,24.0792394,86.0380759,SENS-SO2-005,Sita Devi
ER-000166,JH-002,2023-01-09,15:26:00,Noise,SPL,92.6,dB,85,True,Drill Site,23.9511625,85.8520593,SENS-SPL-061,Amit Patel
ER-000167,JH-001,2023-07-31,18:44:00,Air Quality,NOx,71.0,mg/m³,80,False,Drill Site,23.1986476,86.2877137,SENS-NOx-018,Amit Patel
ER-000168,JH-002,2023-09-12,15:09:00,Noise,SPL,92.3,dB,85,True,Drill Site,23.212555,86.2409335,SENS-SPL-093,Rajesh Kumar
