mine_id,equipment_type,shift,operating_hours,temperature_C,vibration,pressure_bar,dust_level_ug,rpm,oil_temp_C,load_percentage,machine_failure
JH-002,Crusher,Morning,3115.68,61.62,1.8475,72.47,263.23,1441.92,84.82,56.64,0
JH-002,Drill Rig,Morning,1066.95,67.06,4.0464,110.56,129.98,1324.8,79.58,56.08,0
OD-001,Drill Rig,Morning,6873.91,54.44,1.9468,103.74,170.38,1357.45,80.07,67.38,0
OD-002,Dumper,Night,4457.51,60.31,1.4834,102.99,38.58,870.36,87.36,47.14,0
CG-002,Dumper,Morning,1308.18,58.02,1.9341,62.94,117.36,1893.89,80.35,45.17,0
JH-002,Dumper,Night,5002.25,51.13,3.3977,54.76,243.09,1505.54,66.82,42.88,0
CG-002,Dumper,Night,440.45,77.84,2.3948,92.65,293.3,1496.11,89.25,78.13,0
CG-002,Drill Rig,Afternoon,9102.27,38.82,1.8918,113.23,150.59,1255.2,98.87,30.68,0
JH-001,Drill Rig,Night,2661.92,95.41,3.4587,64.44,92.22,1361.88,82.56,56.26,0
CG-001,Dumper,Night,6658.97,73.16,3.2787,117.91,234.58,1160.07,92.02,102.21,0
CG-001,Drill Rig,Morning,3185.94,33.33,1.4452,93.93,257.82,1236.25,63.43,105.0,0
CG-002,Drill Rig,Afternoon,5248.67,56.64,2.8502,83.42,194.46,1426.0,85.14,46.73,0
JH-001,Dumper,Morning,5512.43,57.47,1.4194,101.67,149.95,1537.93,63.71,34.15,0
CG-001,Loader,Afternoon,1930.06,65.88,4.8795,74.05,269.11,1647.0,77.38,39.81,0
CG-001,Crusher,Night,9698.89,45.16,5.0309,49.23,206.09,1739.33,84.36,68.61,0
JH-001,Drill Rig,Morning,7773.81,60.48,2.3541,124.13,10.29,1859.47,69.31,63.95,0
JH-002,Crusher,Afternoon,9401.04,58.18,4.6296,99.03,291.85,1690.2,74.71,77.4,1
JH-002,Drill Rig,Night,8958.79,48.94,1.8625,85.57,216.96,1477.42,73.19,108.07,0
OD-002,Dumper,Afternoon,6019.21,46.85,2.5347,88.44,149.96,1630.12,87.82,94.23,0
OD-002,Drill Rig,Morning,9226.55,73.78,2.0291,84.5,14.43,1452.06,76.88,36.02,0
OD-001,Loader,Morning,976.08,34.55,2.6849,92.94,23.17,1216.11,76.89,40.22,0
CG-002,Drill Rig,Afternoon,2040.23,67.17,2.8098,97.75,290.72,2115.97,85.64,44.87,0
CG-002,Loader,Afternoon,547.75,71.96,2.7147,113.75,240.88,1783.02,87.88,50.06,0
OD-001,Excavator,Morning,3320.77,56.72,2.5984,86.09,38.1,1650.99,70.0,33.91,0
OD-001,Drill Rig,Night,3947.91,60.79,2.8969,78.85,226.93,1555.18,100.12,97.13,1
OD-002,Excavator,Afternoon,2786.36,77.45,5.0921,89.28,60.09,1704.26,92.78,102.12,1
CG-001,Crusher,Night,8304.5,49.43,0.9946,149.28,122.54,1590.74,97.03,73.79,0
CG-002,Loader,Night,3631.86,50.98,7.1026,103.14,156.79,1535.7,77.52,101.95,0
OD-001,Drill Rig,Morning,2881.25,52.57,2.281,107.99,272.18,1818.37,86.64,101.36,0
CG-002,Dumper,Night,5472.69,77.48,2.6144,94.91,25.09,1512.05,81.42,54.25,0
JH-002,Crusher,Morning,1495.15,79.38,5.2838,134.67,48.97,1873.49,95.02,65.84,1
OD-001,Drill Rig,Morning,8041.75,39.06,3.6816,117.19,233.88,1543.17,68.01,47.05,1
OD-001,Dumper,Night,838.05,75.09,3.552,79.19,298.87,1062.87,99.18,109.44,1
CG-001,Dumper,Night,9870.18,72.28,5.0673,103.15,235.13,1644.25,84.96,76.63,0
OD-001,Loader,Afternoon,7745.22,83.3,2.5033,92.26,235.52,1322.15,80.66,89.35,0
JH-002,Dumper,Night,2067.29,65.78,4.3038,108.22,163.7,1200.7,73.86,106.5,0
JH-002,Dumper,Night,154.67,59.34,1.4474,119.93,109.89,1306.5,88.21,34.34,0
OD-002,Dumper,Morning,8173.07,77.18,3.3493,75.54,51.02,1040.26,82.98,60.64,0
OD-001,Loader,Morning,7097.89,70.48,3.5999,107.18,62.85,1731.78,85.26,60.09,0
OD-001,Loader,Night,7317.17,93.67,4.8212,83.86,138.58,1625.76,91.09,67.41,1
CG-002,Dumper,Morning,7735.58,74.38,3.8726,128.33,289.45,1571.07,83.79,49.94,0
JH-001,Excavator,Morning,833.04,62.3,3.0109,119.33,186.09,1142.76,93.11,48.32,0
CG-001,Crusher,Night,3648.81,42.39,2.3191,60.2,261.2,1651.85,63.69,82.83,0
OD-001,Loader,Night,1247.1,51.29,2.3063,77.47,80.88,2110.34,90.89,90.52,0
CG-002,Dumper,Morning,8644.72,38.46,2.316,73.13,123.89,1556.15,68.89,46.01,0
CG-002,Dumper,Night,6270.65,56.77,1.4206,98.77,222.1,1325.85,80.26,71.52,0
OD-001,Crusher,Afternoon,3375.89,73.89,6.4994,106.03,29.83,1159.99,57.46,33.25,0
JH-001,Excavator,Night,729.23,59.94,4.4787,115.83,89.92,1275.08,79.95,66.26,0
JH-002,Dumper,Morning,3178.72,75.33,3.0872,95.09,173.68,2024.87,88.53,61.59,0
CG-001,Drill Rig,Night,3319.31,65.06,4.0856,94.35,212.88,1363.77,72.19,67.15,0
OD-001,Loader,Morning,7323.1,53.95,3.9611,105.69,136.39,1012.16,95.3,36.44,0
JH-002,Dumper,Afternoon,6411.82,61.31,1.6545,163.01,261.3,1595.13,63.64,66.75,0
JH-002,Crusher,Morning,8883.41,67.08,3.7373,69.7,179.47,1363.16,73.06,93.79,0
CG-002,Drill Rig,Afternoon,4774.93,62.09,5.1288,62.42,198.86,1197.41,62.23,79.24,0
JH-001,Excavator,Morning,1283.98,62.26,1.9368,89.28,88.47,1690.19,78.01,67.09,0
JH-001,Excavator,Morning,7161.12,48.46,1.2626,85.63,105.07,1397.49,64.97,83.0,0
OD-001,Loader,Morning,7631.77,53.51,1.5204,85.24,21.74,1556.14,70.06,37.62,0
JH-001,Loader,Afternoon,5656.64,93.88,2.5904,99.75,31.76,1527.81,97.37,32.55,0
OD-001,Excavator,Afternoon,7732.58,78.43,1.4772,76.59,289.48,1944.04,57.08,102.05,0
CG-002,Loader,Afternoon,4988.58,37.89,2.4943,88.09,169.66,1631.25,68.18,107.9,0
CG-001,Drill Rig,Morning,5275.06,24.5,1.9594,94.11,45.29,1652.39,60.09,96.49,0
OD-001,Excavator,Afternoon,4332.66,61.14,2.7172,94.58,100.3,1205.28,88.34,57.85,0
JH-002,Excavator,Night,351.65,73.4,2.1068,97.18,193.95,1011.99,86.89,84.86,0
OD-002,Drill Rig,Afternoon,1168.13,52.2,2.6698,97.01,258.93,2277.27,65.39,53.58,0
JH-001,Crusher,Morning,411.15,75.32,3.6739,83.85,29.08,1719.96,84.72,35.3,0
CG-001,Excavator,Afternoon,6400.46,60.89,1.6837,94.9,141.63,1182.6,87.74,61.45,0
CG-001,Dumper,Afternoon,3212.12,57.55,3.1289,99.9,29.88,1839.28,82.69,31.4,0
JH-001,Drill Rig,Morning,5134.85,71.34,1.7751,119.21,144.03,1516.54,60.08,46.12,0
OD-002,Drill Rig,Morning,9084.91,52.02,2.7105,70.38,219.39,1408.89,68.69,33.02,0
OD-001,Crusher,Morning,2567.99,55.7,2.6093,100.49,234.34,1301.44,78.64,75.5,0
CG-001,Dumper,Night,4162.79,70.05,3.2472,103.3,89.6,1579.81,70.37,85.69,0
JH-002,Crusher,Morning,7579.96,59.53,2.9812,103.69,87.52,1900.64,63.54,84.05,0
OD-001,Drill Rig,Morning,2365.1,88.63,5.0503,104.63,296.55,1813.06,89.4,56.25,1
OD-002,Dumper,Afternoon,862.1,70.41,2.6831,73.74,43.8,2145.72,80.39,37.26,0
OD-001,Crusher,Afternoon,2968.54,69.43,1.9862,103.22,197.16,1437.14,91.04,72.66,0
CG-002,Loader,Afternoon,1696.09,59.26,4.327,102.12,223.57,1511.72,95.07,32.71,0
JH-001,Crusher,Afternoon,9304.01,73.12,3.2075,110.96,234.3,1786.27,72.23,53.44,0
OD-001,Loader,Morning,8100.39,55.16,4.2295,96.67,203.16,1702.42,57.53,90.52,0
CG-002,Crusher,Afternoon,6370.7,64.24,2.56,89.21,130.44,2171.66,83.93,81.35,0
JH-002,Dumper,Night,8727.46,46.26,1.4129,120.02,44.32,2181.56,67.35,36.47,0
JH-001,Crusher,Morning,8056.35,75.59,8.3474,75.64,175.72,1405.38,80.3,108.56,1
CG-001,Loader,Morning,1947.04,64.36,2.0111,72.52,180.87,893.45,84.88,67.3,0
CG-002,Loader,Morning,8936.33,89.74,1.5213,75.19,199.21,672.04,77.56,80.12,0
JH-001,Loader,Afternoon,5439.49,95.88,3.8903,106.93,278.97,1632.87,88.05,98.25,0
JH-001,Dumper,Afternoon,8093.66,71.45,1.6946,85.54,137.32,1384.69,85.38,73.72,0
CG-002,Loader,Night,8971.3,61.03,2.234,97.78,287.99,1721.11,72.53,53.2,1
OD-001,Crusher,Afternoon,3248.23,45.81,2.893,127.71,72.32,1326.47,67.68,103.51,0
JH-002,Loader,Night,1189.51,73.57,2.5303,76.45,83.83,1995.81,77.16,93.9,0
JH-001,Excavator,Morning,2356.56,63.15,2.2666,65.97,46.61,1119.44,83.12,92.62,0
OD-002,Excavator,Night,4328.37,68.07,6.0185,116.6,31.79,1345.0,79.3,43.59,0
CG-002,Drill Rig,Night,8198.35,85.95,2.5709,83.31,144.55,1345.66,79.18,103.57,0
JH-002,Excavator,Night,8621.23,47.63,1.7338,76.57,194.01,1659.85,90.56,40.63,0
CG-001,Crusher,Afternoon,168.83,46.14,4.4303,97.85,123.92,1354.79,69.84,46.75,0
OD-001,Loader,Afternoon,5156.4,56.45,1.8941,96.18,170.08,1380.13,82.73,108.47,0
JH-002,Crusher,Night,4232.37,72.32,2.574,82.64,126.41,1864.13,76.04,81.95,0
OD-001,Excavator,Morning,2298.87,68.32,1.7292,111.24,23.02,1828.25,85.63,99.18,0
JH-001,Excavator,Night,1286.67,46.56,3.0214,84.42,60.51,1604.76,88.38,69.43,0
CG-001,Excavator,Morning,3442.39,71.35,2.7729,83.51,87.71,1181.37,79.17,65.26,0
OD-002,Crusher,Night,9434.81,41.98,2.6791,62.69,194.11,1623.47,106.58,38.75,0
CG-002,Loader,Morning,3299.71,47.43,2.93,50.9,260.86,1747.93,78.34,66.05,0
JH-001,Drill Rig,Morning,5236.03,58.27,4.0915,104.73,62.74,1463.17,72.39,79.72,0
JH-002,Loader,Night,7059.89,51.7,3.8634,73.58,75.6,1266.98,100.51,102.07,1
JH-002,Crusher,Afternoon,3699.93,73.35,1.6166,96.95,217.39,1343.8,79.49,98.65,0
CG-002,Loader,Night,9720.64,64.3,1.94,138.55,287.27,1581.13,69.46,92.7,1
JH-001,Drill Rig,Night,9628.23,86.48,4.3154,109.31,112.37,1911.1,78.46,66.16,0
CG-002,Loader,Afternoon,2592.64,56.29,1.8378,100.56,102.86,1229.53,69.31,38.37,0
JH-001,Loader,Afternoon,5022.76,58.17,3.4762,108.49,114.77,1627.65,85.93,33.2,0
JH-001,Crusher,Afternoon,3078.7,78.16,4.1361,143.15,59.31,1812.42,80.56,34.45,0
OD-001,Drill Rig,Afternoon,2919.92,58.64,1.1963,62.28,152.75,1635.77,87.29,65.25,0
OD-002,Loader,Afternoon,465.18,82.41,2.2185,97.28,167.61,1797.38,78.54,79.46,0
JH-001,Drill Rig,Morning,6134.69,68.11,4.0858,129.49,55.61,1337.81,77.56,52.05,0
CG-002,Excavator,Afternoon,5076.52,24.71,2.5257,106.16,74.92,1443.95,80.21,40.11,0
OD-001,Drill Rig,Afternoon,609.64,77.66,2.2209,124.09,68.6,1087.53,59.15,69.82,0
JH-001,Dumper,Morning,2858.6,73.69,4.1188,87.49,185.68,1303.38,89.73,33.04,0
CG-001,Crusher,Night,9091.83,74.27,4.7207,74.99,216.35,1253.15,68.9,72.01,0
JH-002,Drill Rig,Morning,2471.66,31.34,1.9363,138.23,98.63,1203.57,97.57,53.02,0
OD-001,Drill Rig,Morning,1534.46,50.06,6.5769,101.5,231.96,1692.26,81.15,108.63,0
JH-002,Dumper,Morning,4945.58,51.17,1.1139,116.52,273.66,1000.9,72.9,48.86,0
CG-002,Excavator,Night,9857.94,47.38,1.2795,117.77,160.31,1115.77,89.25,46.1,0
JH-002,Crusher,Morning,2496.35,86.13,2.1658,125.59,273.81,1738.05,80.29,36.4,0
OD-001,Dumper,Night,6754.14,59.82,2.2996,105.89,191.64,1424.65,74.18,74.92,0
OD-002,Loader,Afternoon,7640.03,59.45,2.3528,106.76,66.71,1175.84,82.57,96.1,0
JH-001,Loader,Morning,2452.61,68.28,2.0808,109.95,84.49,1643.97,95.51,81.44,0
JH-002,Crusher,Afternoon,7309.34,68.54,1.8912,87.17,181.16,1430.36,75.43,95.07,0
OD-001,Loader,Morning,3741.05,9.98,2.4347,121.01,75.29,1577.39,82.66,59.25,0
JH-001,Excavator,Night,6359.83,50.3,2.024,88.57,11.08,1559.92,87.56,66.08,0
JH-002,Drill Rig,Night,6371.94,38.81,3.8227,122.13,85.38,1425.93,79.1,107.46,0
CG-002,Dumper,Afternoon,5404.17,66.0,2.7602,115.9,24.93,1249.12,77.91,57.86,0
JH-001,Dumper,Afternoon,993.87,55.67,2.4337,55.87,270.33,1410.36,67.22,79.28,0
OD-002,Crusher,Night,8369.49,60.23,2.622,116.13,209.14,1596.24,88.89,70.32,0
JH-001,Loader,Morning,3275.72,28.82,4.7449,104.67,18.55,1625.34,70.99,41.9,0
OD-002,Drill Rig,Night,1946.53,55.35,2.1346,126.68,24.03,1594.09,85.86,98.6,0
CG-002,Drill Rig,Night,503.67,76.73,1.4381,134.65,18.35,1399.74,85.03,43.34,0
CG-001,Loader,Morning,5949.84,81.14,1.6675,102.22,241.06,1601.69,77.27,33.6,0
JH-002,Loader,Afternoon,6807.89,70.78,2.4193,107.14,237.92,1059.44,85.71,51.7,0
OD-001,Drill Rig,Night,264.22,39.97,3.4582,74.33,223.94,1620.68,90.92,79.87,0
CG-002,Loader,Night,5169.72,78.89,4.2203,96.63,53.6,1742.52,101.72,100.37,1
JH-002,Crusher,Afternoon,2342.31,70.86,6.1986,133.12,296.12,574.03,74.29,50.38,0
JH-002,Dumper,Morning,6487.21,58.24,3.9337,100.01,255.17,1815.04,67.13,84.76,0
JH-001,Loader,Morning,1826.23,29.62,1.7481,118.55,196.43,1968.84,83.35,108.44,0
CG-002,Excavator,Afternoon,6940.28,74.3,2.4556,99.56,207.22,1641.99,78.67,60.06,0
OD-002,Dumper,Night,3928.68,51.12,0.9214,97.66,121.33,854.92,76.03,91.93,0
CG-001,Excavator,Afternoon,9373.63,65.19,2.3262,111.49,175.48,1533.63,72.46,54.82,0
CG-001,Dumper,Night,1461.46,61.03,2.0086,41.76,109.98,1262.42,80.82,62.04,0
CG-001,Loader,Night,3476.56,83.08,0.8551,107.43,217.17,1515.69,63.82,87.98,0
CG-001,Loader,Night,1223.39,58.12,7.7972,55.01,107.39,1615.33,86.76,97.29,0
JH-002,Loader,Morning,9254.47,59.77,2.2502,98.35,285.71,1700.76,79.42,42.46,0
OD-002,Drill Rig,Afternoon,8785.66,83.68,0.9478,83.29,290.65,1567.95,71.66,53.38,0
CG-001,Dumper,Morning,2653.62,50.13,2.3701,76.9,83.39,1422.69,91.93,100.81,0
CG-001,Excavator,Night,6633.84,72.21,6.2052,129.56,248.8,1929.35,93.5,96.19,0
CG-001,Loader,Afternoon,8190.5,57.02,7.0537,122.39,39.36,1243.99,70.44,45.45,0
JH-002,Crusher,Morning,5596.49,44.96,2.7988,92.88,84.43,1116.89,67.17,65.66,0
JH-002,Excavator,Afternoon,5343.54,60.02,2.8525,147.56,86.44,1418.88,78.57,57.49,0
JH-001,Drill Rig,Afternoon,2494.34,70.38,5.0168,119.88,190.62,1394.39,81.39,64.34,0
CG-001,Loader,Morning,1021.72,80.31,2.5212,96.84,276.35,1249.47,78.21,75.23,0
OD-001,Loader,Morning,8982.44,82.12,3.4217,62.25,96.08,1663.65,81.46,39.85,0
JH-001,Dumper,Morning,9014.14,55.58,4.1363,98.03,133.32,1344.54,72.59,64.05,0
CG-001,Crusher,Afternoon,6367.7,45.19,1.5873,87.37,123.11,1710.37,71.19,86.52,0
CG-002,Excavator,Afternoon,3456.39,55.22,5.8614,90.75,120.3,1007.25,90.04,45.96,0
JH-002,Drill Rig,Night,3557.17,42.28,1.7509,108.27,177.12,1272.64,94.18,88.41,0
JH-002,Dumper,Afternoon,7286.96,56.74,1.98,87.44,205.25,1805.49,69.57,43.61,0
OD-002,Excavator,Night,8981.39,54.88,2.8574,126.42,125.4,1330.39,68.09,103.97,0
CG-001,Drill Rig,Morning,8882.16,70.91,4.3484,89.4,243.9,1272.5,81.24,94.13,1
OD-002,Crusher,Morning,7820.77,26.91,3.8141,79.56,180.52,1946.12,71.71,101.93,0
OD-001,Drill Rig,Night,6456.11,49.0,2.652,112.99,88.8,1918.78,95.35,104.16,1
OD-002,Drill Rig,Morning,932.99,49.12,3.1333,99.44,117.76,1156.38,69.26,51.92,0
CG-002,Crusher,Night,1700.12,77.81,4.649,117.11,289.48,1431.21,79.39,30.81,1
JH-002,Loader,Afternoon,8995.69,43.29,2.7297,103.43,184.75,1528.9,66.53,93.1,0
CG-001,Crusher,Night,6103.65,63.4,1.8112,72.22,155.21,1620.74,74.15,65.27,0
JH-001,Dumper,Afternoon,191.05,58.08,2.0108,106.08,81.65,1082.52,78.44,102.64,0
OD-002,Loader,Afternoon,1104.57,75.65,4.2829,81.84,164.59,1113.0,58.41,42.16,0
JH-002,Loader,Morning,6668.67,68.94,1.8119,102.93,33.66,1611.11,72.89,94.92,0
CG-002,Loader,Morning,150.11,61.82,1.2412,88.04,126.03,1784.6,78.17,88.26,0
JH-001,Excavator,Night,1692.0,51.68,2.3348,95.89,261.27,1378.73,73.33,78.78,0
CG-001,Drill Rig,Night,5532.46,32.21,2.6178,100.86,135.25,1350.62,80.53,54.86,0
OD-002,Drill Rig,Afternoon,6949.76,63.71,4.1797,114.68,254.14,1541.62,78.32,100.69,0
OD-001,Drill Rig,Night,6554.42,67.96,1.3114,88.97,21.6,1540.48,104.74,107.71,1
CG-002,Drill Rig,Afternoon,2320.27,36.38,3.2324,44.21,50.18,1561.59,83.6,81.29,0
JH-002,Drill Rig,Night,7150.57,41.49,4.8338,80.87,222.73,2209.25,72.01,38.49,0
CG-001,Loader,Night,2448.77,63.78,1.8064,102.67,225.87,1230.67,69.65,69.73,0
JH-002,Drill Rig,Morning,3321.46,65.09,2.8315,123.64,197.32,1235.85,89.68,53.88,0
OD-002,Excavator,Night,7490.26,45.14,0.9275,105.99,277.18,1372.1,68.59,48.03,0
OD-002,Crusher,Morning,6531.37,51.39,4.2063,119.91,163.09,1518.94,87.09,94.79,0
OD-002,Dumper,Night,8507.31,32.45,4.0463,103.15,220.74,1294.61,95.15,96.75,1
CG-002,Crusher,Morning,6610.37,80.66,2.6913,104.36,88.78,1353.15,87.34,55.23,0
CG-002,Excavator,Morning,5726.26,40.5,1.3998,95.16,188.13,1175.97,89.54,69.91,0
CG-002,Drill Rig,Night,1027.38,68.13,3.7941,120.99,234.31,1220.61,84.21,69.11,0
OD-001,Dumper,Night,3740.39,59.48,2.4049,132.92,212.29,1057.93,85.04,73.74,0
JH-002,Dumper,Night,2725.5,79.34,0.6769,80.71,244.57,1646.09,67.65,76.39,0
JH-002,Crusher,Morning,2515.5,48.12,4.0113,104.49,126.9,1329.82,98.15,67.83,0
JH-002,Drill Rig,Night,9732.8,60.92,4.8637,76.16,91.97,1734.3,99.3,78.08,0
JH-001,Dumper,Night,3991.67,34.52,5.3103,133.43,89.91,1671.96,69.81,97.01,0
JH-001,Crusher,Night,8931.26,30.92,1.4355,103.42,243.16,2066.84,81.95,67.75,0
OD-002,Loader,Night,6348.27,68.95,1.0425,99.6,257.68,1464.6,88.93,67.29,0
CG-002,Drill Rig,Morning,7968.63,33.22,2.214,77.23,70.39,1576.54,86.99,50.01,0
CG-002,Excavator,Morning,5076.11,56.58,3.5217,95.49,117.85,1189.59,96.91,67.32,0
OD-001,Drill Rig,Morning,5811.35,75.17,1.6966,98.49,276.93,1444.98,87.95,92.59,0
JH-001,Drill Rig,Morning,4975.93,71.2,1.2269,78.52,14.0,1623.6,84.51,101.68,0
OD-002,Dumper,Night,2032.91,50.03,3.9051,103.02,110.81,1104.07,80.44,42.45,0
OD-002,Excavator,Afternoon,7252.28,36.17,2.2874,82.83,188.0,1660.0,81.81,61.84,0
CG-001,Crusher,Night,2879.65,67.64,3.711,108.69,52.66,1549.48,89.83,97.75,0
CG-001,Dumper,Night,340.73,80.13,2.7398,80.28,208.75,1478.02,87.46,102.17,0
OD-002,Loader,Morning,6490.18,50.07,2.5016,103.14,94.82,1541.83,77.95,30.08,0
CG-001,Crusher,Night,1853.4,47.95,2.6325,96.13,283.42,1436.58,81.42,35.9,0
JH-002,Excavator,Afternoon,9410.54,52.13,2.2723,106.03,31.63,1577.11,79.45,62.9,0
OD-002,Dumper,Afternoon,9543.89,68.57,2.1613,103.31,261.35,1792.93,76.37,40.21,1
OD-002,Drill Rig,Night,9157.16,78.43,1.5673,101.9,184.25,1920.03,63.49,83.19,0
OD-002,Loader,Afternoon,3764.57,41.41,3.4614,85.21,189.57,1341.63,75.15,99.3,0
CG-001,Excavator,Morning,253.02,37.53,5.0722,111.08,14.59,1590.84,85.9,92.62,0
CG-001,Excavator,Morning,9290.35,95.1,2.1165,105.75,272.71,1215.47,82.65,45.96,1
CG-001,Dumper,Morning,4339.02,57.34,6.9106,112.74,256.33,2226.64,89.54,104.71,0
OD-002,Drill Rig,Night,9669.88,63.79,3.2815,99.49,140.09,1744.01,86.11,35.51,0
JH-001,Dumper,Night,9639.84,49.62,3.0928,96.41,150.57,1227.11,98.95,58.26,0
OD-002,Dumper,Afternoon,8544.79,67.35,3.7716,79.7,94.23,1947.05,74.36,37.84,0
CG-002,Crusher,Night,3015.04,74.4,4.4263,86.79,105.44,1015.25,78.41,74.05,0
JH-002,Crusher,Morning,3912.47,64.5,2.1656,90.53,148.42,1242.94,57.32,38.5,0
JH-002,Crusher,Night,8526.25,86.11,3.5873,119.23,32.74,1318.38,74.07,91.78,0
CG-001,Excavator,Night,3237.53,55.1,4.5874,75.11,32.61,1431.6,82.85,89.34,0
JH-002,Dumper,Afternoon,1777.98,56.06,2.2486,73.21,246.8,1681.56,86.56,104.79,0
CG-002,Drill Rig,Night,5612.33,63.47,2.7247,98.59,119.53,1233.38,78.3,40.92,0
JH-001,Crusher,Afternoon,9367.93,66.97,1.8522,84.67,294.09,1362.25,71.83,79.24,1
OD-001,Excavator,Afternoon,6990.69,63.42,2.1244,92.35,35.29,1453.59,99.48,70.8,0
CG-002,Crusher,Night,5743.61,40.73,2.2822,91.21,281.73,1695.93,73.41,54.14,0
JH-001,Dumper,Night,1062.05,64.69,1.7296,87.38,198.56,1396.59,60.47,104.75,0
OD-001,Excavator,Afternoon,6188.57,54.39,2.6341,84.74,99.3,1579.66,62.47,103.35,0
CG-002,Crusher,Night,9901.53,51.29,3.2073,81.37,87.2,1623.83,93.51,96.73,0
JH-002,Drill Rig,Afternoon,1486.83,60.49,3.3668,92.61,287.08,1643.51,86.86,98.88,0
OD-002,Crusher,Morning,5231.46,45.58,1.8144,70.75,108.31,715.87,85.49,61.91,0
OD-002,Drill Rig,Night,8785.99,42.97,2.0074,112.11,162.62,1582.52,74.18,41.48,0
OD-002,Dumper,Night,7433.61,20.77,4.1598,82.31,286.92,971.16,58.9,93.27,0
CG-002,Dumper,Afternoon,7000.46,86.21,2.005,109.06,70.0,1494.19,66.48,57.4,0
OD-002,Drill Rig,Afternoon,7054.59,68.34,4.1045,86.81,62.9,1443.52,59.14,35.14,0
CG-002,Excavator,Afternoon,3658.96,58.25,1.8847,120.75,72.53,1693.9,79.53,92.6,0
OD-001,Excavator,Afternoon,3006.56,49.99,3.2821,100.81,78.37,923.97,92.55,40.11,0
