grievance_id,mine_id,grievance_date,category,priority,raised_by,raised_by_type,description,description_hindi,assigned_officer,assigned_date,sla_days,resolution_status,resolution_date,resolution_notes
GRV-0033,OD-002,2023-03-27,Safety,Critical,Community Member-0375,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-03-30,2,Resolved,2023-03-28,Resolved: Poor ventilation
GRV-0034,OD-002,2023-02-26,Wages,Critical,Community Member-0467,Community Member,Noise pollution,शोर प्रदूषण,Amit Patel,2023-02-27,2,Resolved,2023-02-27,Resolved: Noise pollution
GRV-0035,JH-001,2023-12-08,Wages,Critical,Worker-0022,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-12-11,2,In Progress,,
GRV-0036,CG-002,2023-01-24,Safety,Low,Community Member-0876,Community Member,Poor ventilation,खराब हवादारी,Sita Devi,2023-01-27,14,Open,,
GRV-0037,OD-002,2023-06-07,Working Conditions,Medium,Community Member-0048,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-06-10,7,Open,,
GRV-0038,OD-002,2023-07-22,Working Conditions,Medium,Worker-0863,Worker,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-07-22,7,Resolved,2023-07-27,Resolved: Poor ventilation
GRV-0039,CG-002,2023-10-31,Environment,Medium,Community Member-0517,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-11-03,7,In Progress,,
GRV-0040,OD-002,2023-04-27,Safety,Critical,Community Member-0582,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-04-29,2,Resolved,2023-04-28,Resolved: Unsafe working conditions
GRV-0041,CG-002,2023-05-16,Working Conditions,Low,Worker-0458,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-05-18,14,Resolved,2023-05-24,Resolved: Poor ventilation
GRV-0042,OD-001,2023-07-25,Environment,Medium,Worker-0617,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-07-27,7,In Progress,,
GRV-0043,JH-001,2023-04-10,Safety,Critical,Community Member-0794,Community Member,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-04-13,2,In Progress,,
GRV-0044,OD-002,2023-06-28,Community,Medium,Community Member-0623,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-06-30,7,Resolved,2023-06-30,Resolved: Unsafe working conditions
GRV-0045,CG-001,2023-04-12,Working Conditions,High,Worker-0076,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-04-15,3,Rejected,,
GRV-0046,JH-002,2023-07-04,Wages,High,Worker-0328,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-07-05,3,In Progress,,
GRV-0047,CG-002,2023-06-11,Community,Medium,Community Member-0625,Community Member,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-06-13,7,In Progress,,
GRV-0048,JH-003,2023-05-14,Safety,Low,Worker-0811,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-05-14,14,In Progress,,
GRV-0049,JH-001,2023-10-17,Community,High,Community Member-0877,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-10-20,3,In Progress,,
GRV-0050,JH-001,2023-12-19,Wages,Low,Community Member-0568,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-12-19,14,Resolved,2023-12-21,Resolved: Delayed wage payment
GRV-0051,JH-002,2023-06-04,Environment,Medium,Community Member-0517,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-06-06,7,In Progress,,
GRV-0052,JH-001,2023-03-11,Safety,Low,Worker-0819,Worker,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-03-11,14,Escalated,,
GRV-0053,CG-001,2023-08-01,Safety,Critical,Worker-0907,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-08-02,2,Resolved,2023-08-02,Resolved: Poor ventilation
GRV-0054,OD-002,2023-09-03,Wages,Medium,Worker-0637,Worker,Noise pollution,शोर प्रदूषण,Sita Devi,2023-09-03,7,Resolved,2023-09-07,Resolved: Noise pollution
GRV-0055,JH-002,2023-06-29,Community,Critical,Worker-0318,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-06-30,2,Resolved,2023-07-01,Resolved: Delayed wage payment
GRV-0056,CG-001,2023-05-25,Environment,Low,Community Member-0714,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-05-25,14,Escalated,,
GRV-0057,CG-002,2023-02-20,Environment,High,Worker-0709,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-02-21,3,Resolved,2023-02-21,Resolved: Delayed wage payment
GRV-0058,JH-003,2023-12-12,Wages,Low,Community Member-0629,Community Member,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-12-14,14,Resolved,2023-12-19,Resolved: Excessive dust
GRV-0059,CG-001,2023-05-06,Wages,Critical,Worker-0770,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-05-08,2,In Progress,,
GRV-0060,JH-002,2023-10-12,Wages,High,Worker-0459,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-10-14,3,Resolved,2023-10-15,Resolved: Delayed wage payment
GRV-0061,CG-002,2023-10-04,Working Conditions,High,Worker-0080,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-10-07,3,Resolved,2023-10-07,Resolved: Noise pollution
GRV-0062,JH-002,2023-08-25,Working Conditions,Medium,Worker-0711,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-08-27,7,In Progress,,
GRV-0063,CG-001,2023-01-08,Environment,Critical,Community Member-0295,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-01-09,2,Rejected,,
GRV-0064,OD-002,2023-08-11,Community,Medium,Community Member-0988,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-08-11,7,In Progress,,
GRV-0065,CG-001,2023-08-29,Community,Critical,Community Member-0545,Community Member,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-08-29,2,In Progress,,
GRV-0066,JH-002,2023-09-05,Safety,Medium,Community Member-0461,Community Member,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-09-06,7,Resolved,2023-09-12,Resolved: Noise pollution
GRV-0067,JH-003,2023-07-30,Wages,High,Community Member-0749,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-08-02,3,Open,,
GRV-0068,JH-001,2023-01-09,Environment,Medium,Worker-0045,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-01-12,7,Resolved,2023-01-16,Resolved: Poor ventilation
GRV-0069,CG-001,2023-04-23,Safety,High,Community Member-0513,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-04-25,3,Escalated,,
GRV-0070,OD-001,2023-08-10,Community,Low,Worker-0493,Worker,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-08-12,14,In Progress,,
GRV-0071,JH-001,2023-01-12,Working Conditions,Medium,Community Member-0463,Community Member,Poor ventilation,खराब हवादारी,Sita Devi,2023-01-13,7,In Progress,,
GRV-0072,JH-002,2023-01-09,Community,High,Worker-0881,Worker,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-01-12,3,In Progress,,
GRV-0073,CG-002,2023-03-03,Wages,Medium,Community Member-0259,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-03-06,7,Escalated,,
GRV-0074,JH-003,2023-08-25,Wages,Medium,Worker-0315,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-08-26,7,Escalated,,
GRV-0075,OD-001,2023-01-28,Community,High,Worker-0031,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-01-30,3,Resolved,2023-01-30,Resolved: Poor ventilation
GRV-0076,JH-003,2023-09-24,Safety,High,Worker-0740,Worker,Noise pollution,शोर प्रदूषण,Sita Devi,2023-09-26,3,Open,,
GRV-0077,JH-001,2023-12-18,Working Conditions,High,Worker-0360,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-12-19,3,Open,,
GRV-0078,OD-001,2023-07-28,Wages,High,Worker-0421,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-07-31,3,Resolved,2023-07-29,Resolved: Unsafe working conditions
GRV-0079,OD-002,2023-08-16,Safety,Medium,Community Member-0512,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-08-18,7,Resolved,2023-08-17,Resolved: Unsafe working conditions
GRV-0080,CG-001,2023-09-02,Environment,Medium,Worker-0506,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-09-04,7,Resolved,2023-09-04,Resolved: Unsafe working conditions
GRV-0081,CG-002,2023-05-04,Working Conditions,High,Worker-0256,Worker,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-05-06,3,In Progress,,
GRV-0082,OD-001,2023-09-15,Working Conditions,Low,Worker-0355,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-09-15,14,In Progress,,
GRV-0083,CG-001,2023-11-19,Working Conditions,Critical,Community Member-0647,Community Member,Excessive dust,अत्यधिक धूल,Sita Devi,2023-11-19,2,In Progress,,
GRV-0084,JH-001,2023-08-21,Environment,Medium,Community Member-0319,Community Member,Noise pollution,शोर प्रदूषण,Sita Devi,2023-08-24,7,Rejected,,
GRV-0085,CG-002,2023-04-14,Wages,Critical,Community Member-0950,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-04-17,2,In Progress,,
GRV-0086,JH-001,2023-07-02,Working Conditions,High,Worker-0819,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-07-03,3,Resolved,2023-07-05,Resolved: Poor ventilation
GRV-0087,OD-002,2023-04-16,Environment,High,Community Member-0187,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-04-16,3,Rejected,,
GRV-0088,CG-001,2023-11-29,Working Conditions,High,Worker-0918,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-11-30,3,Open,,
GRV-0089,OD-001,2023-03-05,Working Conditions,Low,Worker-0579,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-03-05,14,Rejected,,
GRV-0090,JH-003,2023-02-15,Working Conditions,Medium,Community Member-0981,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-02-15,7,Open,,
GRV-0091,OD-001,2023-01-10,Community,Low,Worker-0969,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-01-10,14,Resolved,2023-01-15,Resolved: Unsafe working conditions
GRV-0092,JH-003,2023-12-13,Community,Low,Community Member-0801,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-12-13,14,In Progress,,
GRV-0093,OD-002,2023-10-11,Wages,Low,Worker-0346,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-10-12,14,Resolved,2023-10-18,Resolved: Excessive dust
GRV-0094,CG-002,2024-01-01,Working Conditions,Critical,Worker-0397,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2024-01-04,2,In Progress,,
GRV-0095,OD-001,2023-03-22,Working Conditions,Medium,Community Member-0228,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-03-22,7,In Progress,,
GRV-0096,CG-002,2023-09-02,Wages,Medium,Worker-0918,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-09-03,7,Resolved,2023-09-07,Resolved: Delayed wage payment
GRV-0097,OD-002,2023-01-29,Environment,Low,Worker-0745,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-01-31,14,Resolved,2023-02-03,Resolved: Noise pollution
GRV-0098,JH-003,2023-01-31,Safety,Low,Worker-0534,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-01-31,14,Resolved,2023-02-09,Resolved: Delayed wage payment
GRV-0099,OD-001,2023-12-03,Community,Low,Worker-0073,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-12-06,14,Resolved,2023-12-17,Resolved: Delayed wage payment
GRV-0100,CG-002,2023-03-26,Community,Critical,Community Member-0785,Community Member,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-03-28,2,In Progress,,
GRV-0101,JH-002,2023-01-29,Working Conditions,Medium,Worker-0870,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-01-29,7,Open,,
GRV-0102,OD-001,2023-06-01,Environment,Medium,Worker-0658,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-06-04,7,Resolved,2023-06-03,Resolved: Excessive dust
GRV-0103,JH-003,2023-07-06,Safety,Low,Community Member-0533,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-07-09,14,Resolved,2023-07-11,Resolved: Poor ventilation
GRV-0104,JH-001,2023-03-02,Environment,High,Worker-0299,Worker,Excessive dust,अत्यधिक धूल,Amit Patel,2023-03-04,3,Open,,
GRV-0105,CG-001,2023-09-03,Community,Low,Community Member-0526,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-09-03,14,In Progress,,
GRV-0106,OD-002,2023-04-01,Wages,Critical,Community Member-0121,Community Member,Noise pollution,शोर प्रदूषण,Amit Patel,2023-04-03,2,Open,,
GRV-0107,JH-001,2023-12-31,Community,High,Community Member-0804,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-12-31,3,Resolved,2024-01-03,Resolved: Delayed wage payment
GRV-0108,JH-003,2023-01-26,Environment,Critical,Worker-0021,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-01-28,2,Resolved,2023-01-28,Resolved: Excessive dust
GRV-0109,OD-001,2023-09-18,Safety,Medium,Worker-0627,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-09-21,7,In Progress,,
GRV-0110,OD-001,2023-05-15,Community,Low,Community Member-0900,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-05-16,14,Escalated,,
GRV-0111,CG-002,2023-07-19,Working Conditions,Critical,Community Member-0413,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-07-19,2,In Progress,,
GRV-0112,JH-002,2023-07-18,Community,Low,Worker-0607,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-07-19,14,In Progress,,
GRV-0113,OD-001,2023-12-09,Working Conditions,Low,Community Member-0494,Community Member,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-12-11,14,Resolved,2023-12-10,Resolved: Noise pollution
GRV-0114,JH-001,2023-03-08,Community,High,Community Member-0867,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-03-08,3,Resolved,2023-03-10,Resolved: Unsafe working conditions
GRV-0115,JH-003,2023-11-15,Safety,Critical,Worker-0976,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-11-16,2,Open,,
GRV-0116,CG-002,2023-04-20,Working Conditions,High,Community Member-0255,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-04-22,3,Resolved,2023-04-23,Resolved: Poor ventilation
GRV-0117,OD-002,2023-09-10,Working Conditions,Critical,Community Member-0149,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-09-10,2,Open,,
GRV-0118,OD-001,2023-10-11,Wages,Medium,Worker-0959,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-10-14,7,Rejected,,
GRV-0119,JH-001,2023-06-30,Wages,Critical,Community Member-0735,Community Member,Poor ventilation,खराब हवादारी,Sita Devi,2023-06-30,2,Resolved,2023-07-02,Resolved: Poor ventilation
GRV-0120,CG-002,2023-01-11,Safety,Low,Worker-0780,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-01-13,14,Resolved,2023-01-22,Resolved: Delayed wage payment
GRV-0121,OD-002,2023-03-22,Safety,Critical,Community Member-0892,Community Member,Noise pollution,शोर प्रदूषण,Sita Devi,2023-03-23,2,Resolved,2023-03-24,Resolved: Noise pollution
GRV-0122,JH-003,2023-11-16,Safety,High,Community Member-0659,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-11-18,3,Resolved,2023-11-18,Resolved: Poor ventilation
GRV-0123,JH-003,2023-07-06,Working Conditions,Medium,Community Member-0414,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-07-09,7,Resolved,2023-07-13,Resolved: Unsafe working conditions
GRV-0124,JH-001,2023-12-11,Wages,Critical,Community Member-0548,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-12-14,2,Resolved,2023-12-13,Resolved: Delayed wage payment
GRV-0125,OD-001,2023-06-17,Safety,High,Worker-0831,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-06-20,3,Resolved,2023-06-20,Resolved: Unsafe working conditions
GRV-0126,CG-002,2023-06-23,Community,Low,Community Member-0775,Community Member,Excessive dust,अत्यधिक धूल,Sita Devi,2023-06-23,14,Resolved,2023-07-06,Resolved: Excessive dust
GRV-0127,OD-001,2023-08-01,Environment,Critical,Community Member-0692,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-08-03,2,Resolved,2023-08-03,Resolved: Delayed wage payment
GRV-0128,JH-002,2023-11-26,Wages,Medium,Worker-0825,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-11-29,7,Resolved,2023-11-30,Resolved: Unsafe working conditions
GRV-0129,CG-001,2023-12-17,Environment,Critical,Community Member-0004,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-12-20,2,Resolved,2023-12-18,Resolved: Poor ventilation
GRV-0130,OD-002,2023-11-05,Environment,Medium,Community Member-0505,Community Member,Noise pollution,शोर प्रदूषण,Amit Patel,2023-11-07,7,In Progress,,
GRV-0131,JH-003,2023-01-19,Community,Low,Community Member-0845,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-01-19,14,Open,,
GRV-0132,OD-001,2023-04-07,Working Conditions,Medium,Community Member-0432,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-04-09,7,Resolved,2023-04-12,Resolved: Poor ventilation
GRV-0133,OD-001,2023-06-03,Working Conditions,Medium,Community Member-0155,Community Member,Noise pollution,शोर प्रदूषण,Sita Devi,2023-06-05,7,Resolved,2023-06-06,Resolved: Noise pollution
GRV-0134,JH-001,2023-10-07,Safety,Medium,Worker-0524,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-10-09,7,Open,,
GRV-0135,JH-003,2023-11-13,Environment,Critical,Community Member-0007,Community Member,Excessive dust,अत्यधिक धूल,Sita Devi,2023-11-13,2,Resolved,2023-11-15,Resolved: Excessive dust
GRV-0136,OD-001,2023-02-13,Working Conditions,Medium,Community Member-0850,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-02-13,7,In Progress,,
GRV-0137,OD-002,2023-04-20,Wages,High,Worker-0856,Worker,Excessive dust,अत्यधिक धूल,Amit Patel,2023-04-23,3,In Progress,,
GRV-0138,JH-003,2023-02-12,Environment,Critical,Worker-0502,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-02-14,2,In Progress,,
GRV-0139,OD-001,2023-04-22,Safety,Low,Worker-0577,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-04-23,14,Resolved,2023-05-01,Resolved: Excessive dust
GRV-0140,CG-002,2023-05-07,Wages,Low,Worker-0338,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-05-08,14,Resolved,2023-05-17,Resolved: Poor ventilation
GRV-0141,CG-002,2023-11-02,Working Conditions,Low,Worker-0004,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-11-02,14,Open,,
GRV-0142,JH-001,2023-05-07,Environment,Critical,Worker-0093,Worker,Noise pollution,शोर प्रदूषण,Sita Devi,2023-05-10,2,In Progress,,
GRV-0143,OD-002,2023-02-20,Community,High,Worker-0902,Worker,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-02-21,3,In Progress,,
GRV-0144,OD-001,2023-04-16,Wages,Critical,Community Member-0514,Community Member,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-04-17,2,In Progress,,
GRV-0145,CG-002,2023-12-02,Safety,Critical,Community Member-0500,Community Member,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-12-03,2,Resolved,2023-12-03,Resolved: Excessive dust
GRV-0146,CG-002,2023-07-03,Environment,Medium,Community Member-0277,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-07-04,7,In Progress,,
GRV-0147,CG-002,2023-03-04,Wages,Low,Worker-0435,Worker,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-03-05,14,Resolved,2023-03-08,Resolved: Poor ventilation
GRV-0148,CG-002,2023-05-08,Safety,Medium,Worker-0257,Worker,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-05-08,7,Open,,
GRV-0149,OD-002,2023-11-25,Environment,Critical,Community Member-0205,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-11-28,2,Open,,
GRV-0150,OD-001,2023-10-30,Wages,Low,Worker-0453,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-10-30,14,Resolved,2023-11-03,Resolved: Noise pollution
